,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,item id,wine,growth,type english,type chinese,vendor english,vendor chinese,region english,region chinese,country english,country chinese,rating,year,format,price,qty,negoce
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CFW00339-2001-00500,CHATEAU CLIMENS,Sauternes Premiers Crus,Sweet,甜酒,Chateau Climens,,"Sauternes, Bordeaux",波爾多,France,法國,,2001,500ml,190,168,BM
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,CFW00606-2014-01500,CHATEAU MONTLANDRIE,,Red,紅酒,Chateau Monlandrie,,Bordeaux,波爾多,France,法國,,2014,1500ml,24.5,60,BM
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,CFW00604-2008-01500,CHATEAU FONTENIL,,Red,紅酒,Chateau Fontenil,,Bordeaux,波爾多,France,法國,,2008,1500ml,28,84,BM
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,CFW00604-2007-01500,CHATEAU FONTENIL,,Red,紅酒,Chateau Fontenil,,Bordeaux,波爾多,France,法國,,2007,1500ml,24,36,BM
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,CFW00373-2014-01500,CHATEAU BEAUMONT,Cru Bourgeois Superieur,Red,紅酒,Chateau Beaumont,,"Haut Medoc, Bordeaux",波爾多,France,法國,,2014,1500ml,15.4,>600,BM
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,CFW00373-2013-01500,CHATEAU BEAUMONT,Cru Bourgeois Superieur,Red,紅酒,Chateau Beaumont,,"Haut Medoc, Bordeaux",波爾多,France,法國,,2013,1500ml,14.4,2,BM
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,CFW00162-2014-01500,CHATEAU CANTEMERLE,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Chateau Cantemerle,,"Haut Medoc, Bordeaux",波爾多,France,法國,,2014,1500ml,36,144,BM
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,CFW00080-2014-01500,CHATEAU LA LAGUNE,Bordeaux Grand Cru Classe 3rd Growths,Red,紅酒,Chateau La Lagune,,,波爾多,France,法國,,2014,1500ml,57.6,120,BM
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,CFW00412-2014-01500,CHATEAU LANESSAN,Cru Bourgeois Superieur,Red,紅酒,Chateau Lanessan,,"Haut Medoc, Bordeaux",波爾多,France,法國,,2014,1500ml,18.2,120,BM
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,CFW00412-2012-01500,CHATEAU LANESSAN,Cru Bourgeois Superieur,Red,紅酒,Chateau Lanessan,,"Haut Medoc, Bordeaux",波爾多,France,法國,,2012,1500ml,17.9,2,BM
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,CFW00412-2005-01500,CHATEAU LANESSAN,Cru Bourgeois Superieur,Red,紅酒,Chateau Lanessan,,"Haut Medoc, Bordeaux",波爾多,France,法國,,2005,1500ml,37,2,BM
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,CFW00439-2014-01500,CHATEAU SENEJAC,Cru Bourgeois Superieur,Red,紅酒,Chateau Senejac,,"Haut Medoc, Bordeaux",波爾多,France,法國,,2014,1500ml,15.6,180,BM
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,CFW00067-2013-01500,LE HAUT MEDOC DE GISCOURS,Bordeaux Grand Cru Classe 3rd Growths,Red,紅酒,Chateau Giscours,,"Haut Medoc, Bordeaux",波爾多,France,法國,,2013,1500ml,20,6,BM
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,CFW00163-2009-01500,LES ALLEES DE CANTEMERLE,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Chateau Cantemerle,,"Haut Medoc, Bordeaux",波爾多,France,法國,,2009,1500ml,28.5,465,BM
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,CFW00035-2014-01500,CHATEAU BRANE CANTENAC,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Brane Cantenac,,"Margaux, Bordeaux","瑪歌, 波爾多",France,法國,,2014,1500ml,68,30,BM
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,CFW00138-2014-01500,CHATEAU DAUZAC,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Chateau Dauzac,,"Margaux, Bordeaux",波爾多,France,法國,,2014,1500ml,46,120,BM
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,CFW00143-2012-01500,CHATEAU DU TERTRE,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Chateau Du Tertre,,"Margaux, Bordeaux",波爾多,France,法國,,2012,1500ml,62,240,BM
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,CFW00090-1999-01500,CHATEAU FERRIERE,Bordeaux Grand Cru Classe 3rd Growths,Red,紅酒,Chateau Ferriere,,"Margaux, Bordeaux",波爾多,France,法國,,1999,1500ml,70,6,BM
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,CFW00064-2003-01500,CHATEAU GISCOURS,Bordeaux Grand Cru Classe 3rd Growths,Red,紅酒,Chateau Giscours,,"Margaux, Bordeaux",波爾多,France,法國,,2003,1500ml,104,6,BM
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,CFW00006-2006-01500,CHATEAU MARGAUX,Bordeaux Grand Cru Classe 1st Growths,Red,紅酒,Chateau Margaux,瑪歌酒莊,"Margaux, Bordeaux","瑪歌, 波爾多",France,法國,RP96,2006,1500ml,755,6,BM
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,CFW00006-1996-01500,CHATEAU MARGAUX,Bordeaux Grand Cru Classe 1st Growths,Red,紅酒,Chateau Margaux,瑪歌酒莊,"Margaux, Bordeaux","瑪歌, 波爾多",France,法國,RP96,1996,1500ml,1360,24,BM
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,CFW00078-2009-01500,CHATEAU PALMER,Bordeaux Grand Cru Classe 3rd Growths,Red,紅酒,Chateau Palmer,,"Margaux, Bordeaux",波爾多,France,法國,,2009,1500ml,500,6,BM
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,CFW00117-2014-01500,CHATEAU PRIEURE LICHINE,Bordeaux Grand Cru Classe 4th Growths,Red,紅酒,Chateau Prieure-Lichine,,"Margaux, Bordeaux",波爾多,France,法國,,2014,1500ml,51,300,BM
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,CFW00117-2011-01500,CHATEAU PRIEURE LICHINE,Bordeaux Grand Cru Classe 4th Growths,Red,紅酒,Chateau Prieure-Lichine,,"Margaux, Bordeaux",波爾多,France,法國,,2011,1500ml,56,30,BM
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,CFW00065-2007-01500,LA SIRENE DE GISCOURS,Bordeaux Grand Cru Classe 3rd Growths,Red,紅酒,Chateau Giscours,,"Margaux, Bordeaux",波爾多,France,法國,,2007,1500ml,34,30,BM
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,CFW00065-2006-01500,LA SIRENE DE GISCOURS,Bordeaux Grand Cru Classe 3rd Growths,Red,紅酒,Chateau Giscours,,"Margaux, Bordeaux",波爾多,France,法國,,2006,1500ml,37.5,30,BM
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,CFW00144-2009-01500,LES HAUTS DU TERTRE,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Chateau Du Tertre,,"Margaux, Bordeaux",波爾多,France,法國,,2009,1500ml,33,304,BM
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,CFW00007-2000-01500,PAVILLON ROUGE DU CH.MARGAUX,Bordeaux Grand Cru Classe 1st Growths,Red,紅酒,Chateau Margaux,瑪歌酒莊,"Margaux, Bordeaux","瑪歌, 波爾多",France,法國,RP96,2000,1500ml,350,18,BM
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,CFW00007-1999-01500,PAVILLON ROUGE DU CH.MARGAUX,Bordeaux Grand Cru Classe 1st Growths,Red,紅酒,Chateau Margaux,瑪歌酒莊,"Margaux, Bordeaux","瑪歌, 波爾多",France,法國,RP96,1999,1500ml,250,3,BM
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,CFW00328-2014-01500,CHATEAU POTENSAC,,Red,紅酒,Chateau Potensac,,"Medoc, Bordeaux",波爾多,France,法國,,2014,1500ml,28.6,258,BM
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,CFW00328-2004-01500,CHATEAU POTENSAC,,Red,紅酒,Chateau Potensac,,"Medoc, Bordeaux",波爾多,France,法國,,2004,1500ml,38,564,BM
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,CFW00595-2014-01500,CHATEAU TOUR SAINT-BONNET,Crus Bourgeois,Red,紅酒,Chateau Tour Saint-Bonnet,,"Medoc, Bordeaux",波爾多,France,法國,,2014,1500ml,12.7,>600,BM
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,CFW00358-2014-01500,CHATEAU CHASSE-SPLEEN,Cru Bourgeois Exceptionnel,Red,紅酒,Chateau Chasse Spleen,,"Moulis, Bordeaux",波爾多,France,法國,,2014,1500ml,36,108,BM
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,CFW00403-2014-01500,CHATEAU GRESSIER GRD POUJEAUX,Cru Bourgeois Superieur,Red,紅酒,Chateau Gressier Grand Poujeaux,,"Moulis, Bordeaux",波爾多,France,法國,,2014,1500ml,19.8,360,BM
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,CFW00365-2007-01500,CHATEAU POUJEAUX,Cru Bourgeois Exceptionnel,Red,紅酒,Chateau Poujeaux,,"Moulis, Bordeaux",波爾多,France,法國,,2007,1500ml,42,54,BM
35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,CFW00002-2008-01500,CARRUADES DE LAFITE,Bordeaux Grand Cru Classe 1st Growths,Red,紅酒,Domaines Barons de Rothschild,拉菲酒莊,Bordeaux,波爾多,France,法國,RP96,2008,1500ml,400,6,BM
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,CFW00002-1997-01500,CARRUADES DE LAFITE,Bordeaux Grand Cru Classe 1st Growths,Red,紅酒,Domaines Barons de Rothschild,拉菲酒莊,Bordeaux,波爾多,France,法國,RP96,1997,1500ml,420,2,BM
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,CFW00159-2008-01500,CHATEAU CLERC MILON,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Baron Philippe de Rothschild,,"Pauillac, Bordeaux",波爾多,France,法國,,2008,1500ml,109,5,BM
