,Wine,Vintage,Format,Cost,Qty,Negoce
0,AILE D'ARGENT,2011.0,750ml,52.0,12,Twins
1,AILE D'ARGENT,2014.0,75cl,50.0,12,Twins
2,ALLEES DE CANTEMERLE,2013.0,75cl,8.95,12,Twins
3,ALLEES DE CANTEMERLE,2013.0,"37,5cl",5.25,12,Twins
4,ALTER EGO DE PALMER,2006.0,"1,5L",110.0,12,Twins
5,ALTER EGO DE PALMER,2013.0,75cl,36.0,12,Twins
6,BAHANS HAUT BRION,2005.0,75cl,95.0,12,Twins
7,BARON DE BRANE,2012.0,75cl,14.5,12,Twins
8,BARON DE BRANE,2013.0,75cl,12.75,12,Twins
9,BLASON D ISSAN,1998.0,"1,5L",38.0,12,Twins
10,BLASON D ISSAN,2013.0,"37,5cl",7.25,12,Twins
11,BLASON D ISSAN,2013.0,75cl,13.8,12,Twins
12,CHAPELLE D'AUSONE,2010.0,75cl,160.0,12,Twins
13,CHAPELLE D'AUSONE,2011.0,"1,5L",199.0,12,Twins
14,CHAPELLE D'AUSONE,2012.0,75cl,105.0,12,Twins
15,CHAPELLE D'AUSONE,2013.0,75cl,90.0,12,Twins
16,CHAPELLE DE LA MISSION,2009.0,75cl,66.0,12,Twins
17,CHAPELLE DE LA MISSION,2011.0,75cl,41.0,12,Twins
18,CHAPELLE DE LA MISSION,2012.0,75cl,38.0,12,Twins
19,CHAPELLE DE LA MISSION,2013.0,75cl,29.95,12,Twins
20,CLARENCE HAUT BRION,2012.0,75cl,73.7,12,Twins
21,CLEMENTIN DE PAPE CLEMENT,2013.0,75cl,16.1,12,Twins
22,CLEMENTIN DE PAPE CLEMENT,2013.0,"1,5L",60.0,12,Twins
23,CLOS DES CARMES HAUT BRION,2011.0,"37,5cl",6.95,12,Twins
24,CLOS DU MARQUIS,1995.0,75cl,47.0,12,Twins
25,CLOS DU MARQUIS,2002.0,"37,5cl",16.65,12,Twins
26,CLOS DU MARQUIS,2006.0,"37,5cl",18.0,12,Twins
27,CLOS DU MARQUIS,2007.0,"37,5cl",15.5,12,Twins
28,CLOSERIE DE FOURTET,2010.0,75cl,17.95,12,Twins
29,CLOSERIE DE FOURTET,2012.0,75cl,14.5,12,Twins
30,CLOSERIE DE FOURTET,2013.0,75cl,13.5,12,Twins
31,CONNETABLE DE TALBOT,2007.0,"37,5cl",9.95,12,Twins
32,CONNETABLE DE TALBOT,2011.0,75cl,18.55,12,Twins
33,CROIX DE BEAUCAILLOU,2000.0,75cl,49.95,12,Twins
34,DAME DE MONTROSE ,1994.0,75cl,25.0,12,Twins
35,DAME DE MONTROSE ,1999.0,75cl,30.0,12,Twins
36,DAME DE MONTROSE ,2004.0,"1,5L",72.0,12,Twins
37,DAME DE MONTROSE ,2006.0,"1,5L",72.0,12,Twins
38,DAME DE MONTROSE ,2007.0,"1,5L",59.95,12,Twins
39,DAME DE MONTROSE ,2008.0,75cl,29.95,12,Twins
40,DAME DE MONTROSE ,2010.0,75cl,36.0,12,Twins
41,DAME DE MONTROSE ,2011.0,75cl,22.8,12,Twins
42,DAME DE MONTROSE ,2012.0,75cl,21.0,12,Twins
43,DAME DE MONTROSE ,2013.0,75cl,19.8,12,Twins
44,DEMOISELLE DE SOCIANDO,2013.0,75cl,9.95,12,Twins
45,DEMOISELLE DE SOCIANDO,2013.0,"1,5L",19.95,12,Twins
46,DRAGON DE QUINTUS,2013.0,75cl,15.0,12,Twins
47,DULUC DE BRANAIRE DUCRU,1991.0,"3,0L",72.0,12,Twins
48,DULUC DE BRANAIRE DUCRU,1993.0,"3,0L",72.0,12,Twins
49,DULUC DE BRANAIRE DUCRU,2011.0,75cl,14.75,12,Twins
50,DULUC DE BRANAIRE DUCRU,2012.0,75cl,14.75,12,Twins
51,ECHO DE LYNCH BAGES,2011.0,75cl,25.0,12,Twins
52,ECHO DE LYNCH BAGES,2012.0,75cl,23.0,12,Twins
53,ECHO DE LYNCH BAGES,2013.0,75cl,21.6,12,Twins
54,ECHO DE LYNCH BAGES,2013.0,"37,5cl",11.3,12,Twins
55,FIEFS DE LAGRANGE,1985.0,"1,5L",70.0,12,Twins
56,FIEFS DE LAGRANGE,1985.0,"3,0L",150.0,12,Twins
57,FIEFS DE LAGRANGE,1986.0,"5,0L",260.0,12,Twins
58,FIEFS DE LAGRANGE,2013.0,"37,5cl",6.95,12,Twins
59,FIEFS DE LAGRANGE,2013.0,75cl,13.95,12,Twins
60,FIEFS DE LAGRANGE,2013.0,"1,5L",28.0,12,Twins
61,FORTS DE LATOUR,2001.0,"1,5L",310.0,12,Twins
62,FORTS DE LATOUR,2002.0,"1,5L",310.0,12,Twins
63,FORTS DE LATOUR,2004.0,"37,5cl",75.0,12,Twins
64,GOULEE BY COS D'ESTOURNEL,2014.0,75cl,17.5,12,Twins
65,GRAVETTE DE CERTAN,2011.0,75cl,26.0,12,Twins
66,GRAVETTE DE CERTAN,2013.0,75cl,24.0,12,Twins
67,GRIFFONS DE PICHON BARON,2013.0,75cl,22.5,12,Twins
68,GRIFFONS DE PICHON BARON,2013.0,"1,5L",45.0,12,Twins
69,GRIFFONS DE PICHON BARON,2014.0,75cl,25.0,12,Twins
70,GRIFFONS DE PICHON BARON,2014.0,"1,5L",50.0,12,Twins
71,LA DAME DE MALESCOT,2006.0,75cl,16.8,12,Twins
72,LA DAME DE MALESCOT,2010.0,75cl,19.5,12,Twins
73,LACOSTE BORIE,2013.0,75cl,13.5,12,Twins
74,LE SAINT ESTEPHE DE MONTROSE,2012.0,75cl,13.2,12,Twins
75,LE SAINT ESTEPHE DE MONTROSE,2013.0,75cl,13.2,12,Twins
76,LES AILES DE BERLIQUET,2010.0,75cl,9.6,12,Twins
77,LES CARMES DE RIEUSSEC,2011.0,75CL,15.0,12,Twins
