,Type,Vendor,Wine,Vintage,Format,Region,Cost,Qty,Negoce
0,Red,CH. CLIMENS,CH. CLIMENS,2001,37.5cl,Bordeaux,130.0,0,CVBG
1,Red,CH. CLIMENS,CH. CLIMENS,2002,37.5cl,Bordeaux,24.0,0,CVBG
2,Red,CH. CLIMENS,CH. CLIMENS,2005,37.5cl,Bordeaux,37.5,0,CVBG
3,Red,CH. CLIMENS,CH. CLIMENS,2007,37.5cl,Bordeaux,65.0,0,CVBG
4,Red,CH. CLIMENS,CH. CLIMENS,2011,37.5cl,Bordeaux,35.0,0,CVBG
5,Red,CH. CLIMENS,CH. CLIMENS,2014,37.5cl,Bordeaux,22.7,0,CVBG
6,Red,CH. CLIMENS,CH. CLIMENS,2001,75cl,Bordeaux,260.0,0,CVBG
7,Red,CH. CLIMENS,CH. CLIMENS,2002,75cl,Bordeaux,48.0,0,CVBG
8,Red,CH. CLIMENS,CH. CLIMENS,2005,75cl,Bordeaux,72.0,0,CVBG
9,Red,CH. CLIMENS,CH. CLIMENS,2010,75cl,Bordeaux,72.0,0,CVBG
10,Red,CH. CLIMENS,CH. CLIMENS,2011,75cl,Bordeaux,70.0,0,CVBG
11,Red,CH. CLIMENS,CH. CLIMENS,2014,75cl,Bordeaux,43.8,0,CVBG
12,Red,CH. COUTET,CH. COUTET,2012,37.5cl,Bordeaux,16.5,0,CVBG
13,Red,CH. COUTET,CH. COUTET,2004,75cl,Bordeaux,20.0,0,CVBG
14,Red,CH. COUTET,CH. COUTET,2010,75cl,Bordeaux,45.6,0,CVBG
15,Red,CH. COUTET,CH. COUTET,2012,75cl,Bordeaux,31.0,0,CVBG
16,Red,CH. COUTET,CH. COUTET,2013,75cl,Bordeaux,24.0,0,CVBG
17,Red,CH. MOUTON ROTHSCHILD,AILE D'ARGENT,2013,75cl,Bordeaux,48.0,0,CVBG
18,Red,CH. MOUTON ROTHSCHILD,AILE D'ARGENT,2014,75cl,Bordeaux,48.0,0,CVBG
19,Red,CH. GIROLATE,CH. GIROLATE,2010,75cl,Bordeaux,36.0,0,CVBG
20,Red,CH. GIROLATE,CH. GIROLATE,2011,75cl,Bordeaux,30.0,0,CVBG
21,White,CH. GIROLATE,CH. GIROLATE BLANC,2012,75cl,Bordeaux,25.0,0,CVBG
22,White,CH. MONBOUSQUET,CH. MONBOUSQUET BLANC,2009,75cl,Bordeaux,42.0,0,CVBG
23,White,CH. MARGAUX,PAVILLON BLANC,2010,75cl,Bordeaux,150.0,0,CVBG
24,White,CH. MARGAUX,PAVILLON BLANC,2011,75cl,Bordeaux,158.0,0,CVBG
25,White,CH. RIEUSSEC,"""R"" DE RIEUSSEC",2014,75cl,Bordeaux,12.0,0,CVBG
26,White,CH. RIEUSSEC,"""R"" DE RIEUSSEC",2015,75cl,Bordeaux,12.0,0,CVBG
27,White,CH. REYNON,CH. REYNON BLANC,2014,75cl,Bordeaux,5.75,0,CVBG
28,White,CH. D'YQUEM,"""Y"" D'YQUEM",2005,75cl,Bordeaux,132.0,0,CVBG
29,White,CH. D'YQUEM,"""Y"" D'YQUEM",2014,75cl,Bordeaux,92.0,0,CVBG
30,White,CH. D'YQUEM,"""Y"" D'YQUEM",2014,150cl,Bordeaux,184.0,0,CVBG
31,Red,CH. REYNON,CH. REYNON ROUGE,2013,75cl,Bordeaux,7.1,0,CVBG
32,Red,CH. REYNON,CH. REYNON ROUGE,2014,75cl,Bordeaux,7.3,0,CVBG
33,Red,CH. JOANIN BECOT,CH. JOANIN BECOT,2010,75cl,Bordeaux,14.0,0,CVBG
34,Red,CH. JOANIN BECOT,CH. JOANIN BECOT,2011,75cl,Bordeaux,13.25,0,CVBG
35,Red,CH. JOANIN BECOT,CH. JOANIN BECOT,2012,75cl,Bordeaux,13.0,0,CVBG
36,Red,CH. JOANIN BECOT,CH. JOANIN BECOT,2013,75cl,Bordeaux,12.0,0,CVBG
37,Red,CH. MONTLANDRIE,CH. MONTLANDRIE,2011,75cl,Bordeaux,12.9,0,CVBG
38,Red,CH. MONTLANDRIE,CH. MONTLANDRIE,2012,75cl,Bordeaux,12.5,0,CVBG
39,Red,CH. MONTLANDRIE,CH. MONTLANDRIE,2013,75cl,Bordeaux,11.2,0,CVBG
40,Red,CH. MONTLANDRIE,CH. MONTLANDRIE,2014,75cl,Bordeaux,12.0,0,CVBG
41,White,CH. MARJOSSE,CH. MARJOSSE BLANC,2015,75cl,Bordeaux,5.1,0,CVBG
42,Red,CH. MARSAU,CH. MARSAU,2002,75cl,Bordeaux,9.9,0,CVBG
43,Red,CH. MARSAU,CH. MARSAU,2006,75cl,Bordeaux,9.0,0,CVBG
44,Red,CH. MARSAU,CH. MARSAU,2009,75cl,Bordeaux,11.0,0,CVBG
45,Red,CH. MARSAU,CH. MARSAU,2011,75cl,Bordeaux,9.0,0,CVBG
46,Red,CH. MARSAU,CH. MARSAU,2012,75cl,Bordeaux,9.0,0,CVBG
47,Red,CH. MARSAU,CH. MARSAU,2013,75cl,Bordeaux,8.5,0,CVBG
48,Red,CH. MARSAU,CH. MARSAU,2004,150cl,Bordeaux,18.0,0,CVBG
49,Red,CH. CARLMAGNUS,CH. CARLMAGNUS,2011,75cl,Bordeaux,8.5,0,CVBG
50,Red,CH. CARLMAGNUS,CH. CARLMAGNUS,2012,75cl,Bordeaux,7.9,0,CVBG
51,Red,CH. CARLMAGNUS,CH. CARLMAGNUS,2014,75cl,Bordeaux,7.9,0,CVBG
52,Red,CH. FONTENIL,CH. FONTENIL,2010,75cl,Bordeaux,16.5,0,CVBG
53,Red,CH. FONTENIL,CH. FONTENIL,2011,75cl,Bordeaux,13.5,0,CVBG
54,Red,CH. FONTENIL,CH. FONTENIL,2013,75cl,Bordeaux,12.6,0,CVBG
55,Red,DENIS DUBOURDIEU DOMAINES,CLOS FLORIDENE ROUGE,2012,75cl,Bordeaux,9.9,0,CVBG
56,Red,DENIS DUBOURDIEU DOMAINES,CLOS FLORIDENE ROUGE,2013,75cl,Bordeaux,9.6,0,CVBG
57,Red,DENIS DUBOURDIEU DOMAINES,CLOS FLORIDENE ROUGE,2014,75cl,Bordeaux,9.6,0,CVBG
58,Red,CH. CANTEMERLE,ALLEES DE CANTEMERLE,2011,75cl,Bordeaux,9.15,0,CVBG
59,Red,CH. CANTEMERLE,ALLEES DE CANTEMERLE,2013,75cl,Bordeaux,8.95,0,CVBG
60,Red,CH. BEAUMONT,CH. BEAUMONT,2011,75cl,Bordeaux,9.0,0,CVBG
61,Red,CH. BEAUMONT,CH. BEAUMONT,2012,75cl,Bordeaux,9.0,0,CVBG
62,Red,CH. BEAUMONT,CH. BEAUMONT,2013,75cl,Bordeaux,7.8,0,CVBG
