,Wine,Vintage,Format,Region,Cost,Qty,Negoce
0,CH. LATOUR,1936,75cl,Bordeaux,950.0,0,DIVA
1,CH. COS D'ESTOURNEL,1978,75cl,Bordeaux,225.0,0,DIVA
2,CH. COS D'ESTOURNEL,1982,75cl,Bordeaux,520.0,0,DIVA
3,CH. DUCRU BEAUCAILLOU,1982,75cl,Bordeaux,358.0,0,DIVA
4,CH. DUCRU BEAUCAILLOU,1985,75cl,Bordeaux,132.0,0,DIVA
5,CH. DUCRU BEAUCAILLOU,1986,75cl,Bordeaux,130.0,0,DIVA
6,CH. CALON SEGUR,1996,75cl,Bordeaux,80.0,0,DIVA
7,CH. LYNCH BAGES,1996,75cl,Bordeaux,155.0,0,DIVA
8,CH. RIEUSSEC,1997,75cl,Bordeaux,60.0,0,DIVA
9,CH. LEOVILLE LAS CASES,1998,75cl,Bordeaux,155.0,0,DIVA
10,CH. PALMER,1998,75cl,Bordeaux,210.0,0,DIVA
11,CH. POTENSAC,1998,75cl,Bordeaux,23.0,0,DIVA
12,CH. AIGUILHE (D'),1999,75cl,Bordeaux,18.0,0,DIVA
13,CH. EVANGILE (L'),1999,75cl,Bordeaux,103.0,0,DIVA
14,CH. MALLE (DE),1999,75cl,Bordeaux,21.0,0,DIVA
15,CH. REYNON,1999,75cl,Bordeaux,5.2,0,DIVA
16,CH. CALON SEGUR,2000,75cl,Bordeaux,85.0,0,DIVA
17,CH. PALMER,2000,75cl,Bordeaux,270.0,0,DIVA
18,CH. PONTET CANET,2000,75cl,Bordeaux,105.0,0,DIVA
19,CH. POUGET,2000,75cl,Bordeaux,72.0,0,DIVA
20,CH. RIEUSSEC,2002,75cl,Bordeaux,34.0,0,DIVA
21,MAROJALLIA,2002,75cl,Bordeaux,31.5,0,DIVA
22,CH. BARDE HAUT,2003,75cl,Bordeaux,17.0,0,DIVA
23,CH. LAFITE ROTHSCHILD,2003,75cl,Bordeaux,900.0,0,DIVA
24,CH. PICQUE CAILLOU BLANC,2003,75cl,Bordeaux,8.8,0,DIVA
25,CH. SENEJAC,2003,75cl,Bordeaux,12.5,0,DIVA
26,CH. TEYNAC,2003,75cl,Bordeaux,13.75,0,DIVA
27,CLOS L'EGLISE,2003,75cl,Bordeaux,47.5,0,DIVA
28,RESERVE DE LA COMTESSE (LA),2003,75cl,Bordeaux,34.0,0,DIVA
29,CARRUADES DE LAFITE,2004,75cl,Bordeaux,200.0,0,DIVA
30,CH. COUTET,2004,75cl,Bordeaux,26.5,0,DIVA
31,CH. GAY (LE),2004,75cl,Bordeaux,50.0,0,DIVA
32,CH. PAVIE,2004,75cl,Bordeaux,190.0,0,DIVA
33,CH. PICHON LALANDE,2004,75cl,Bordeaux,95.0,0,DIVA
34,CH. COS D'ESTOURNEL,2005,75cl,Bordeaux,165.0,0,DIVA
