,Vintage,Estate,Appellation,Color,Classification,Quantity,Volume,Packing,Price,R. Parker
0,1982,CH. DUCRU BEAUCAILLOU,SAINT JULIEN,RED,2CC,12,BT,OWC6,358.0,96
1,1983,CH. LATOUR,PAUILLAC,RED,1CC,1,BT,VRAC,435.0,88
2,1985,CH. DUCRU BEAUCAILLOU,SAINT JULIEN,RED,2CC,12,BT,OWC6,132.0,92
3,1986,CH. DUCRU BEAUCAILLOU,SAINT JULIEN,RED,2CC,6,BT,OWC6,130.0,92
4,1994,CH. CHEVAL BLANC,SAINT EMILION GRAND CRU   ,RED,CC1A,6,BT,VRAC,280.0,88
5,1996,CH. CALON SEGUR,SAINT ESTEPHE   ,RED,3CC,132,BT,OWC12,80.0,92
6,1996,CH. LYNCH BAGES,PAUILLAC        ,RED,5CC,120,BT,OWC12,155.0,93
7,1997,CH. LABEGORCE ZEDE,MARGAUX,RED,,24,DM,OWC24,12.0,(86-87)
8,1997,CH. RIEUSSEC,SAUTERNES       ,SWEET,1CC,234,BT,,60.0,91
9,1998,CH. LEOVILLE LAS CASES,SAINT JULIEN,RED,2CC,60,BT,OWC12,155.0,93
10,1998,CH. PALMER,MARGAUX         ,RED,3CC,30,BT,OWC6,210.0,91
11,1998,CH. POTENSAC,MEDOC,RED,,96,BT,OWC12,23.0,87
12,1999,CH. AIGUILHE (D'),COTES DE CASTILLON,RED,,96,BT,OWC12,18.0,87
13,1999,CH. EVANGILE (L'),POMEROL         ,RED,,12,BT,OWC6,103.0,89
14,1999,CH. MALLE (DE),SAUTERNES       ,SWEET,2CC,12,BT,OWC12,21.0,-
15,1999,CH. REYNON,BORDEAUX,WHITE,,120,BT,OWC12,5.2,-
16,2000,CH. CALON SEGUR,SAINT ESTEPHE   ,RED,3CC,152,BT,OWC12,85.0,91
17,2000,CH. PALMER,MARGAUX         ,RED,3CC,96,BT,OWC12,270.0,95
18,2000,CH. PONTET CANET,PAUILLAC,RED,5CC,36,BT,OWC6,105.0,94
19,2000,CH. POUGET,MARGAUX         ,RED,4CC,12,BT,OWC12,68.0,-
20,2002,CH. BELLEVUE,MEDOC,RED,,96,DM,CB boxes12,2.5,87
21,2002,CH. MAROJALLIA,MARGAUX         ,RED,,150,BT,OWC6,31.5,90
22,2002,CH. RIEUSSEC,SAUTERNES       ,SWEET,1CC,216,BT,OWC12,34.0,90
23,2003,CH. BARDE HAUT,SAINT EMILION,RED,,152,BT,CB boxes12,17.0,88
24,2003,CH. LAFITE ROTHSCHILD,PAUILLAC        ,RED,1CC,12,BT,OWC6,900.0,100
25,2003,CH. PICQUE CAILLOU BLANC,PESSAC LEOGNAN  ,WHITE,,18,BT,OWC6,8.8,-
26,2003,CH. SENEJAC,HAUT MEDOC,RED,,180,BT,CB boxes6,12.5,89
27,2003,CH. TEYNAC,SAINT JULIEN,RED,,96,BT,OWC12,13.75,
28,2003,CLOS L'EGLISE,POMEROL,RED,,204,BT,OWC6,47.5,89
29,2003,RESERVE DE LA COMTESSE (LA),PAUILLAC        ,RED,2nd,240,BT,OWC12,34.0,88
30,2004,CARRUADES DE LAFITE,PAUILLAC,RED,2nd,24,BT,OWC12,200.0,89-90
31,2004,CH. BRANE CANTENAC,MARGAUX,RED,2CC,60,BT,-,45.0,94
32,2004,CH. CONSEILLANTE (LA),POMEROL         ,RED,,12,BT,-,72.0,
33,2004,CH. COUTET,BARSAC          ,SWEET,1CC,60,BT,-,26.5,
34,2004,CH. GAY (LE),POMEROL         ,RED,,84,BT,-,50.0,
35,2004,CH. PAVIE,SAINT EMILION GRAND CRU   ,RED,CC1,48,BT,OWC12,190.0,94
36,2004,CH. PICHON LALANDE,PAUILLAC,RED,2CC,42,BT,-,95.0,92
37,2004,CH. RIEUSSEC,SAUTERNES       ,SWEET,1CC,6,MG,OWC6,51.0,91
38,2004,CH. TERTRE (DU),MARGAUX,RED,5CC,12,BT,-,31.0,-
39,2004,DOMAINE DE CHEVALIER BLANC,PESSAC LEOGNAN,WHITE,CC,36,BT,-,55.0,
40,2004,DOMAINE DE CHEVALIER ROUGE,PESSAC LEOGNAN  ,RED,CC,60,BT,-,52.0,
41,2005,CH. CARBONNIEUX BLANC,PESSAC LEOGNAN,WHITE,CC,24,DM,CB boxes24,10.75,93
42,2005,CH. COS D'ESTOURNEL,SAINT ESTEPHE   ,RED,2CC,60,BT,-,165.0,
43,2005,CH. LEOVILLE LAS CASES,SAINT JULIEN,RED,2CC,24,BT,-,235.0,
44,2005,CH. LYNCH BAGES,PAUILLAC        ,RED,5CC,60,BT,OWC12,150.0,92
45,2005,CH. MISSION HAUT BRION ROUGE (LA),PESSAC LEOGNAN  ,RED,CC,12,BT,OWC6,750.0,100
46,2005,CH. PALMER,MARGAUX,RED,3CC,300,BT,OWC6,275.0,98
47,2005,CH. PICQUE CAILLOU BLANC,PESSAC LEOGNAN  ,WHITE,,102,BT,OWC6,9.5,-
48,2005,CH. SUDUIRAUT,SAUTERNES       ,SWEET,1CC,72,BT,OWC12,41.0,-
