,Wine,Vintage,Format,Region,Cost,Qty,Negoce
0,CH. PONTET CANET,2013,1200cl,Bordeaux,1150.0,0,Dubos
1,CH. LEOVILLE BARTON,2013,1200cl,Bordeaux,830.0,0,Dubos
2,CH. FIGEAC,2013,1200cl,Bordeaux,1100.0,0,Dubos
3,CH. SMITH HAUT LAFITTE,2013,1200cl,Bordeaux,768.0,0,Dubos
4,CH. DUHART MILON ROTHSCHILD,1993,300cl,Bordeaux,225.0,0,Dubos
5,CH. FIGEAC,1993,300cl,Bordeaux,425.0,0,Dubos
6,CH. TALBOT,1995,300cl,Bordeaux,450.0,0,Dubos
7,CH. CALON SEGUR,1996,300cl,Bordeaux,375.0,0,Dubos
8,CH. DUHART MILON ROTHSCHILD,1997,300cl,Bordeaux,235.0,0,Dubos
9,CH. DUHART MILON ROTHSCHILD,2001,300cl,Bordeaux,378.0,0,Dubos
10,CH. MOUTON ROTHSCHILD,2004,300cl,Bordeaux,1800.0,0,Dubos
11,CH. LAFITE ROTHSCHILD,2005,300cl,Bordeaux,3750.0,0,Dubos
12,CH. LAFITE ROTHSCHILD,2006,300cl,Bordeaux,2950.0,0,Dubos
13,CH. LE GAY,2008,300cl,Bordeaux,335.0,0,Dubos
14,CH. COS D'ESTOURNEL,2009,300cl,Bordeaux,1450.0,0,Dubos
15,CH. LAFITE ROTHSCHILD,2010,300cl,Bordeaux,4300.0,0,Dubos
16,CH. MOUTON ROTHSCHILD,2010,300cl,Bordeaux,2780.0,0,Dubos
17,CH. LEOVILLE LAS CASES,2010,300cl,Bordeaux,850.0,0,Dubos
18,CH. MARGAUX,2010,300cl,Bordeaux,2900.0,0,Dubos
19,CH. HAUT BRION,2010,300cl,Bordeaux,2950.0,0,Dubos
20,CH. LAFITE ROTHSCHILD,2012,300cl,Bordeaux,1750.0,0,Dubos
21,CH. MOUTON ROTHSCHILD,2012,300cl,Bordeaux,1550.0,0,Dubos
22,CH. PONTET CANET,2012,300cl,Bordeaux,295.0,0,Dubos
23,CH. DUCRU BEAUCAILLOU,2012,300cl,Bordeaux,380.0,0,Dubos
24,CH. LEOVILLE POYFERRE,2012,300cl,Bordeaux,230.0,0,Dubos
