,Wine,Vintage,Format,Region,Cost,Qty,Negoce
0,CHATEAU BERNADOTTE,2011,75cl,Bordeaux,10.7,0,Joanne
1,CHATEAU BERNADOTTE,2010,75cl,Bordeaux,12.45,0,Joanne
2,CHATEAU CANTEMERLE,2013,75cl,Bordeaux,16.9,0,Joanne
3,CHATEAU CANTEMERLE,2012,75cl,Bordeaux,19.0,0,Joanne
4,CHATEAU CANTEMERLE,2011,75cl,Bordeaux,20.0,0,Joanne
5,CHATEAU CANTEMERLE,2010,75cl,Bordeaux,32.0,0,Joanne
6,CHATEAU CANTEMERLE,2009,75cl,Bordeaux,32.0,0,Joanne
7,CHATEAU CANTEMERLE,2006,75cl,Bordeaux,26.0,0,Joanne
8,CHATEAU CANTEMERLE,2004,75cl,Bordeaux,23.0,0,Joanne
9,CHATEAU CHARMAIL,2011,75cl,Bordeaux,10.0,0,Joanne
10,CHATEAU DE CAMENSAC,2011,75cl,Bordeaux,16.2,0,Joanne
11,CHATEAU LA LAGUNE,2013,75cl,Bordeaux,26.0,0,Joanne
12,CHATEAU LA LAGUNE,2012,75cl,Bordeaux,34.8,0,Joanne
13,CHATEAU LA LAGUNE,2011,75cl,Bordeaux,36.0,0,Joanne
14,CHATEAU LA LAGUNE,2010,75cl,Bordeaux,39.0,0,Joanne
15,CHATEAU LA LAGUNE,2009,75cl,Bordeaux,50.0,0,Joanne
16,CHATEAU LA TOUR CARNET,2013,75cl,Bordeaux,19.0,0,Joanne
17,CHATEAU LA TOUR CARNET,2011,75cl,Bordeaux,20.0,0,Joanne
18,CHATEAU LA TOUR CARNET,2010,75cl,Bordeaux,28.0,0,Joanne
19,CHATEAU LA TOUR CARNET,2009,75cl,Bordeaux,29.0,0,Joanne
20,CHATEAU PEYRABON,2009,75cl,Bordeaux,10.0,0,Joanne
21,CHATEAU SOCIANDO MALLET,2013,75cl,Bordeaux,18.0,0,Joanne
22,CHATEAU SOCIANDO MALLET,2009,75cl,Bordeaux,26.4,0,Joanne
23,DEMOISELLE DE SOCIANDO MALLET,2007,75cl,Bordeaux,10.8,0,Joanne
24,LES ALLEES DE CANTEMERLE,2010,75cl,Bordeaux,11.0,0,Joanne
25,LES ALLEES DE CANTEMERLE,2009,75cl,Bordeaux,11.3,0,Joanne
26,ALTER EGO DE PALMER,2012,75cl,Bordeaux,49.5,0,Joanne
27,ALTER EGO DE PALMER,2011,75cl,Bordeaux,49.0,0,Joanne
28,ALTER EGO DE PALMER,2010,75cl,Bordeaux,55.0,0,Joanne
29,BARON DE BRANE,2013,75cl,Bordeaux,13.8,0,Joanne
30,BARON DE BRANE,2012,75cl,Bordeaux,14.0,0,Joanne
31,BARON DE BRANE,2011,75cl,Bordeaux,14.0,0,Joanne
32,BARON DE BRANE,2010,75cl,Bordeaux,19.0,0,Joanne
33,BLASON D'ISSAN,2013,75cl,Bordeaux,13.8,0,Joanne
34,BRIO de CANTENAC BROWN,2013,75cl,Bordeaux,14.5,0,Joanne
35,BRIO de CANTENAC BROWN,2012,75cl,Bordeaux,15.7,0,Joanne
36,CHATEAU BRANE CANTENAC,2013,75cl,Bordeaux,28.0,0,Joanne
37,CHATEAU BRANE CANTENAC,2010,75cl,Bordeaux,63.0,0,Joanne
38,CHATEAU BRANE CANTENAC,2005,75cl,Bordeaux,75.0,0,Joanne
39,CHATEAU CANTENAC BROWN,2011,75cl,Bordeaux,32.0,0,Joanne
40,CHATEAU CANTENAC BROWN,2008,75cl,Bordeaux,43.0,0,Joanne
41,CHATEAU CANTENAC BROWN,2007,75cl,Bordeaux,38.0,0,Joanne
42,CHATEAU CANTENAC BROWN,2006,75cl,Bordeaux,50.0,0,Joanne
43,CHATEAU CANTENAC BROWN,2004,75cl,Bordeaux,48.0,0,Joanne
44,CHATEAU DAUZAC,2012,75cl,Bordeaux,26.0,0,Joanne
45,CHATEAU DAUZAC,2005,75cl,Bordeaux,41.0,0,Joanne
46,CHATEAU DESMIRAIL,2012,75cl,Bordeaux,21.0,0,Joanne
47,CHATEAU D'ISSAN,2013,75cl,Bordeaux,26.5,0,Joanne
48,CHATEAU D'ISSAN,2011,75cl,Bordeaux,33.0,0,Joanne
49,CHATEAU D'ISSAN,2009,75cl,Bordeaux,55.0,0,Joanne
50,CHATEAU D'ISSAN,2005,75cl,Bordeaux,85.0,0,Joanne
51,CHATEAU DU TERTRE,2013,75cl,Bordeaux,21.0,0,Joanne
52,CHATEAU DU TERTRE,2011,75cl,Bordeaux,25.5,0,Joanne
53,CHATEAU DURFORT VIVENS,2012,75cl,Bordeaux,31.0,0,Joanne
54,CHATEAU FERRIERE,2009,75cl,Bordeaux,37.0,0,Joanne
55,CHATEAU GISCOURS,2013,75cl,Bordeaux,27.0,0,Joanne
56,CHATEAU GISCOURS,2012,75cl,Bordeaux,31.0,0,Joanne
