,Wine,Vintage,Format,Region,Cost,Qty,Negoce
0,DRC/ROMANEE CONTI,2012,75.0,Burgundy,12200.0,0,RCA
1,DRC/ROMANEE CONTI,2011,75.0,Burgundy,12300.0,0,RCA
2,DRC/ROMANEE CONTI,2010,75.0,Burgundy,13100.0,0,RCA
3,DRC/ROMANEE CONTI,2009,75.0,Burgundy,13100.0,0,RCA
4,DRC/ROMANEE CONTI,2007,75.0,Burgundy,12750.0,0,RCA
5,DRC/ROMANEE CONTI,2004,75.0,Burgundy,12400.0,0,RCA
6,DRC/ROMANEE CONTI,2002,75.0,Burgundy,13400.0,0,RCA
7,DRC/ROMANEE CONTI,2001,75.0,Burgundy,13100.0,0,RCA
8,DRC/ROMANEE CONTI,1999,75.0,Burgundy,16500.0,0,RCA
9,DRC/ROMANEE CONTI,1997,75.0,Burgundy,11400.0,0,RCA
10,DRC/ROMANEE CONTI,1996,75.0,Burgundy,13000.0,0,RCA
11,DRC/ROMANEE CONTI,1995,75.0,Burgundy,13000.0,0,RCA
12,DRC/ROMANEE CONTI,1994,75.0,Burgundy,11750.0,0,RCA
13,DRC/ROMANEE CONTI,1990,75.0,Burgundy,16250.0,0,RCA
14,DRC/ROMANEE CONTI,1989,75.0,Burgundy,12450.0,0,RCA
15,DRC/ROMANEE CONTI,1988,75.0,Burgundy,11100.0,0,RCA
16,DRC/ROMANEE CONTI,1984,75.0,Burgundy,10000.0,0,RCA
17,DRC/ROMANEE CONTI,1980,75.0,Burgundy,10300.0,0,RCA
18,DRC/ROMANEE CONTI,1975,75.0,Burgundy,8500.0,0,RCA
19,DRC/ECHEZEAUX,2008,75.0,Burgundy,1015.0,0,RCA
20,DRC/ECHEZEAUX,2004,75.0,Burgundy,1040.0,0,RCA
21,DRC/GRANDS ECHEZEAUX,2012,75.0,Burgundy,1100.0,0,RCA
22,DRC/GRANDS ECHEZEAUX,2011,75.0,Burgundy,1040.0,0,RCA
23,DRC/GRANDS ECHEZEAUX,2010,75.0,Burgundy,1280.0,0,RCA
24,DRC/GRANDS ECHEZEAUX,2008,75.0,Burgundy,1150.0,0,RCA
25,DRC/GRANDS ECHEZEAUX,2005,75.0,Burgundy,1550.0,0,RCA
26,DRC/GRANDS ECHEZEAUX,2004,75.0,Burgundy,1160.0,0,RCA
27,DRC/LA TACHE,2012,75.0,Burgundy,2750.0,0,RCA
28,DRC/LA TACHE,2011,75.0,Burgundy,2050.0,0,RCA
29,DRC/LA TACHE,2010,75.0,Burgundy,2900.0,0,RCA
30,DRC/LA TACHE,2009,75.0,Burgundy,2900.0,0,RCA
31,DRC/LA TACHE,2007,75.0,Burgundy,2200.0,0,RCA
32,DRC/LA TACHE,2006,75.0,Burgundy,2250.0,0,RCA
