,Wine,Vintage,Format,Cost,Qty,Negoce
0,YQUEM (D'),2013,12000ml,4200.0,2,RCA
1,YQUEM (D'),2013,15000ml,5250.0,1,RCA
2,ARMAND DE BRIGNAC Brut,NV,1500ml,480.0,24,RCA
3,ARMAND DE BRIGNAC Rosé,NV,1500ml,730.0,24,RCA
4,DOMAINE de la Janasse / VIEILLES VIGNES,2012,1500ml,105.0,23,RCA
5,SASSICAIA (San Guido),2013,1500ml,240.0,3,RCA
6,SASSICAIA (San Guido),2007,1500ml,528.0,9,RCA
7,ANGELUS / LE PLUS DE LA FLEUR DE BOUARD,2010,1500ml,190.0,30,RCA
8,ARMAILHAC (Mouton),2000,1500ml,137.0,6,RCA
9,AUSONE / SIMARD,2005,1500ml,26.0,5000,RCA
10,AUSONE / SIMARD,1998,1500ml,24.0,4000,RCA
11,AUSONE / SIMARD,1995,1500ml,24.0,700,RCA
12,BEYCHEVELLE,2014,1500ml,130.0,6,RCA
13,BRANAIRE DUCRU,2014,1500ml,62.0,30,RCA
14,CALON SEGUR,1988,1500ml,190.0,1,RCA
15,CAMENSAC / CLOSERIE DE CAMENSAC,2006,1500ml,21.0,90,RCA
16,CANTEMERLE,2005,1500ml,80.0,30,RCA
17,CHEVAL BLANC,2010,1500ml,1800.0,60,RCA
18,CHEVAL BLANC,2009,1500ml,1525.0,60,RCA
19,CHEVAL BLANC,2008,1500ml,830.0,24,RCA
20,CHEVAL BLANC,2007,1500ml,800.0,60,RCA
21,CHEVAL BLANC,2006,1500ml,790.0,48,RCA
22,CHEVAL BLANC,2005,1500ml,1310.0,12,RCA
23,CHEVAL BLANC,2004,1500ml,800.0,24,RCA
24,CHEVAL BLANC,1955,1500ml,2900.0,1,RCA
25,CLINET,2014,1500ml,89.0,30,RCA
26,CROIZET BAGES,1962,1500ml,140.0,200,RCA
27,DURFORT VIVENS,2012,1500ml,53.0,12,RCA
28,EGLISE CLINET (L'),1999,1500ml,250.0,6,RCA
29,FONPLEGADE,2011,1500ml,56.3,198,RCA
30,FONPLEGADE,2008,1500ml,65.95,85,RCA
31,FONPLEGADE/FLEUR DE FONPLEGADE,2010,1500ml,30.0,1700,RCA
32,FONPLEGADE/FLEUR DE FONPLEGADE,2008,1500ml,27.0,222,RCA
33,GAY (LE),2009,1500ml,273.0,6,RCA
34,GIROLATE (DESPAGNE),2009,1500ml,95.0,12,RCA
35,GISCOURS,1996,1500ml,130.0,60,RCA
36,HAUT BRION,1947,1500ml,6500.0,1,RCA
37,HAUT BRION / CLARENCE HAUT BRION,2013,1500ml,125.0,18,RCA
38,HAUT BRION / CLARENCE HAUT BRION,2012,1500ml,148.0,60,RCA
39,HAUT BRION / CLARENCE HAUT BRION,2011,1500ml,164.0,48,RCA
40,HAUT BRION / CLARENCE HAUT BRION,2010,1500ml,228.0,48,RCA
41,HAUT BRION / CLARENCE HAUT BRION,2009,1500ml,205.0,48,RCA
42,ISSAN (D'),2014,1500ml,60.0,12,RCA
43,LAFITE ROTHSCHILD,2014,1500ml,695.0,12,RCA
44,LAFITE ROTHSCHILD,1988,1500ml,1350.0,6,RCA
45,LAFITE ROTHSCHILD,1909,1500ml,11500.0,1,RCA
46,LAGRANGE,2014,1500ml,55.0,12,RCA
47,LARRIVET HAUT BRION Blanc,2013,1500ml,55.0,600,RCA
48,LARRIVET HAUT BRION Blanc/DEMOISELLES…,2013,1500ml,27.5,60,RCA
49,LASCOMBES,2014,1500ml,90.0,12,RCA
50,LATOUR,1948,1500ml,5300.0,6,RCA
51,LATOUR / LES FORTS DE LATOUR,2006,1500ml,302.0,24,RCA
52,LATOUR / LES FORTS DE LATOUR,2003,1500ml,410.0,18,RCA
53,LEOVILLE POYFERRE,1994,1500ml,105.0,6,RCA
54,LEOVILLE POYFERRE,1993,1500ml,94.0,24,RCA
55,LYNCH BAGES,2005,1500ml,290.0,24,RCA
56,MARGAUX,1961,1500ml,3600.0,2,RCA
57,MARGAUX / PAVILLON ROUGE,2006,1500ml,285.0,60,RCA
58,MARGAUX / PAVILLON ROUGE,2004,1500ml,285.0,12,RCA
59,MONDOTTE (LA),2002,1500ml,270.0,6,RCA
60,MOUTON ROTHSCHILD,2001,1500ml,932.0,6,RCA
61,MOUTON ROTHSCHILD / Petit Mouton,2012,1500ml,320.0,24,RCA
62,MOUTON ROTHSCHILD / Petit Mouton,2011,1500ml,320.0,30,RCA
63,MOUTON ROTHSCHILD / Petit Mouton,2009,1500ml,360.0,6,RCA
64,MOUTON ROTHSCHILD / Petit Mouton,2008,1500ml,340.0,24,RCA
65,MOUTON ROTHSCHILD / Petit Mouton,2007,1500ml,340.0,24,RCA
66,MOUTON ROTHSCHILD / Petit Mouton,2006,1500ml,340.0,24,RCA
67,MOUTON ROTHSCHILD / Petit Mouton,2004,1500ml,340.0,24,RCA
68,PALMER / ALTER EGO,2014,1500ml,80.0,18,RCA
69,PALMER / ALTER EGO,2006,1500ml,118.0,9,RCA
70,PAVIE,2012,1500ml,590.0,12,RCA
71,PETRUS,1975,1500ml,6250.0,3,RCA
72,PHELAN SEGUR,2012,1500ml,57.0,240,RCA
73,PHELAN SEGUR,2011,1500ml,59.5,240,RCA
74,PICHON BARON,2013,1500ml,123.0,120,RCA
75,PICHON BARON,2006,1500ml,205.0,60,RCA
76,PIN (LE),2014,1500ml,3920.0,6,RCA
77,RAUZAN GASSIES,2012,1500ml,84.0,36,RCA
78,RAUZAN GASSIES,2011,1500ml,86.0,36,RCA
79,RAUZAN GASSIES,2008,1500ml,90.5,36,RCA
80,RAUZAN GASSIES,2007,1500ml,90.5,36,RCA
81,RAUZAN GASSIES,2006,1500ml,90.5,36,RCA
82,RAUZAN GASSIES,2002,1500ml,80.0,24,RCA
83,RAUZAN GASSIES,1996,1500ml,104.0,36,RCA
84,SMITH HAUT LAFITTE,2012,1500ml,123.0,24,RCA
85,SMITH HAUT LAFITTE,2009,1500ml,458.0,12,RCA
86,SMITH HAUT LAFITTE,2005,1500ml,387.0,6,RCA
87,TAILLEFER,2012,1500ml,30.0,60,RCA
88,TAILLEFER,2006,1500ml,30.0,300,RCA
89,TAILLEFER,2003,1500ml,33.0,180,RCA
90,TAILLEFER,1994,1500ml,25.0,120,RCA
91,TAILLEFER,1993,1500ml,23.0,60,RCA
92,TAILLEFER,1990,1500ml,34.5,42,RCA
93,TAILLEFER,1989,1500ml,34.5,48,RCA
94,TAILLEFER,1988,1500ml,34.5,60,RCA
95,TALBOT,1996,1500ml,179.0,60,RCA
96,TOUR CARNET (LA),2013,1500ml,42.0,186,RCA
97,YQUEM (D'),2014,1500ml,500.0,60,RCA
98,YQUEM (D') / Y DE YQUEM,2015,1500ml,200.0,18,RCA
99,ARMAND DE BRIGNAC Brut,NV,3000ml,1690.0,6,RCA
100,ARMAND DE BRIGNAC Rosé,NV,3000ml,2450.0,6,RCA
101,DOMAINE PEGAU / CUVEE DA CAPO,2010,3000ml,1350.0,5,RCA
102,SASSICAIA (San Guido),2013,3000ml,465.0,1,RCA
103,ARMAILHAC (Mouton),2011,3000ml,172.0,6,RCA
104,ARMAILHAC (Mouton),2009,3000ml,182.0,5,RCA
105,ARMAILHAC (Mouton),2005,3000ml,237.0,4,RCA
106,ARMAILHAC (Mouton),2003,3000ml,200.0,2,RCA
107,ARMAILHAC (Mouton),1997,3000ml,169.0,2,RCA
