,Wine,Vintage,Format,Cost,Qty,Negoce
0,Aile d'Argent Blanc du Chateau Mouton Rothschild,2014,750ml,425.0,12,Cuvees
1,Chevalier de Lascombes,2011,750ml,183.2,24,Cuvees
2,Chateau Dauzac,2009,750ml,297.5,36,Cuvees
3,Chateau Dauzac,2013,750ml,178.5,12,Cuvees
4,Chateau Grand Puy Lacoste,2013,750ml,265.2,36,Cuvees
5,Chateau Monbousquet,2013,750ml,220.6,96,Cuvees
6,Chateau Talbot,2012,750ml,314.5,60,Cuvees
7,Chateau Calon Segur,2002,750ml,646.0,24,Cuvees
8,Chateau Ducru Beaucaillou,1997,750ml,833.0,36,Cuvees
9,La Clarte de Haut Brion Blanc,2014,750ml,535.5,120,Cuvees
10,Chateau Rauzan Segla,1995,750ml,790.5,24,Cuvees
11,Chateau Rauzan Segla,2000,750ml,833.0,24,Cuvees
12,Chateau Palmer,1998,750ml,1743.0,12,Cuvees
13,Chateau Palmer,1985,750ml,1573.0,6,Cuvees
14,Opus One,2013,750ml,1573.0,48,Cuvees
15,Overture,2012,750ml,722.5,48,Cuvees
16,Sena,2014,750ml,620.5,36,Cuvees
17,Antinori Solaia,2013,750ml,1105.0,12,Cuvees
