,Item Code,Item Name,Stock ,Unit,Trade,Format,RATING,SCORES
0,CF3ALA0121990-A,Champagne Alain Robert Les Mesnil Reserve Tete de 1990 (US),3,BOTTLE,"$8,800 ",1.5L,,
1,CF3BOL0111982-IC,Bollinger R.D. Extra Brut 1982 (Gift Box),2,BOTTLE,"$2,950 ",750ML,,
2,CF3DEL0212002,Delamotte Blanc de Blancs 2002,3,BOTTLE,$690 ,750ML,WA,94
3,CF3DOM0222002,Dom Perignon 2002,1,BOTTLE,"$2,800 ",1.5L,WA,96
4,CF3DOM1411971-IC,Dom Perignon P3 1971 (Gift box),3,BOTTLE,"$13,900 ",750ML,,
5,CF3EGL081NV,Egly Ouriet Tradition Brut NV,11,BOTTLE,$590 ,750ML,WA,89
6,CF3KRU0111973-A,Krug 1973 (US Label),1,BOTTLE,"$9,800 ",750ML,WS,92
7,CF3KRU0112003-IC,Krug 2003 (Gift Box),1,BOTTLE,"$1,950 ",750ML,,
8,CF3KRU011NV-IC,Krug Grande Cuvee (gift box),48,BOTTLE,"$1,390 ",750ML,WA,90
9,CF3KRU0121953,Krug 1953,1,BOTTLE,"$68,000 ",1.5L,,
10,CF3KRU0121969,Krug 1969,1,BOTTLE,"$48,000 ",1.5L,WS,89
11,CF3KRU0211990,Krug Clos du Mesnil 1990 ,2,BOTTLE,"$10,500 ",750ML,,
12,CF3KRU0211990-OWC1,Krug Clos du Mesnil 1990 (owc1),2,BOTTLE,"$10,500 ",750ML,,
13,CF3KRU031NV,Krug Rose NV,25,BOTTLE,"$2,250 ",750ML,WS,96
14,CF3KRU031NV-IC,Krug Rose NV (Gift box),1,BOTTLE,"$2,250 ",750ML,WA,93
15,CF3KRU0611979-IC,Krug Collection 1979 (Gift Box),1,BOTTLE,"$13,500 ",750ML,,
16,CF3LEN0521964,Lenoble Blanc de Blancs Grand Cru 1964,6,BOTTLE,"$6,300 ",1.5L,,
17,CF3LEN0521973,Lenoble Blanc de Blancs Grand Cru 1973,6,BOTTLE,"$5,500 ",1.5L,,
18,CF3LEN0521995,Lenoble Blanc de Blancs Grand Cru 1995,2,BOTTLE,"$3,900 ",1.5L,,
19,CF3LEN0521996,Lenoble Blanc de Blancs Grand Cru 1996,3,BOTTLE,"$3,900 ",1.5L,,
20,CF3PHI0211982-OWC1,Philipponnat Champagne Brut Clos des Goisses 1982 (owc1),3,BOTTLE,"$3,950 ",750ML,WS,98
21,CF3PHI0211983-OWC1,Philipponnat Champagne Brut Clos des Goisses 1983 (owc1),3,BOTTLE,"$3,500 ",750ML,,
