,Growth,Type (English),Type (Chinese),Vendor (English),Vendor (Chinese),Wine (English),Wine (Chinese),Region (English),Region (Chinese),Country (English),Country (Chinese),Vintage,Ratings
0,Bordeaux Grand Cru Classe 1st Growths,Red,紅酒,Domaines Barons de Rothschild,拉菲酒莊,Chateau Lafite Rothschild,拉菲,Bordeaux,波爾多,France,法國,2005.0,RP96
1,Bordeaux Grand Cru Classe 1st Growths,Red,紅酒,Domaines Barons de Rothschild,拉菲酒莊,Carruades de Lafite,小拉菲,Bordeaux,波爾多,France,法國,2005.0,RP96
2,Bordeaux Grand Cru Classe 1st Growths,Red,紅酒,Chateau Latour,拉图酒莊,Chateau Latour,,Bordeaux,波爾多,France,法國,2005.0,RP96
3,Bordeaux Grand Cru Classe 1st Growths,Red,紅酒,Chateau Latour,拉图酒莊,Les Forts de Latour,,Bordeaux,波爾多,France,法國,2005.0,RP96
4,Bordeaux Grand Cru Classe 1st Growths,Red,紅酒,Chateau Latour,拉图酒莊,Pauillac de Latour,,Bordeaux,波爾多,France,法國,2005.0,RP96
5,Bordeaux Grand Cru Classe 1st Growths,Red,紅酒,Chateau Margaux,瑪歌酒莊,Chateau Margaux,,"Margaux, Bordeaux","瑪歌, 波爾多",France,法國,2005.0,RP96
6,Bordeaux Grand Cru Classe 1st Growths,Red,紅酒,Chateau Margaux,瑪歌酒莊,Pavillon Rouge du Chateau Margaux,,"Margaux, Bordeaux","瑪歌, 波爾多",France,法國,2005.0,RP96
7,Bordeaux Grand Cru Classe 1st Growths,White,白酒,Chateau Margaux,瑪歌酒莊,Pavillon Blanc du Chateau Margaux,,"Margaux, Bordeaux","瑪歌, 波爾多",France,法國,2005.0,RP96
8,Bordeaux Grand Cru Classe 1st Growths,Red,紅酒,Chateau Margaux,瑪歌酒莊,Margaux du Chateau Margaux,,"Margaux, Bordeaux","瑪歌, 波爾多",France,法國,2005.0,RP96
9,Bordeaux Grand Cru Classe 1st Growths,Red,紅酒,Chateau Haut Brion,侯伯王酒莊,Chateau Haut Brion,,Bordeaux,波爾多,France,法國,2005.0,RP96
10,Bordeaux Grand Cru Classe 1st Growths,Red,紅酒,Chateau Haut Brion,侯伯王酒莊,Le Clarence de Haut Brion,,Bordeaux,波爾多,France,法國,2005.0,RP96
11,Bordeaux Grand Cru Classe 1st Growths,White,白酒,Chateau Haut Brion,侯伯王酒莊,Chateau Haut Brion Blanc,,Bordeaux,波爾多,France,法國,2005.0,RP96
12,Bordeaux Grand Cru Classe 1st Growths,White,白酒,Chateau Haut Brion,侯伯王酒莊,La Clarte de Haut Brion,,Bordeaux,波爾多,France,法國,2005.0,RP96
13,Bordeaux Grand Cru Classe 1st Growths,Red,紅酒,Baron Philippe de Rothschild,木桐酒莊,Chateau Mouton Rothschild,,Bordeaux,波爾多,France,法國,2005.0,RP96
14,Bordeaux Grand Cru Classe 1st Growths,Red,紅酒,Baron Philippe de Rothschild,木桐酒莊,Le Petit Mouton de Mouton Rothschild,,Bordeaux,波爾多,France,法國,2005.0,RP96
15,Bordeaux Grand Cru Classe 1st Growths,White,白酒,Baron Philippe de Rothschild,木桐酒莊,Aile d’Argent de Mouton Rothschild,,Bordeaux,波爾多,France,法國,2005.0,RP96
16,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Rauzan Segla,,Chateau Rauzan Segla,,Bordeaux,波爾多,France,法國,2005.0,RP96
17,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Rauzan Segla,,Segla,,Bordeaux,波爾多,France,法國,2005.0,RP96
18,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Rauzan Gassies,,Chateau Rauzan Gassies,,"Margaux, Bordeaux","瑪歌, 波爾多",France,法國,2005.0,RP96
19,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Leoville Las Cases,,Chateau Leoville Las Cases,,Bordeaux,波爾多,France,法國,2005.0,RP96
20,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Leoville Las Cases,,Clos du Marquis,,Bordeaux,波爾多,France,法國,,
21,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Leoville Las Cases,,Petit Lion du Marquis de Las Cases,,Bordeaux,波爾多,France,法國,,
22,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Leoville Poyferre,,Chateau Leoville Poyferre,,Bordeaux,波爾多,France,法國,,
23,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Leoville Poyferre,,Pavillon de Leoville Poyferre,,Bordeaux,波爾多,France,法國,,
24,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Leoville Poyferre,,Chateau Moulin Riche,,Bordeaux,波爾多,France,法國,,
25,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Leoville Barton,,Chateau Leoville Barton,,"St. Julien, Bordeaux",波爾多,France,法國,,
26,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Durfort Vivens,,Chateau Durfort Vivens,,"Margaux, Bordeaux","瑪歌, 波爾多",France,法國,,
27,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Durfort Vivens,,Vivens,,"Margaux, Bordeaux","瑪歌, 波爾多",France,法國,,
28,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Durfort Vivens,,Relais de Durfort Vivens,,"Margaux, Bordeaux",波爾多,France,法國,,
29,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Gruaud Larose,,Chateau Gruaud Larose,,"St. Julien, Bordeaux",波爾多,France,法國,,
30,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Gruaud Larose,,Sarget,,"St. Julien, Bordeaux",波爾多,France,法國,,
31,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Lascombes,,Chateau Lascombes,,"Margaux, Bordeaux","瑪歌, 波爾多",France,法國,,
32,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Lascombes,,Chevalier de Lascombes,,"Margaux, Bordeaux","瑪歌, 波爾多",France,法國,,
33,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Lascombes,,Haut Medoc de Lascombes,,"Margaux, Bordeaux","瑪歌, 波爾多",France,法國,,
34,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Brane Cantenac,,Chateau Brane Cantenac,,"Margaux, Bordeaux","瑪歌, 波爾多",France,法國,,
35,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Brane Cantenac,,Baron de Brane,,"Margaux, Bordeaux",波爾多,France,法國,,
36,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Brane Cantenac,,Margaux de Brane,,"Margaux, Bordeaux",波爾多,France,法國,,
37,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Pichon Longueville Baron,,Chateau Pichon Longueville Baron,,"Pauillac, Bordeaux",波爾多,France,法國,,
38,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Pichon Longueville Baron,,Les Griffons de Pichon Baron,,"Pauillac, Bordeaux",波爾多,France,法國,,
39,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Pichon Longueville Baron,,Les Tourelles de Longueville,,"Pauillac, Bordeaux",波爾多,France,法國,,
40,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Pichon Comtesse de Lalande,,Chateau Pichon Comtesse de Lalande,,"Pauillac, Bordeaux",波爾多,France,法國,,
41,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Pichon Comtesse de Lalande,,Reserve de la Comtesse,,"Pauillac, Bordeaux",波爾多,France,法國,,
42,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Ducru Beaucaillou,,Chateau Ducru Beaucaillou,,"St. Julien, Bordeaux",波爾多,France,法國,,
43,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Ducru Beaucaillou,,Croix de Beaucaillou,,"St. Julien, Bordeaux",波爾多,France,法國,,
