,Wine,Price,Date,Year,Region,Format,Markup Price,Markup %,WS Merchant,WS Price,Negoce,Recommended Selling Price,Sell,Margin,Quantity,Type,Vendor
0,RIDGE MONTE BELLO,1165,2017-01-22 08:00,1999,Cupertino,75cl,1392.18,19.50%,Altaya Wines,1090,Cuvees,1390,No,225,0,Red,RIDGE
1,PAVIE,1623,2017-01-22 08:00,2006,Bordeaux,75cl,1916.76,18.10%,Grand Cru Cellar Intl Ltd Wholesale,1750,Cuvees,1915,No,292,0,Red,PAVIE
2,Chevalier de Lascombes,183.18,2017-01-22 08:00,2011,Bordeaux,75cl,302.25,65.00%,Kerry Wines,210,Cuvees,300,No,117,0,Red,Chateau Lascombes
3,Chateau Pichon Baron,1631.03,2017-01-22 08:00,2000,Bordeaux,75cl,1926.25,18.10%,iDealwine Hong Kong,993.1,Dynamic,1925,No,294,0,Red,Chateau Pichon Baron
4,MALESCOT,515,2017-01-22 08:00,2008,Bordeaux,75cl,643.75,25.00%,Red Wine Cellar Ltd.,445,Cuvees,640,No,125,0,Red,MALESCOT
5,Chateau Lafite Rothschild,8820.83,2017-01-22 08:00,1995,Bordeaux,75cl,10196.88,15.60%,"Sotheby's Wine Hong Kong, Auction",3750,Dynamic,10195,No,1374,0,Red,Chateau Lafite Rothschild
6,DOMINUS,1170,2017-01-22 08:00,2009,Napa,75cl,1398.15,19.50%,Hong Kong Wine Vault,1280,Cuvees,1398,No,228,0,Red,DOMINUS
7,Chateau Palmer,1742.5,2017-01-22 08:00,1998,Bordeaux,75cl,2054.41,17.90%,Ganpei Vintners Limited Marvino Wine Merchants,1650,Cuvees,2050,No,308,0,Red,Chateau Palmer
8,CARBONNIEUX BLANC,171,2017-01-22 08:00,2012,Bordeaux,75cl,282.15,65.00%,SYBA China Ltd.,265,Cuvees,280,No,109,0,White,CARBONNIEUX
9,FIGEAC,590,2017-01-22 08:00,1997,Bordeaux,75cl,737.50,25.00%,Red Wine Cellar Ltd.,810,Cuvees,790,Yes,200,0,Red,FIGEAC
10,Chateau Lafite Rothschild,44100,2017-01-22 08:00,1982,Bordeaux,75cl,50847.30,15.30%,iDealwine Hong Kong,11586.21,Dynamic,50845,No,6745,0,Red,Chateau Lafite Rothschild
11,MARJOSSE ROUGE,53,2017-01-22 08:00,2012,Bordeaux,75cl,87.45,65.00%,Y18 Elegant Spirits Ltd.,105,Cuvees,103,Yes,50,0,Red,MARJOSSE
12,GAZIN,755,2017-01-22 08:00,2001,Bordeaux,75cl,921.86,22.10%,The Fine Wine Experience,720,Cuvees,920,No,165,0,Red,GAZIN
13,SASSICAIA,1830,2017-01-22 08:00,2004,Tuscany,75cl,2155.74,17.80%,Ganpei Vintners Limited,1650,Cuvees,2155,No,325,0,Red,SASSICAIA
14,Chateau Latour,10662.03,2017-01-22 08:00,2009,Bordeaux,75cl,12314.64,15.50%,"Sotheby's Wine Hong Kong, Auction",6666.67,Dynamic,12315,No,1653,0,Red,Chateau Latour
15,Carruades de Lafite,4370.46,2017-01-22 08:00,2000,Bordeaux,75cl,5082.84,16.30%,iDealwine Hong Kong,1241.38,Dynamic,5080,No,710,0,Red,Chateau Lafite Rothschild
16,Chateau La Mission Haut Brion,5709.4,2017-01-22 08:00,2009,Bordeaux,75cl,6622.90,16.00%,Chateau Bordeaux,4590,Dynamic,6620,No,911,0,Red,Chateau La Mission Haut Brion
17,GRILLET,1720,2017-01-22 08:00,2011,Bordeaux,75cl,2027.88,17.90%,The Fine Wine Experience,1500,Cuvees,2028,No,308,0,White,GRILLET
18,MONTROSE,599,2017-01-22 08:00,2007,Bordeaux,75cl,748.75,25.00%,iDealwine Hong Kong,413.79,Cuvees,748,No,149,0,Red,MONTROSE
