,cost,country chinese,country english,format,growth,negoce,qty,rating,region chinese,region english,type chinese,type english,vendor chinese,vendor english,vintage,wine
0,425.0,法國,France,750ml,Bordeaux Grand Cru Classe 1st Growths,Cuvees,12312,RP96,波爾多,Bordeaux,白酒,White,木桐酒莊,Baron Philippe de Rothschild,2014,Aile d'Argent Blanc du Chateau Mouton Rothschild
1,183.2,法國,France,750ml,Bordeaux Grand Cru Classe 2nd Growths,Cuvees,24,,"瑪歌, 波爾多","Margaux, Bordeaux",紅酒,Red,,Chateau Lascombes,2011,Chevalier de Lascombes
10,833.0,法國,France,750ml,Bordeaux Grand Cru Classe 2nd Growths,Cuvees,24,RP96,波爾多,Bordeaux,紅酒,Red,,Chateau Rauzan Segla,2000,Chateau Rauzan Segla
11,1743.0,法國,France,750ml,Bordeaux Grand Cru Classe 3rd Growths,Cuvees,12,,波爾多,"Margaux, Bordeaux",紅酒,Red,,Chateau Palmer,1998,Chateau Palmer
12,1573.0,法國,France,750ml,Bordeaux Grand Cru Classe 3rd Growths,Cuvees,6,,波爾多,"Margaux, Bordeaux",紅酒,Red,,Chateau Palmer,1985,Chateau Palmer
13,1573.0,美國,USA,750ml,,Cuvees,48,,納帕,Napa,紅酒,Red,,Opus One,2013,Opus One
14,722.5,美國,USA,750ml,,Cuvees,48,,納帕,Napa,紅酒,Red,,Opus One,2012,Overture
15,620.5,智利,Chile,750ml,,Cuvees,36,,阿空加瓜,Aconcagua,紅酒,Red,,Sena,2014,Sena
2,297.5,法國,France,750ml,Bordeaux Grand Cru Classe 5th Growths,Cuvees,36,,波爾多,"Margaux, Bordeaux",紅酒,Red,,Chateau Dauzac,2009,Chateau Dauzac
3,178.5,法國,France,750ml,Bordeaux Grand Cru Classe 5th Growths,Cuvees,12,,波爾多,"Margaux, Bordeaux",紅酒,Red,,Chateau Dauzac,2013,Chateau Dauzac
4,265.2,法國,France,750ml,Bordeaux Grand Cru Classe 5th Growths,Cuvees,36,,波爾多,"Pauillac, Bordeaux",紅酒,Red,,Chateau Grand Puy Lacoste,2013,Chateau Grand Puy Lacoste
5,220.6,法國,France,750ml,St. Emilion Grand Cru Classe,Cuvees,96,,波爾多,"St. Emilion, Bordeaux",紅酒,Red,,Chateau Monbousquet,2013,Chateau Monbousquet
6,314.5,法國,France,750ml,Bordeaux Grand Cru Classe 4th Growths,Cuvees,60,,波爾多,"St. Julien, Bordeaux",紅酒,Red,,Chateau Talbot,2012,Chateau Talbot
7,646.0,法國,France,750ml,Bordeaux Grand Cru Classe 3rd Growths,Cuvees,24,,波爾多,"St. Estephe, Bordeaux",紅酒,Red,,Chateau Calon Segur,2002,Chateau Calon Segur
8,833.0,法國,France,750ml,Bordeaux Grand Cru Classe 2nd Growths,Cuvees,36,,波爾多,"St. Julien, Bordeaux",紅酒,Red,,Chateau Ducru Beaucaillou,1997,Chateau Ducru Beaucaillou
9,790.5,法國,France,750ml,Bordeaux Grand Cru Classe 2nd Growths,Cuvees,24,RP96,波爾多,Bordeaux,紅酒,Red,,Chateau Rauzan Segla,1995,Chateau Rauzan Segla
