,,,TWINS,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,,Tel,00 33 5 56 39 51 51,,,,PRICE LIST,,,,,,
,,Fax,00 33 5 56 29 12 76,,,,,,,MAY 2016,,,
,,Email,twins@twinsbordeaux.com,,,,,,,,,,
New Items,,,,,,,,,,,,,
Haut Brion 1990,,,Pape Clement 2009,,,brane cantenac 2009,,,cheval blanc 99/01/05,,clerc milon 05/09,,
Margaux 1983,,,Leoville Barton 2010,,,Gloria 00/09,,,pavie maquin 2009,,armailhac 09,,
Latour 1990/94/09,,,La Dominique 2011,,,Talbot 09/10,,,malartic lagraviere red 2009,,Mouton Rothschild 2010,,
Palmer 2006,,,D'Yquem mixed case,,,saint pierre 2010,,,haut bergey 2011,,Beausejour Becot 2000,,
Duhart Milon 2012/2013,,,Fleur de Gay 1994/2010,,,beychevelle 75/80/81,,,haut bailly 98/08,,,,
Haut Brion 2001/2008/2012,,,Gazin 2010,,,leoville barton 08/09/10,,,camensac 09/10,,,,
Margaux 98/99/01,,,Evangile 2010/2011,,,leoville las cases 96,,,Malescot saint exupery 1986,,,,
Mission Haut brion 2011/2009,,,tertre roteboeuf 1995,,,Meyney 09/11,,,Giscours 2010,,,,
Potensac 2010,,,bellevue mondotte 2012,,,Lafon Rochet 2008,,,rauzan segla 2009,,,,
Rieussec 2010,,,cote de baleau 2010,,,Pontet Canet 2005,,,Lascombes 03/05/06/10 formats,,,,
Lafite Rothschild 2012,,,pavie decesse 2009,,,lynch bages 2005,,,,,,,
Commune,ranking,Year,wine,Size,parker,price,Notes,Year,wine (second / white),Bottle,price,,parker
PAUILLAC,1RST,1988,MOUTON ROTHSCHILD,"1,5L",89,770,Mag,,,,,,
PAUILLAC,1RST,1990,MOUTON ROTHSCHILD,"1,5L",,770,Mag,,,,,,
PAUILLAC,1RST,2001,MOUTON ROTHSCHILD,75cl,89,399,,,,,,,
PAUILLAC,1RST,2005,MOUTON ROTHSCHILD,75cl,97,540,,,,,,,
PAUILLAC,1RST,2008,MOUTON ROTHSCHILD,75cl,94,390,,,,,,,
PAUILLAC,1RST,2009,MOUTON ROTHSCHILD,75cl,99,650,,,,,,,
PAUILLAC,1RST,2010,MOUTON ROTHSCHILD,75cl,97+,595,,,,,,,
PAUILLAC,1RST,2011,MOUTON ROTHSCHILD,75cl,92,345,,,,,,,
PAUILLAC,1RST,2011,MOUTON ROTHSCHILD,"1,5L",92,700,Mag,,,,,,
PAUILLAC,1RST,2012,MOUTON ROTHSCHILD,75cl,94,339,,,,,,,
PAUILLAC,1RST,2013,MOUTON ROTHSCHILD,75cl,91-93,295,,,,,,,
PAUILLAC,1RST,2010,LAFITE ROTHSCHILD,75cl,98,750,,,,,,,
PAUILLAC,1RST,2012,LAFITE ROTHSCHILD,75cl,91,395,,2001,CARRUADES DE LAFITE,3 Lit,700,,
PAUILLAC,1RST,2013,LAFITE ROTHSCHILD,75cl,87-89,385,,2010,CARRUADES DE LAFITE,75cl,170,,94
PAUILLAC,1RST,1986, LATOUR  ,"1,5L",90,965,Mag,,,,,,
PAUILLAC,1RST,1986, LATOUR  ,"3,0L",90,2155,DMAG,,,,,,
PAUILLAC,1RST,1988, LATOUR  ,"1,5L",91,950,Mag,,,,,,
PAUILLAC,1RST,1989, LATOUR  ,"1,5L",89,950,Mag,,,,,,
PAUILLAC,1RST,1989, LATOUR  ,"3,0L",89,1950,DMAG,,,,,,
PAUILLAC,1RST,1990, LATOUR  ,75cl,95+,690,,,,,,,
PAUILLAC,1RST,1994, LATOUR  ,75cl,94,390,,,,,,,
PAUILLAC,1RST,1998, LATOUR  ,"1,5L",90,790,Mag,,,,,,
PAUILLAC,1RST,1999, LATOUR  ,75cl,93,430,,,,,,,
PAUILLAC,1RST,2004, LATOUR  ,75cl,95,405,,,,,,,
PAUILLAC,1RST,2005, LATOUR  ,75cl,98,895,,2005,FORTS DE LATOUR,75cl,160,,93
PAUILLAC,1RST,2009, LATOUR  ,75cl,100,1100,,2009,FORTS DE LATOUR,75cl,150,,94
PAUILLAC,1RST,2011, LATOUR  ,75cl,93-95,450,,2011,FORTS DE LATOUR,75cl,129,,94
PAUILLAC,2ND,1995,PICHON BARON,75cl,90,126,,,,,,,
PAUILLAC,2ND,1996,PICHON BARON,75cl,91,126,,,,,,,
PAUILLAC,2ND,2005,PICHON BARON,75cl,93,127,,,,,,,
PAUILLAC,2ND,2005,PICHON BARON ,"1,5L",93,250,Mag,,,,,,
PAUILLAC,2ND,2009,PICHON BARON,75cl,98,135,,,,,,,
PAUILLAC,2ND,2010,PICHON BARON,75cl,97+,139,,,,,,,
PAUILLAC,2ND,2011,PICHON BARON,75cl,91,72,,,,,,,
PAUILLAC,2ND,2012,PICHON BARON,75cl,93,72,,,,,,,
PAUILLAC,2ND,2013,PICHON BARON,75cl,91-93,59.5,,2013,GRIFFONS DE PICHON BARON,75cl,22.5,,
PAUILLAC,2ND,2013,PICHON BARON,"37,5cl",91-93,29.5,Half,2013,GRIFFONS DE PICHON BARON,"1,5L",45,,Mag
PAUILLAC,2ND,1989,PICHON LALANDE,75cl,93,199,,,,,,,
PAUILLAC,2ND,1995,PICHON LALANDE  ex-chateau,"1,5L",96,370,Mag,,,,,,
PAUILLAC,2ND,1995,PICHON LALANDE,75cl,96,195,,,,,,,
PAUILLAC,2ND,1996,PICHON LALANDE,75cl,96,225,,,,,,,
PAUILLAC,2ND,2003,PICHON LALANDE,75cl,95,130,,,,,,,
PAUILLAC,2ND,2005,PICHON LALANDE,75cl,89,99,,,,,,,
PAUILLAC,2ND,2005,PICHON LALANDE  ex-chateau,"1,5L",89,180,Mag,,,,,,
PAUILLAC,2ND,2007,PICHON LALANDE,75cl,89,75,,2003,RESERVE DE LA COMTESSE,75cl,32,,88
PAUILLAC,2ND,2008,PICHON LALANDE,75cl,92,86,,2004,RESERVE DE LA COMTESSE,75cl,30,,88-90
PAUILLAC,2ND,2009,PICHON LALANDE,75cl,95,135,,2006,RESERVE DE LA COMTESSE,75cl,27,,89
PAUILLAC,2ND,2010,PICHON LALANDE,75cl,95+,138,,2009,RESERVE DE LA COMTESSE,75cl,35,,91
PAUILLAC,2ND,2011,PICHON LALANDE,75cl,89,75,,2010,RESERVE DE LA COMTESSE,75cl,30,,89
PAUILLAC,2ND,2011,PICHON LALANDE,"1,5L",89,150,Mag,2012,RESERVE DE LA COMTESSE,75cl,22,,88
PAUILLAC,2ND,2012,PICHON LALANDE,75cl,90,75,,2013,RESERVE DE LA COMTESSE,75cl,20.4,,
PAUILLAC,4TH,1986,DUHART MILON  ex-chateau,"1,5L",87,155,Mag,,,,,,
PAUILLAC,4TH,2003,DUHART MILON,75cl,94,85,,,,,,,
PAUILLAC,4TH,2008,DUHART MILON,75cl,94,64,,,,,,,
PAUILLAC,4TH,2010,DUHART MILON,75cl,96,72,,,,,,,
PAUILLAC,4TH,2011,DUHART MILON,75cl,89-91,54,,,,,,,
PAUILLAC,4TH,2012,DUHART MILON,75cl,89,52,,,,,,,
PAUILLAC,4TH,2013,DUHART MILON,75cl,,46,,,,,,,
PAUILLAC,5TH,1990,ARMAILHAC,"1,5L",,135,Mag,,,,,,
PAUILLAC,5TH,1995,ARMAILHAC,"1,5L",89,100,Mag,,,,,,
PAUILLAC,5TH,2005,ARMAILHAC,75cl,90,52,,,,,,,
PAUILLAC,5TH,2011,ARMAILHAC,75cl,87,29.95,,,,,,,
PAUILLAC,5TH,2012,ARMAILHAC,75cl,91,29.5,,,,,,,
PAUILLAC,5TH,2013,ARMAILHAC,75cl,85-87,25,,,,,,,
PAUILLAC,5TH,2013,ARMAILHAC,"37,5cl",85-87,12.5,Half,,,,,,
PAUILLAC,5TH,2001,CLERC MILON,"1,5L",88,100,Mag,,,,,,
PAUILLAC,5TH,2005,CLERC MILON,75cl,93,75,,,,,,,
PAUILLAC,5TH,2009,CLERC MILON,75cl,92,65,,,,,,,
PAUILLAC,5TH,1989,GRAND PUY DUCASSE,75cl,87,55,,,,,,,
PAUILLAC,5TH,1990,GRAND PUY DUCASSE,"1,5L",,105,Mag,,,,,,
PAUILLAC,5TH,1990,GRAND PUY DUCASSE,"3,0L",,230,DMAG,,,,,,
PAUILLAC,5TH,1994,GRAND PUY DUCASSE,75cl,87,29.95,,,,,,,
PAUILLAC,5TH,1996,GRAND PUY DUCASSE,75cl,87,49.95,,,,,,,
