,Wine,Vintage,Format,Cost,Qty,Negoce
0,OPUS ONE,1992,750ml,350.0,1,BM
1,SOLAIA,2008,750ml,140.0,1,BM
2,SENA,2008,3000ml,346.0,1,BM
3,SENA,2009,3000ml,332.0,1,BM
4,SENA,2012,6000ml,655.0,1,BM
5,SENA,2014,9000ml,950.0,1,BM
6,SENA,2014,6000ml,615.0,2,BM
7,VEGA SICILIA UNICO,2007,750ml,210.0,3,BM
8,SENA,2014,3000ml,310.0,3,BM
9,SENA,2011,1500ml,155.0,5,BM
10,FOURNIER B CRUX,2004,750ml,12.0,6,BM
11,SHAFER HILLSIDE SELECT CAB-SAU,1997,750ml,324.0,6,BM
12,SHAFER HILLSIDE SELECT CAB-SAU,1999,750ml,251.0,6,BM
13,SOLAIA,2000,750ml,140.0,6,BM
14,ALMAVIVA,2013,1500ml,148.0,7,BM
15,SENA,2010,1500ml,166.0,10,BM
16,SENA,2014,1500ml,159.0,10,BM
17,L'AVENTURE ESTATE SYRAH,2002,750ml,30.0,12,BM
18,MASSETO,2008,750ml,520.0,12,BM
19,OPUS ONE,2009,750ml,300.0,12,BM
20,VEGA SICILIA UNICO,2008,750ml,195.0,12,BM
21,ALMAVIVA,2014,1500ml,144.0,12,BM
22,VERITE LA JOIE,2013,1500ml,500.0,12,BM
23,VERITE LA MUSE,2013,1500ml,500.0,12,BM
24,VERITE LE DESIR,2013,1500ml,500.0,12,BM
25,SENA,2008,1500ml,172.0,13,BM
26,SENA,2012,1500ml,162.0,15,BM
27,SENA,2009,1500ml,166.0,20,BM
28,CLARENDON HILLS SHIRAZ PIGGOTT,1999,750ml,52.0,22,BM
29,MASSETO,2010,750ml,500.0,24,BM
30,MASSETO,2011,750ml,500.0,24,BM
31,SOLAIA,2013,750ml,145.0,24,BM
32,FX PICHLER RSL SMARAGD KELLERB,2006,750ml,33.5,30,BM
33,FX PICHLER RSL SMARAGD LOIBNER,2006,750ml,29.0,30,BM
34,MASSETO,2012,750ml,475.0,30,BM
35,LAMBORGHINI CAMPOLEONE,1999,750ml,140.0,36,BM
36,NAPANOOK,2011,750ml,35.0,36,BM
37,FOURNIER B CRUX,2003,750ml,12.5,48,BM
38,T.D'ELL ORNELLAIA ORNELLAIA,2013,750ml,130.0,54,BM
39,CELSUS,1999,750ml,50.0,59,BM
40,OPUS ONE,2005,750ml,350.0,60,BM
41,OPUS ONE,2006,750ml,330.0,60,BM
42,NPU NAPANOOK,2008,750ml,40.0,72,BM
43,VERITE LA JOIE,2006,750ml,255.0,126,BM
44,SENA,2010,750ml,78.5,150,BM
45,ANWILKA STELLENBOSCH,2007,750ml,14.5,168,BM
46,VERITE LA MUSE,2006,750ml,255.0,174,BM
47,VERITE LE DESIR,2006,750ml,255.0,174,BM
48,SENA,2012,750ml,76.0,180,BM
49,VERITE LA JOIE,2013,750ml,225.0,234,BM
50,VERITE LA MUSE,2013,750ml,225.0,234,BM
51,VERITE LE DESIR,2013,750ml,225.0,234,BM
52,SENA,2014,375ml,37.0,237,BM
53,SENA,2009,750ml,77.5,240,BM
54,OVERTURE,0,750ml,95.0,300,BM
55,SOLAIA,2011,750ml,135.0,361,BM
56,CARDINALE,2007,750ml,235.0,438,BM
57,CARDINALE,2013,750ml,175.0,438,BM
58,SENA,2011,750ml,76.0,450,BM
59,SENA,2014,750ml,73.0,1200,BM
60,ANWILKA STELLENBOSCH,2006,750ml,14.5,600,BM
