,Unnamed: 0,item id,wine,wine chinese,growth,type english,type chinese,vendor english,vendor chinese,region english,region chinese,country english,country chinese,rating,year,format,price,qty,negoce
0,0,CFW00708-1992-00750,Opus One,作品一号干红,,Red,紅酒,Opus One,作品一号酒庄,Napa,納帕,USA,美國,,1992,750ml,350.0,1,BM
1,1,CFW00648-2008-00750,Solaia,安东尼世家索拉雅干红,,Red,紅酒,Marchesi Antinori,安东尼世家酒庄,Tuscany,托斯卡納,Italy,意大利,,2008,750ml,140.0,1,BM
2,2,CFW00640-2008-03000,Sena,,,Red,紅酒,Sena,,Aconcagua,阿空加瓜,Chile,智利,,2008,3000ml,346.0,1,BM
3,3,CFW00640-2009-03000,Sena,,,Red,紅酒,Sena,,Aconcagua,阿空加瓜,Chile,智利,,2009,3000ml,332.0,1,BM
4,4,CFW00640-2012-06000,Sena,,,Red,紅酒,Sena,,Aconcagua,阿空加瓜,Chile,智利,,2012,6000ml,655.0,1,BM
5,5,CFW00640-2014-09000,Sena,,,Red,紅酒,Sena,,Aconcagua,阿空加瓜,Chile,智利,,2014,9000ml,950.0,1,BM
6,6,CFW00640-2014-06000,Sena,,,Red,紅酒,Sena,,Aconcagua,阿空加瓜,Chile,智利,,2014,6000ml,615.0,2,BM
7,7,CFW00665-2007-00750,Vega Sicilia Unico,贝加西西里亚尤尼科干红,,Red,紅酒,Vega Sicilia,贝加西西里亚,Ribera del Duero,鬥羅河,Spain,西班牙,,2007,750ml,210.0,3,BM
8,8,CFW00640-2014-03000,Sena,,,Red,紅酒,Sena,,Aconcagua,阿空加瓜,Chile,智利,,2014,3000ml,310.0,3,BM
9,9,CFW00640-2011-01500,Sena,,,Red,紅酒,Sena,,Aconcagua,阿空加瓜,Chile,智利,,2011,1500ml,155.0,5,BM
10,10,CFW00648-2000-00750,Solaia,安东尼世家索拉雅干红,,Red,紅酒,Marchesi Antinori,安东尼世家酒庄,Tuscany,托斯卡納,Italy,意大利,,2000,750ml,140.0,6,BM
11,11,CFW00641-2013-01500,Almaviva,,,Red,紅酒,Almaviva,,Puente Alto,上普恩特,Chile,智利,,2013,1500ml,148.0,7,BM
12,12,CFW00640-2010-01500,Sena,,,Red,紅酒,Sena,,Aconcagua,阿空加瓜,Chile,智利,,2010,1500ml,166.0,10,BM
13,13,CFW00640-2014-01500,Sena,,,Red,紅酒,Sena,,Aconcagua,阿空加瓜,Chile,智利,,2014,1500ml,159.0,10,BM
14,14,CFW00657-2008-00750,Masseto,马赛多干红,,Red,紅酒,Tenuta dell'Ornellaia,奥纳亚酒庄,Tuscany,托斯卡納,Italy,意大利,,2008,750ml,520.0,12,BM
