,Wine,Vintage,Format,Cost,Qty,Negoce
0,CHATEAU COS D'ESTOURNEL,1993,375ml,37.0,1,BM
1,CHATEAU D'YQUEM,2013,12000ml,4000.0,1,BM
2,CHATEAU BRANAS GRAND POUJEAUX,2008,750ml,15.3,1,BM
3,CHATEAU DE CAMENSAC,2000,750ml,35.0,1,BM
4,CHATEAU DUHART-MILON,2007,750ml,73.0,1,BM
5,CHATEAU GRAND PUY LACOSTE,2011,750ml,37.0,1,BM
6,CHATEAU GRUAUD LAROSE,2014,750ml,48.0,1,BM
7,CHATEAU LATOUR,1976,750ml,460.0,1,BM
8,CHATEAU LES GRANDS CHENES,2008,750ml,9.1,1,BM
9,CHATEAU LILIAN LADOUYS,2011,750ml,10.5,1,BM
10,CHATEAU MAUCAILLOU,2012,750ml,12.5,1,BM
11,CHATEAU MAZEYRES,1998,750ml,18.0,1,BM
12,CHATEAU MONTROSE,2010,750ml,195.0,1,BM
13,CHATEAU PALOUMEY,2006,750ml,10.2,1,BM
14,CHATEAU PAVIE,2009,750ml,350.0,1,BM
15,CHATEAU PRIEURE LICHINE,2012,750ml,27.0,1,BM
16,CLOS MARSALETTE BLANC,2006,750ml,13.2,1,BM
17,CONNETABLE DU CH. TALBOT,2012,750ml,18.5,1,BM
18,DOMAINE DE CHEVALIER BLANC,2012,750ml,58.0,1,BM
19,DULUC DE BRANAIRE DUCRU,2004,750ml,17.6,1,BM
20,'G' DE GUIRAUD,2014,750ml,7.6,1,BM
21,HERITAGE DE CHASSE SPLEEN,2014,750ml,9.25,1,BM
22,LA DAME DE MONTROSE,2011,750ml,21.8,1,BM
23,CHATEAU BRANAIRE DUCRU,2010,3000ml,292.0,1,BM
24,CHATEAU CHEVAL BLANC,2003,3000ml,1680.0,1,BM
25,CHATEAU DU TERTRE,2010,3000ml,223.0,1,BM
26,CHATEAU GLORIA,1998,3000ml,185.0,1,BM
27,CHATEAU MOUTON-ROTHSCHILD,1999,3000ml,1899.0,1,BM
28,CHATEAU PALMER,2003,3000ml,970.0,1,BM
29,CHATEAU PONTET-CANET,2011,3000ml,285.0,1,BM
30,CHATEAU POUJEAUX,2009,3000ml,160.0,1,BM
31,CHATEAU TALBOT,2008,3000ml,235.0,1,BM
32,CHATEAU TALBOT,1998,3000ml,315.0,1,BM
33,LA DAME DE MONTROSE,2010,3000ml,226.0,1,BM
34,LA DAME DE MONTROSE,2009,3000ml,226.0,1,BM
35,LE PIN,2005,3000ml,10925.0,1,BM
36,CARRUADES DE LAFITE,2013,6000ml,1650.0,1,BM
37,CHATEAU CANON,2012,6000ml,550.0,1,BM
38,CHATEAU CHEVAL BLANC,2003,6000ml,3360.0,1,BM
39,CHATEAU CHEVAL BLANC,1994,6000ml,2722.0,1,BM
40,CHATEAU CLERC MILON,2013,6000ml,535.0,1,BM
41,CHATEAU CLINET,2003,6000ml,640.0,1,BM
42,CHATEAU CLINET,2002,6000ml,500.0,1,BM
43,CHATEAU COS D'ESTOURNEL,2008,6000ml,808.0,1,BM
44,CHATEAU D'ARMAILHAC,1997,6000ml,425.0,1,BM
45,CHATEAU DE CAMENSAC,2005,6000ml,340.0,1,BM
46,CHATEAU DU TERTRE,2009,6000ml,422.0,1,BM
47,CHATEAU DUHART-MILON,2004,6000ml,960.0,1,BM
48,CHATEAU D'YQUEM,2011,6000ml,2000.0,1,BM
49,CHATEAU GISCOURS,1998,6000ml,516.0,1,BM
50,CHATEAU GLORIA,2008,6000ml,240.0,1,BM
51,CHATEAU HAUT BAILLY,1999,6000ml,636.0,1,BM
52,CHATEAU LA CONSEILLANTE,2009,6000ml,1440.0,1,BM
53,CHATEAU LAFITE ROTHSCHILD,2005,6000ml,7400.0,1,BM
54,CHATEAU LAGRANGE,2000,6000ml,790.0,1,BM
55,CHATEAU LES ORMES DE PEZ,2009,6000ml,283.0,1,BM
56,CHATEAU MARGAUX,2014,6000ml,3000.0,1,BM
57,CHATEAU MARGAUX,1996,6000ml,6805.0,1,BM
58,CHATEAU MOUTON-ROTHSCHILD,2001,6000ml,4040.0,1,BM
59,CHATEAU MOUTON-ROTHSCHILD,1992,6000ml,3205.0,1,BM
60,CHATEAU PALMER,2004,6000ml,1460.0,1,BM
61,CHATEAU PICHON BARON,2006,6000ml,903.0,1,BM
62,CHATEAU PICHON BARON,2005,6000ml,1195.0,1,BM
63,CHATEAU PONTET-CANET,2011,6000ml,595.0,1,BM
64,CHATEAU TALBOT,1996,6000ml,766.0,1,BM
65,CHATEAU TROPLONG-MONDOT,2008,6000ml,590.0,1,BM
66,DOMAINE DE CHEVALIER ROUGE,2012,6000ml,344.0,1,BM
67,VIEUX CHATEAU CERTAN,2000,6000ml,2650.0,1,BM
68,CHATEAU CHEVAL BLANC,2003,5000ml,2802.0,1,BM
69,CHATEAU CHEVAL BLANC,1999,5000ml,2785.0,1,BM
70,CHATEAU D'ARMAILHAC,2003,5000ml,368.0,1,BM
71,CHATEAU D'ARMAILHAC,1994,5000ml,332.0,1,BM
72,CHATEAU DU TERTRE,2010,5000ml,354.0,1,BM
73,CHATEAU DU TERTRE,2009,5000ml,354.0,1,BM
74,CHATEAU GISCOURS,1998,5000ml,435.0,1,BM
75,CHATEAU MOUTON-ROTHSCHILD,2004,5000ml,2955.0,1,BM
76,CHATEAU MOUTON-ROTHSCHILD,1998,5000ml,3291.0,1,BM
77,CHATEAU MOUTON-ROTHSCHILD,1994,5000ml,2827.0,1,BM
78,CHATEAU PICHON LALANDE,1998,5000ml,953.0,1,BM
79,CHATEAU PICHON LALANDE,1997,5000ml,800.0,1,BM
80,CHATEAU LAFITE ROTHSCHILD,2005,1500ml,1606.0,1,BM
81,PETRUS,1996,1500ml,4200.0,1,BM
82,VIEUX CHATEAU CERTAN,2000,1500ml,390.0,1,BM
83,VIEUX CHATEAU CERTAN,1998,1500ml,380.0,1,BM
84,LES GRIFFONS DE PICHON BARON,2013,15000ml,750.0,1,BM
85,CHATEAU BRANE CANTENAC,2012,750ml,40.0,2,BM
86,CHATEAU BRANE CANTENAC,2000,750ml,89.0,2,BM
87,CHATEAU COUTET CUVEE MADAME,1989,750ml,200.0,2,BM
88,CHATEAU DEYREM VALENTIN,2014,750ml,11.5,2,BM
89,CHATEAU FIGEAC,2012,750ml,80.0,2,BM
90,CHATEAU HAUT MARBUZET,2011,750ml,22.5,2,BM
91,CHATEAU LES ORMES DE PEZ,2011,750ml,18.0,2,BM
92,CHATEAU MAZEYRES,2008,750ml,15.0,2,BM
93,CHATEAU TOUR DE BESSAN,2011,750ml,10.0,2,BM
94,CLOS DES LUNES LUNE D'ARGENT,2013,750ml,8.1,2,BM
95,PRELUDE A GRD PUY DUCASSE,2014,750ml,14.4,2,BM
96,SAINTAYME,2011,750ml,8.15,2,BM
97,SARGET DE GRUAUD LAROSE,2009,750ml,25.0,2,BM
98,CHATEAU DU TERTRE,2012,3000ml,161.0,2,BM
99,CHATEAU HAUT BAILLY,1999,3000ml,318.0,2,BM
100,CHATEAU LA LAGUNE,2004,3000ml,165.0,2,BM
101,CHATEAU L'EGLISE-CLINET,1998,3000ml,1470.0,2,BM
102,CHATEAU L'EGLISE-CLINET,1991,3000ml,525.0,2,BM
103,CHATEAU PICHON BARON,1997,3000ml,312.0,2,BM
104,SAINTEM,2014,3000ml,70.0,2,BM
105,CHATEAU BEYCHEVELLE,1996,6000ml,950.0,2,BM
106,CHATEAU CLERC MILON,2001,6000ml,580.0,2,BM
107,CHATEAU COS D'ESTOURNEL,1993,6000ml,807.0,2,BM
108,CHATEAU DAUZAC,2010,6000ml,325.0,2,BM
109,CHATEAU DU TERTRE,2012,6000ml,295.0,2,BM
110,CHATEAU LAFITE ROTHSCHILD,2014,6000ml,3850.0,2,BM
111,CHATEAU L'EGLISE-CLINET,1997,6000ml,1100.0,2,BM
112,CHATEAU L'EGLISE-CLINET,1994,6000ml,805.0,2,BM
113,CHATEAU LEOVILLE POYFERRE,2006,6000ml,552.0,2,BM
114,CHATEAU MOUTON-ROTHSCHILD,2009,6000ml,5400.0,2,BM
115,CHATEAU MOUTON-ROTHSCHILD,1998,6000ml,3860.0,2,BM
116,CHATEAU PAVIE,2011,6000ml,1700.0,2,BM
117,CHATEAU PICHON BARON,2010,6000ml,1212.0,2,BM
118,CHATEAU PICHON LALANDE,1999,6000ml,964.0,2,BM
119,SAINTEM,2014,6000ml,125.0,2,BM
120,CHATEAU BEYCHEVELLE,1996,5000ml,682.0,2,BM
121,CHATEAU COS D'ESTOURNEL,1993,5000ml,683.0,2,BM
122,CHATEAU CROIZET-BAGES,1996,5000ml,228.0,2,BM
123,CHATEAU DU TERTRE,2012,5000ml,248.0,2,BM
124,CHATEAU DULUC,1994,5000ml,115.0,2,BM
125,CHATEAU DULUC,1991,5000ml,107.5,2,BM
126,CHATEAU GISCOURS,2004,5000ml,394.0,2,BM
127,CHATEAU HAUT BAILLY,1999,5000ml,505.0,2,BM
128,CHATEAU LEOVILLE POYFERRE,2005,5000ml,728.0,2,BM
129,CHATEAU PICHON LALANDE,1999,5000ml,800.0,2,BM
130,CARRUADES DE LAFITE,1997,1500ml,420.0,2,BM
131,CHATEAU CALON SEGUR,2014,1500ml,150.0,2,BM
132,CHATEAU D'ARMAILHAC,2003,1500ml,104.0,2,BM
133,CHATEAU D'YQUEM,2009,1500ml,990.0,2,BM
134,CHATEAU LAFITE ROTHSCHILD,1995,1500ml,1450.0,2,BM
135,CHATEAU PAVIE,2012,1500ml,625.0,2,BM
136,VIEUX CHATEAU CERTAN,2001,1500ml,275.0,2,BM
137,L'EXTRAVAGANT DE DOISY DAENE,2013,375ml,126.0,3,BM
138,L'EXTRAVAGANT DE DOISY DAENE,2007,375ml,130.0,3,BM
139,CARRUADES DE LAFITE,2011,750ml,210.0,3,BM
140,CHATEAU BELLEVUE,2010,750ml,43.0,3,BM
141,CHATEAU DOMEYNE,2011,750ml,10.2,3,BM
142,CHATEAU DUHART-MILON,1986,750ml,115.0,3,BM
143,CHATEAU D'YQUEM,1996,750ml,199.0,3,BM
144,CHATEAU LANESSAN,1998,750ml,10.8,3,BM
145,CHATEAU LES GRAVIERES,2005,750ml,17.0,3,BM
146,CHATEAU LES ORMES DE PEZ,2005,750ml,31.0,3,BM
147,CHATEAU MARGAUX,1982,750ml,945.0,3,BM
148,CHATEAU MOUTON-ROTHSCHILD,2007,750ml,410.0,3,BM
149,CHATEAU PICHON BARON,2009,750ml,150.0,3,BM
150,CHATEAU QUINAULT L'ENCLOS,2012,750ml,19.6,3,BM
151,CHATEAU TROTANOY,2008,750ml,166.0,3,BM
152,CLOS DES JACOBINS,2014,750ml,16.7,3,BM
153,LA CHAPELLE DE POTENSAC,2011,750ml,6.5,3,BM
154,LA FUGUE DE NENIN,2013,750ml,14.5,3,BM
155,LA SIRENE DE GISCOURS,2013,750ml,16.0,3,BM
156,CHATEAU CLERC MILON,2001,3000ml,320.0,3,BM
157,CHATEAU D'ARMAILHAC,1998,3000ml,243.0,3,BM
158,CHATEAU GISCOURS,2008,3000ml,165.0,3,BM
159,CHATEAU GLORIA,1995,3000ml,185.0,3,BM
160,CHATEAU LAFITE ROTHSCHILD,2006,3000ml,3370.0,3,BM
161,CHATEAU LATOUR,1986,3000ml,2325.0,3,BM
162,CHATEAU L'EGLISE-CLINET,1987,3000ml,460.0,3,BM
163,CHATEAU MOUTON-ROTHSCHILD,1994,3000ml,1710.0,3,BM
164,CHATEAU PICHON BARON,2012,3000ml,290.0,3,BM
165,CHATEAU PICHON BARON,2006,3000ml,465.0,3,BM
166,CHATEAU PICHON LALANDE,1999,3000ml,483.0,3,BM
167,CHATEAU SAINT PIERRE,1995,3000ml,310.0,3,BM
168,LA MONDOTTE,2004,3000ml,595.0,3,BM
169,SAINTAYME,2012,3000ml,70.0,3,BM
170,SAINTEM,2012,3000ml,70.0,3,BM
171,CHATEAU BEYCHEVELLE,2014,6000ml,673.0,3,BM
172,CHATEAU CANON LA GAFFELIERE,2014,6000ml,410.0,3,BM
173,CHATEAU CLIMENS,2001,6000ml,2375.0,3,BM
174,CHATEAU CLINET,2014,6000ml,397.0,3,BM
175,CHATEAU DULUC,1994,6000ml,137.7,3,BM
176,CHATEAU GISCOURS,2009,6000ml,570.0,3,BM
177,CHATEAU L'EGLISE-CLINET,1996,6000ml,1240.0,3,BM
178,CHATEAU L'EGLISE-CLINET,1992,6000ml,1050.0,3,BM
179,CHATEAU L'EGLISE-CLINET,1986,6000ml,1420.0,3,BM
180,CHATEAU POUJEAUX,2008,6000ml,240.0,3,BM
181,CHATEAU RAYMOND LAFON,1989,6000ml,440.0,3,BM
182,FILIA DE GRAND MAYNE,2012,6000ml,130.0,3,BM
183,LA DAME DE MONTROSE,2008,6000ml,247.0,3,BM
184,LA PETITE EGLISE,2012,6000ml,275.0,3,BM
185,LA PETITE EGLISE,2011,6000ml,246.0,3,BM
186,CHATEAU CHEVAL BLANC,1993,5000ml,2268.0,3,BM
187,CHATEAU CLERC MILON,2006,5000ml,462.0,3,BM
188,CHATEAU CLERC MILON,2001,5000ml,480.0,3,BM
189,CHATEAU GRUAUD LAROSE,1999,5000ml,486.0,3,BM
190,CHATEAU LEOVILLE POYFERRE,2006,5000ml,470.0,3,BM
191,CHATEAU MOUTON-ROTHSCHILD,2001,5000ml,3369.0,3,BM
192,FILIA DE GRAND MAYNE,2012,5000ml,110.0,3,BM
193,CHATEAU ANGELUS,2011,1500ml,450.0,3,BM
194,CHATEAU LAFITE ROTHSCHILD,2001,1500ml,1400.0,3,BM
195,CHATEAU LAFITE ROTHSCHILD,1994,1500ml,1280.0,3,BM
196,CHATEAU LATOUR,1996,1500ml,1300.0,3,BM
197,CHATEAU L'EGLISE-CLINET,1999,1500ml,260.0,3,BM
198,CHATEAU PAPE CLEMENT RGE,1999,1500ml,186.0,3,BM
199,CHATEAU RAUZAN-SEGLA,1995,1500ml,188.0,3,BM
200,CHATEAU SUDUIRAUT,2009,1500ml,102.0,3,BM
201,CHATEAU TROTANOY,2010,1500ml,455.0,3,BM
202,LE PIN,2009,1500ml,7300.0,3,BM
203,LE PIN,2007,1500ml,2950.0,3,BM
204,CHATEAU HAUT MARBUZET,1998,375ml,17.0,4,BM
205,CHATEAU BARDE HAUT,2002,750ml,13.5,4,BM
206,CHATEAU BRANAS GRAND POUJEAUX,2012,750ml,16.7,4,BM
207,CHATEAU CLIMENS,2007,750ml,80.0,4,BM
208,CHATEAU LA TOUR CARNET,2014,750ml,24.0,4,BM
209,CHATEAU LAFAURIE PEYRAGUEY,2014,750ml,35.0,4,BM
210,CHATEAU LAGRANGE,2014,750ml,24.0,4,BM
211,CHATEAU MARJOSSE ROUGE,2014,750ml,5.2,4,BM
212,CHATEAU PONTET-CANET,2008,750ml,72.0,4,BM
213,CHATEAU PUYGUERAUD,2011,750ml,7.5,4,BM
214,CHATEAU TOUR SAINT-BONNET,2004,750ml,7.8,4,BM
215,CLOS LUNELLES,2014,750ml,15.5,4,BM
216,CLOS MARSALETTE BLANC,2009,750ml,14.2,4,BM
217,LE PETIT MOUTON,2014,750ml,175.0,4,BM
218,LYNSOLENCE,2006,750ml,28.5,4,BM
219,PETRUS,2003,750ml,2115.0,4,BM
220,RESERVE DE LA COMTESSE,2014,750ml,28.0,4,BM
221,CHATEAU COS D'ESTOURNEL,1997,3000ml,412.0,4,BM
222,CHATEAU D'YQUEM,2011,3000ml,1000.0,4,BM
223,CHATEAU LA LAGUNE,2014,3000ml,150.0,4,BM
224,CHATEAU LATOUR,1988,3000ml,2210.0,4,BM
225,CHATEAU L'EGLISE-CLINET,1994,3000ml,465.0,4,BM
226,CHATEAU LEOVILLE LAS CASES,2009,3000ml,970.0,4,BM
227,CHATEAU MONTROSE,2008,3000ml,297.0,4,BM
228,CHATEAU MOUTON-ROTHSCHILD,1993,3000ml,1710.0,4,BM
229,LA DAME DE MONTROSE,2007,3000ml,120.0,4,BM
230,CHATEAU COS D'ESTOURNEL,1997,6000ml,824.0,4,BM
231,CHATEAU DULUC,1991,6000ml,128.0,4,BM
232,CHATEAU LA CONSEILLANTE,2006,6000ml,870.0,4,BM
233,CHATEAU LASCOMBES,2014,6000ml,360.0,4,BM
234,CHATEAU MOUTON-ROTHSCHILD,1999,6000ml,3855.0,4,BM
235,CHATEAU PICHON BARON,2014,6000ml,700.0,4,BM
236,CHATEAU RAUZAN-SEGLA,2014,6000ml,480.0,4,BM
237,CHATEAU TROPLONG-MONDOT,1997,6000ml,475.0,4,BM
238,CHATEAU VALANDRAUD,2014,6000ml,672.0,4,BM
239,CHATEAU BRANAIRE DUCRU,1996,5000ml,626.0,4,BM
240,CHATEAU CLERC MILON,2005,5000ml,566.0,4,BM
241,CHATEAU DU TERTRE,2005,5000ml,394.0,4,BM
242,FILIA DE GRAND MAYNE,2014,5000ml,125.0,4,BM
243,LE PIN,2005,1500ml,5490.0,4,BM
244,CHATEAU D'YQUEM,2011,15000ml,5000.0,4,BM
245,CHATEAU DE SALES,2007,375ml,9.9,5,BM
246,L'EXTRAVAGANT DE DOISY DAENE,2010,375ml,138.0,5,BM
247,CHATEAU BRANAS GRAND POUJEAUX,2014,750ml,16.5,5,BM
248,CHATEAU CHEVAL BLANC,1982,750ml,880.0,5,BM
249,CHATEAU GRAND MAYNE,2012,750ml,23.0,5,BM
250,CHATEAU LANESSAN,2012,750ml,8.95,5,BM
251,CLOS DES LUNES LUNE D'ARGENT,2014,750ml,8.35,5,BM
252,CLOS LES LUNELLES,2007,750ml,11.95,5,BM
253,HERITAGE DE CHASSE SPLEEN,2013,750ml,8.95,5,BM
254,LES ALLEES DE CANTEMERLE,2007,750ml,8.4,5,BM
255,LES ECLATS DE BRANAS,2010,750ml,9.5,5,BM
256,LES FIEFS DE LAGRANGE,2011,750ml,15.5,5,BM
257,CHATEAU BRANAIRE DUCRU,2014,3000ml,153.0,5,BM
258,CHATEAU CANON,2012,3000ml,295.0,5,BM
259,CHATEAU COS D'ESTOURNEL,2008,3000ml,400.0,5,BM
260,CHATEAU GISCOURS,2009,3000ml,280.0,5,BM
261,CHATEAU LA MISSION HAUT-BRION,2006,3000ml,1130.0,5,BM
262,CHATEAU L'EGLISE-CLINET,1992,3000ml,540.0,5,BM
263,CHATEAU L'EGLISE-CLINET,1986,3000ml,725.0,5,BM
264,CHATEAU PRIEURE LICHINE,2014,3000ml,133.0,5,BM
265,CHATEAU RAUZAN-GASSIES,2008,3000ml,172.0,5,BM
266,CHATEAU BRANAIRE DUCRU,1998,6000ml,472.0,5,BM
267,CHATEAU CHEVAL BLANC,1993,6000ml,2722.0,5,BM
268,CHATEAU CLERC MILON,2006,6000ml,552.0,5,BM
269,CHATEAU LA MISSION HAUT-BRION,2006,6000ml,2300.0,5,BM
270,CHATEAU L'EGLISE-CLINET,1993,6000ml,930.0,5,BM
271,CHATEAU MONTROSE,2011,6000ml,609.0,5,BM
272,LES GRIFFONS DE PICHON BARON,2014,6000ml,300.0,5,BM
273,CHATEAU COS D'ESTOURNEL,1997,5000ml,686.0,5,BM
274,CHATEAU CROIZET-BAGES,1995,5000ml,225.0,5,BM
275,CHATEAU DASSAULT,1999,5000ml,282.0,5,BM
276,CHATEAU DASSAULT,1997,5000ml,240.0,5,BM
277,CHATEAU DASSAULT,1996,5000ml,238.0,5,BM
278,CHATEAU DASSAULT,1995,5000ml,240.0,5,BM
279,CHATEAU DASSAULT,1994,5000ml,198.0,5,BM
280,CHATEAU MOUTON-ROTHSCHILD,1999,5000ml,3215.0,5,BM
281,CHATEAU POUJEAUX,2006,5000ml,222.0,5,BM
282,CHATEAU D'ARMAILHAC,2000,1500ml,128.0,5,BM
283,CHATEAU DE CAMENSAC,1996,1500ml,52.0,5,BM
284,CHATEAU D'YQUEM,2013,1500ml,500.0,5,BM
285,LE CADET DE L'INSOUCIANCE,2014,1500ml,20.3,5,BM
286,PETRUS,2002,1500ml,3630.0,5,BM
287,CHATEAU D'YQUEM,2014,15000ml,5000.0,5,BM
288,CHATEAU D'YQUEM,2007,375ml,195.0,6,BM
289,CHATEAU GUIRAUD,2014,375ml,15.0,6,BM
290,L'EXTRAVAGANT DE DOISY DAENE,2012,375ml,138.0,6,BM
291,CHATEAU ANGELUS,1999,750ml,305.0,6,BM
292,CHATEAU AUSONE,2009,750ml,1100.0,6,BM
293,CHATEAU BEAUMONT,2010,750ml,14.0,6,BM
294,CHATEAU BEAUSEJOUR DUFFAU,2010,750ml,335.0,6,BM
295,CHATEAU CANON LA GAFFELIERE,2003,750ml,65.0,6,BM
296,CHATEAU CHEVAL BLANC,1998,750ml,575.0,6,BM
297,CHATEAU CLIMENS,2009,750ml,70.0,6,BM
298,CHATEAU DUCRU-BEAUCAILLOU,1985,750ml,138.0,6,BM
299,CHATEAU FIGEAC,2000,750ml,192.0,6,BM
300,CHATEAU FLEUR CARDINALE,2011,750ml,26.0,6,BM
301,CHATEAU GRAND PUY LACOSTE,2000,750ml,96.0,6,BM
302,CHATEAU HAUT BAILLY,2005,750ml,96.0,6,BM
303,CHATEAU KIRWAN,2008,750ml,44.0,6,BM
304,CHATEAU LA GOMERIE,1997,750ml,56.0,6,BM
305,CHATEAU LA MISSION HAUT-BRION,2001,750ml,295.0,6,BM
306,CHATEAU LATOUR,2001,750ml,520.0,6,BM
307,CHATEAU LAVILLE HAUT BRION BLC,2006,750ml,300.0,6,BM
308,CHATEAU L'EVANGILE,2013,750ml,100.0,6,BM
309,CHATEAU MAUVESIN BARTON,2013,750ml,9.3,6,BM
310,CHATEAU MONTROSE,2004,750ml,81.0,6,BM
311,CHATEAU NENIN,2009,750ml,51.0,6,BM
312,CHATEAU PALMER,2011,750ml,165.0,6,BM
313,CHATEAU SUDUIRAUT,2009,750ml,50.0,6,BM
314,CHATEAU TOUR DE BESSAN,2012,750ml,10.0,6,BM
315,CHATEAU TROTANOY,2000,750ml,200.0,6,BM
316,CHATEAU VILLEMAURINE,2014,750ml,21.6,6,BM
317,CLOS DE L'ORATOIRE,2013,750ml,19.15,6,BM
318,CLOS L'EGLISE,1999,750ml,66.0,6,BM
319,LA DAME DE MONTROSE,2006,750ml,32.0,6,BM
320,LA FLEUR DE BOUARD,2014,750ml,15.5,6,BM
321,LA PARDE DE HT BAILLY,2011,750ml,16.2,6,BM
322,LE PETIT MOUTON,2012,750ml,185.0,6,BM
323,LE PETIT MOUTON,2011,750ml,190.0,6,BM
324,LE PIN,2001,750ml,2650.0,6,BM
325,NPU CHATEAU D'AIGUILHE,2011,750ml,19.9,6,BM
326,PETRUS,1992,750ml,1860.0,6,BM
327,VIEUX CHATEAU CERTAN,2011,750ml,110.0,6,BM
328,VIEUX CHATEAU CERTAN,2005,750ml,199.0,6,BM
329,CHATEAU BEAU-SEJOUR BECOT,2014,3000ml,170.0,6,BM
330,CHATEAU CANON LA GAFFELIERE,2014,3000ml,202.0,6,BM
331,CHATEAU CLINET,2014,3000ml,212.0,6,BM
332,CHATEAU D'ARMAILHAC,2004,3000ml,222.0,6,BM
333,CHATEAU D'ARMAILHAC,2002,3000ml,225.0,6,BM
334,CHATEAU D'ARMAILHAC,1994,3000ml,212.0,6,BM
335,CHATEAU DULUC,1991,3000ml,71.0,6,BM
336,CHATEAU GAZIN,2014,3000ml,220.0,6,BM
337,CHATEAU GISCOURS,1998,3000ml,270.0,6,BM
338,CHATEAU LA POINTE,2009,3000ml,125.0,6,BM
339,CHATEAU LAFITE ROTHSCHILD,2014,3000ml,1890.0,6,BM
340,CHATEAU MOUTON-ROTHSCHILD,2014,3000ml,1525.0,6,BM
341,CHATEAU MOUTON-ROTHSCHILD,2010,3000ml,2800.0,6,BM
342,CHATEAU MOUTON-ROTHSCHILD,2003,3000ml,2080.0,6,BM
343,CHATEAU PICHON BARON,2002,3000ml,456.0,6,BM
344,CHATEAU RAUZAN-SEGLA,2014,3000ml,230.0,6,BM
345,CHATEAU VALANDRAUD,2014,3000ml,336.0,6,BM
346,LA DAME DE MONTROSE,2008,3000ml,121.0,6,BM
347,LA PETITE EGLISE,2011,3000ml,135.0,6,BM
348,CHATEAU BEYCHEVELLE,2011,6000ml,674.0,6,BM
349,CHATEAU BRANAIRE DUCRU,2009,6000ml,591.0,6,BM
350,CHATEAU BRANAIRE DUCRU,2005,6000ml,699.0,6,BM
351,CHATEAU BRANAIRE DUCRU,1995,6000ml,656.0,6,BM
352,CHATEAU CLERC MILON,2002,6000ml,563.0,6,BM
353,CHATEAU LA LAGUNE,2014,6000ml,265.0,6,BM
354,CHATEAU LE GAY,2014,6000ml,525.0,6,BM
355,CHATEAU L'EGLISE-CLINET,2014,6000ml,1069.0,6,BM
356,CHATEAU LEOVILLE POYFERRE,2014,6000ml,480.0,6,BM
357,CHATEAU PONTET-CANET,2014,6000ml,715.0,6,BM
358,CHATEAU POUJEAUX,2009,6000ml,295.0,6,BM
359,CHATEAU POUJEAUX,2004,6000ml,266.0,6,BM
360,CHATEAU BEYCHEVELLE,2011,5000ml,566.0,6,BM
361,CHATEAU BRANAIRE DUCRU,1995,5000ml,550.0,6,BM
362,CHATEAU CLERC MILON,2002,5000ml,472.0,6,BM
363,CHATEAU MOUTON-ROTHSCHILD,2003,5000ml,3446.0,6,BM
364,CHATEAU POUJEAUX,2009,5000ml,257.0,6,BM
365,CHATEAU ANGELUS,2013,1500ml,460.0,6,BM
366,CHATEAU BEAUSEJOUR DUFFAU,2011,1500ml,100.8,6,BM
367,CHATEAU BEYCHEVELLE,2010,1500ml,193.9,6,BM
