,Unnamed: 0,item id,wine,wine chinese,growth,type english,type chinese,vendor english,vendor chinese,region english,region chinese,country english,country chinese,rating,year,format,price,qty,negoce
0,0,CFW00330-2013-12000,Chateau d'Yquem,,Sauternes Premier Cru Superieur,Sweet,甜酒,Chateau d'Yquem,,"Sauternes, Bordeaux",波爾多,France,法國,,2013,12000ml,4000.0,1,BM
1,1,CFW01971-2008-00750,Chateau Branas Grand Poujeaux,,,Red,紅酒,Chateau Branas Grand Poujeaux,,Bordeaux,波爾多,France,法國,,2008,750ml,15.3,1,BM
2,2,CFW00153-2000-00750,Chateau Camensac,,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Chateau Camensac,,"Haut Medoc, Bordeaux",波爾多,France,法國,,2000,750ml,35.0,1,BM
3,3,CFW00102-2007-00750,Chateau Duhart Milon,都夏美隆,Bordeaux Grand Cru Classe 4th Growths,Red,紅酒,Domaines Barons de Rothschild,,"Pauillac, Bordeaux",波爾多,France,法國,,2007,750ml,73.0,1,BM
4,4,CFW00130-2011-00750,Chateau Grand Puy Lacoste,,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Chateau Grand Puy Lacoste,拉高斯/拉古斯城堡庄园,"Pauillac, Bordeaux",波爾多,France,法國,,2011,750ml,37.0,1,BM
5,5,CFW00030-2014-00750,Chateau Gruaud Larose,,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Gruaud Larose,金玫瑰城堡,"St. Julien, Bordeaux",波爾多,France,法國,,2014,750ml,48.0,1,BM
6,6,CFW00003-1976-00750,Chateau Latour,拉圖正牌,Bordeaux Grand Cru Classe 1st Growths,Red,紅酒,Chateau Latour,拉图酒莊,"Pauillac, Bordeaux",波爾多,France,法國,,1976,750ml,460.0,1,BM
7,7,CFW00402-2008-00750,Chateau Les Grands Chenes,,Cru Bourgeois Superieur,Red,紅酒,Chateau Les Grands Chenes,,"Medoc, Bordeaux",波爾多,France,法國,,2008,750ml,9.1,1,BM
8,8,CFW00416-2011-00750,Chateau Lilian Ladouys,,Cru Bourgeois Superieur,Red,紅酒,Chateau Lilian Ladouys,,"St. Estephe, Bordeaux",波爾多,France,法國,,2011,750ml,10.5,1,BM
9,9,CFW00421-2012-00750,Chateau Maucaillou,,Cru Bourgeois Superieur,Red,紅酒,Chateau Maucaillou,,"Moulis, Bordeaux",波爾多,France,法國,,2012,750ml,12.5,1,BM
10,10,CFW02109-1998-00750,Chateau Mazeyres,,,Red,紅酒,Chateau Mazeyres,,Bordeaux,波爾多,France,法國,,1998,750ml,18.0,1,BM
11,11,CFW00050-2010-00750,Chateau Montrose,,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Montrose,梦玫瑰,"St. Estephe, Bordeaux",波爾多,France,法國,,2010,750ml,195.0,1,BM
12,12,CFW00429-2006-00750,Chateau Paloumey,,Cru Bourgeois Superieur,Red,紅酒,Chateau Paloumey,,"Haut Medoc, Bordeaux",波爾多,France,法國,,2006,750ml,10.2,1,BM
13,13,CFW00220-2009-00750,Chateau Pavie,帕菲正牌,St. Emilion Premier Grand Cru Classe A,Red,紅酒,Chateau Pavie,帕菲,"St. Emilion, Bordeaux",波爾多,France,法國,,2009,750ml,350.0,1,BM
14,14,CFW00117-2012-00750,Chateau Prieure Lichine,,Bordeaux Grand Cru Classe 4th Growths,Red,紅酒,Chateau Prieure Lichine,,"Margaux, Bordeaux",波爾多,France,法國,,2012,750ml,27.0,1,BM
15,15,CFW01813-2006-00750,Clos Marsalette Blanc,,,White,白酒,Clos Marsalette,,"Pessac Leognan, Bordeaux",波爾多,France,法國,,2006,750ml,13.2,1,BM
16,16,CFW00099-2012-00750,Connetable Talbot,,Bordeaux Grand Cru Classe 4th Growths,Red,紅酒,Chateau Talbot,大宝,"St. Julien, Bordeaux",波爾多,France,法國,,2012,750ml,18.5,1,BM
17,17,CFW00179-2012-00750,Domaine de Chevalier Blanc,,Graves,White,白酒,Domaine de Chevalier,,"Graves, Bordeaux",波爾多,France,法國,,2012,750ml,58.0,1,BM
18,18,CFW00105-2004-00750,Duluc de Branaire Ducru,,Bordeaux Grand Cru Classe 4th Growths,Red,紅酒,Chateau Branaire Ducru,,"St. Julien, Bordeaux",波爾多,France,法國,,2004,750ml,17.6,1,BM
19,19,CFW01932-2014-00750,G de Chateau Guiraud,,,White,白酒,Chateau Guiraud,,"Sauternes, Bordeaux",波爾多,France,法國,,2014,750ml,7.6,1,BM
20,20,CFW00051-2011-00750,La Dame de Montrose,,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Montrose,梦玫瑰,"St. Estephe, Bordeaux",波爾多,France,法國,,2011,750ml,21.8,1,BM
21,21,CFW00104-2010-03000,Chateau Branaire Ducru,,Bordeaux Grand Cru Classe 4th Growths,Red,紅酒,Chateau Branaire Ducru,,"St. Julien, Bordeaux",波爾多,France,法國,,2010,3000ml,292.0,1,BM
22,22,CFW00219-2003-03000,Chateau Cheval Blanc,白马正牌,St. Emilion Premier Grand Cru Classe A,Red,紅酒,Chateau Cheval Blanc,白马,"St. Emilion, Bordeaux",波爾多,France,法國,,2003,3000ml,1680.0,1,BM
23,23,CFW00143-2010-03000,Chateau du Tertre,,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Chateau Du Tertre,,"Margaux, Bordeaux",波爾多,France,法國,,2010,3000ml,223.0,1,BM
24,24,CFW00094-1998-03000,Chateau Gloria,,,Red,紅酒,Domaines Henri Martin,,"St. Julien, Bordeaux",波爾多,France,法國,,1998,3000ml,185.0,1,BM
25,25,CFW00014-1999-03000,Chateau Mouton Rothschild,武當正牌,Bordeaux Grand Cru Classe 1st Growths,Red,紅酒,Baron Philippe de Rothschild,武當酒莊 －罗斯柴尔德男爵集團,"Pauillac, Bordeaux",波爾多,France,法國,,1999,3000ml,1899.0,1,BM
26,26,CFW00078-2003-03000,Chateau Palmer,宝马正牌,Bordeaux Grand Cru Classe 3rd Growths,Red,紅酒,Chateau Palmer,宝马,"Margaux, Bordeaux",波爾多,France,法國,,2003,3000ml,970.0,1,BM
27,27,CFW00126-2011-03000,Chateau Pontet Canet,,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Chateau Pontet Canet,旁堤卡内酒庄,"Pauillac, Bordeaux",波爾多,France,法國,,2011,3000ml,285.0,1,BM
28,28,CFW00365-2009-03000,Chateau Poujeaux,,Cru Bourgeois Exceptionnel,Red,紅酒,Chateau Poujeaux,,"Moulis, Bordeaux",波爾多,France,法國,,2009,3000ml,160.0,1,BM
29,29,CFW00098-2008-03000,Chateau Talbot,大宝正牌,Bordeaux Grand Cru Classe 4th Growths,Red,紅酒,Chateau Talbot,大宝,"St. Julien, Bordeaux",波爾多,France,法國,,2008,3000ml,235.0,1,BM
30,30,CFW00098-1998-03000,Chateau Talbot,大宝正牌,Bordeaux Grand Cru Classe 4th Growths,Red,紅酒,Chateau Talbot,大宝,"St. Julien, Bordeaux",波爾多,France,法國,,1998,3000ml,315.0,1,BM
31,31,CFW00051-2010-03000,La Dame de Montrose,,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Montrose,梦玫瑰,"St. Estephe, Bordeaux",波爾多,France,法國,,2010,3000ml,226.0,1,BM
32,32,CFW00051-2009-03000,La Dame de Montrose,,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Montrose,梦玫瑰,"St. Estephe, Bordeaux",波爾多,France,法國,,2009,3000ml,226.0,1,BM
33,33,CFW01835-2005-03000,Chateau Le Pin,,,Red,紅酒,Chateau Le Pin,,"Pomerol, Bordeaux",波爾多,France,法國,,2005,3000ml,10925.0,1,BM
34,34,CFW00002-2013-06000,Carruades de Lafite,小拉菲／拉菲副牌,Bordeaux Grand Cru Classe 1st Growths,Red,紅酒,Domaines Barons de Rothschild,拉菲酒莊－ 罗斯柴尔德男爵集團,"Pauillac, Bordeaux",波爾多,France,法國,,2013,6000ml,1650.0,1,BM
35,35,CFW00224-2012-06000,Chateau Canon,,St. Emilion Premier Grand Cru Classe B,Red,紅酒,Chateau Canon,卡侬城堡,"St. Emilion, Bordeaux",波爾多,France,法國,,2012,6000ml,550.0,1,BM
36,36,CFW00219-2003-06000,Chateau Cheval Blanc,白马正牌,St. Emilion Premier Grand Cru Classe A,Red,紅酒,Chateau Cheval Blanc,白马,"St. Emilion, Bordeaux",波爾多,France,法國,,2003,6000ml,3360.0,1,BM
37,37,CFW00219-1994-06000,Chateau Cheval Blanc,白马正牌,St. Emilion Premier Grand Cru Classe A,Red,紅酒,Chateau Cheval Blanc,白马,"St. Emilion, Bordeaux",波爾多,France,法國,,1994,6000ml,2722.0,1,BM
38,38,CFW00159-2013-06000,Chateau Clerc Milon,,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Baron Philippe de Rothschild,,"Pauillac, Bordeaux",波爾多,France,法國,,2013,6000ml,535.0,1,BM
39,39,CFW00304-2003-06000,Chateau Clinet,,,Red,紅酒,Chateau Clinet,,"Pomerol, Bordeaux","波默罗, 波爾多",France,法國,,2003,6000ml,640.0,1,BM
40,40,CFW00304-2002-06000,Chateau Clinet,,,Red,紅酒,Chateau Clinet,,"Pomerol, Bordeaux","波默罗, 波爾多",France,法國,,2002,6000ml,500.0,1,BM
41,41,CFW00142-1997-06000,Chateau d’Armailhac,,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Baron Philippe de Rothschild,,"Pauillac, Bordeaux",波爾多,France,法國,,1997,6000ml,425.0,1,BM
42,42,CFW00153-2005-06000,Chateau Camensac,,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Chateau Camensac,,"Haut Medoc, Bordeaux",波爾多,France,法國,,2005,6000ml,340.0,1,BM
