,Wine,Vintage,Format,Cost,Qty,Negoce
0,HENRIOT CUVEE DES ENCHANTEURS,1996,750ml,100.0,1,BM
1,L.ROEDERER CRISTAL ROSE,1999,750ml,450.0,1,BM
2,L.ROEDERER CRISTAL ROSE,1995,1500ml,790.0,1,BM
3,CHT H.BONNAUD QUINTESSENCE BLC,2011,750ml,12.5,2,BM
4,DRC ASSORTIMENT MONTRACHET,2012,750ml,5200.0,2,BM
5,DOMAINE DE BARON'ARQUES,2007,375ml,9.5,3,BM
6,DOM.DE L'ATTILON CHARDONNAY,2014,750ml,3.2,3,BM
7,USSEGLIO CDP CUVEE MON AIEUL,2004,1500ml,73.0,4,BM
8,VIEILLE JULIENNE RESERVE,2000,750ml,195.0,5,BM
9,L'OSTAL CAZES,2005,750ml,10.0,6,BM
10,TARDIEU VV LES ROCHES,2001,750ml,27.0,6,BM
11,CHATEAU TRIANS,2012,750ml,5.3,7,BM
12,L.ROEDERER BRUT PREMIER,0,750ml,27.0,7,BM
13,CRISTIA CDP RENAISSANCE,2010,750ml,38.0,10,BM
14,DOMAINE DE BARON'ARQUES,2010,375ml,10.0,12,BM
15,A. BRUNEL CAILLOUX CENTENAIRE,2000,750ml,175.0,12,BM
16,CHATEAU TRIANS ROSE,2012,750ml,4.2,12,BM
17,LEROY CHAMPANS,2007,750ml,318.5,12,BM
18,LEROY CLOS DES CHENES,2011,750ml,296.0,12,BM
19,LEROY MORGEOT,2012,750ml,273.0,12,BM
20,LEROY MORGEOT,2013,750ml,273.0,12,BM
21,LEROY POMMARD,2013,750ml,273.0,12,BM
22,LEROY SANTENAY,1982,750ml,546.0,12,BM
23,LEROY SANTENAY,2003,750ml,108.0,12,BM
24,TARDIEU CORNAS V.VIGNES,2001,750ml,39.0,12,BM
25,USSEGLIO CDP LES 2 FRERES,2005,750ml,115.0,12,BM
26,SELOSSE SUBSTANCE DISG.2014,2014,750ml,255.0,18,BM
27,TARDIEU,2001,750ml,42.0,18,BM
28,POL ROGER WINSTON CHURCHILL,2002,750ml,145.0,23,BM
29,DAGUENEAU PUR SANG,2011,750ml,75.0,24,BM
30,GUIGAL LA LANDONNE,2011,750ml,219.0,24,BM
31,GUIGAL LA MOULINE,2011,750ml,219.0,24,BM
32,GUIGAL LA TURQUE,2011,750ml,219.0,24,BM
33,LEROY LA COMME,2013,750ml,86.0,24,BM
34,LEROY NUITS ST GEORGES,2013,750ml,273.0,24,BM
35,LEROY POMMARD,2008,750ml,318.5,24,BM
