,Wine,Vintage,Format,Cost,Qty,Negoce
0,Chasse Spleen,1964,730ml,125.0,1,CVBG
1,Haut Brion,1971,730ml,320.0,1,CVBG
2,Figeac,1975,730ml,180.0,1,CVBG
3,Gilette - Crème de Tête,1937,730ml,750.0,1,CVBG
4,Domaine de Terrebrune,1959,730ml,150.0,1,CVBG
5,Carruades de Lafite,2005,750ml,250.0,1,CVBG
6,Lynch Bages,2000,750ml,215.0,1,CVBG
7,Mission Haut Brion Blanc,2010,750ml,600.0,1,CVBG
8,Petrus,1983,750ml,1500.0,1,CVBG
9,Ausone,2014,750ml,500.0,1,CVBG
10,Léoville Las Cases,1982,750ml,450.0,1,CVBG
11,Yquem,1955,750ml,1500.0,1,CVBG
12,Yquem,1939,750ml,1900.0,1,CVBG
13,Yquem,1937,750ml,4000.0,1,CVBG
14,Yquem,1935,750ml,2000.0,1,CVBG
15,Chambertin - Rousseau,2012,750ml,1250.0,1,CVBG
16,Clos de Bèze - Rousseau,2012,750ml,1250.0,1,CVBG
17,Clos Saint Jacques - Rousseau,2011,750ml,395.0,1,CVBG
18,Montrachet - Domaine Leflaive,2011,750ml,5800.0,1,CVBG
19,Opus One,2010,750ml,285.0,1,CVBG
20,Vérité - Le Désir,2013,750ml,250.0,1,CVBG
21,Cathelin - Chave,2009,750ml,4100.0,1,CVBG
22,Cantemerle,2012,1500ml,39.0,1,CVBG
23,Rauzan Ségla,2008,1500ml,110.0,1,CVBG
24,Malescot Saint Exupery,2014,15000ml,750.0,1,CVBG
25,Latour Martillac rouge,2012,15000ml,550.0,1,CVBG
26,Lagrange,2014,15000ml,750.0,1,CVBG
27,Yquem,2011,15000ml,5500.0,1,CVBG
28,Belgrave,2008,3000ml,129.0,1,CVBG
29,Pavillon rouge,2014,3000ml,560.0,1,CVBG
30,Mission Haut Brion ,2006,3000ml,1320.0,1,CVBG
31,Tour Figeac,2005,3000ml,275.0,1,CVBG
32,Le Boscq ,2002,3000ml,88.0,1,CVBG
33,Cardinale,2013,3000ml,825.0,1,CVBG
34,Solaia,2012,3000ml,595.0,1,CVBG
35,Solaia,2009,3000ml,660.0,1,CVBG
36,Solaia,2008,3000ml,650.0,1,CVBG
37,Brane Cantenac,2003,5000ml,530.0,1,CVBG
38,Mouton Rothschild,2000,5000ml,14500.0,1,CVBG
39,Cheval Blanc,2003,5000ml,2900.0,1,CVBG
40,Talbot,1998,5000ml,520.0,1,CVBG
41,Belgrave,2003,6000ml,244.0,1,CVBG
42,Brane Cantenac,2003,6000ml,625.0,1,CVBG
43,Rauzan Ségla,2012,6000ml,480.0,1,CVBG
44,Mouton Rothschild,2014,6000ml,2800.0,1,CVBG
45,Mouton Rothschild,2012,6000ml,2800.0,1,CVBG
46,Pontet Canet,2014,6000ml,600.0,1,CVBG
47,Domaine de Chevalier rouge,2014,6000ml,350.0,1,CVBG
48,Haut Brion,2014,6000ml,2700.0,1,CVBG
49,La Garde Rouge,2003,6000ml,164.0,1,CVBG
50,Smith Haut Lafitte Rouge,2014,6000ml,480.0,1,CVBG
51,Cheval Blanc,2003,6000ml,3450.0,1,CVBG
52,Figeac,2005,6000ml,1500.0,1,CVBG
53,Tour Figeac,2007,6000ml,280.0,1,CVBG
54,Tour Figeac,2006,6000ml,360.0,1,CVBG
55,Cos d'Estournel,2014,6000ml,850.0,1,CVBG
56,Montrose,2005,6000ml,1200.0,1,CVBG
57,Beychevelle,2014,6000ml,590.0,1,CVBG
58,Branaire Ducru,2014,6000ml,300.0,1,CVBG
59,Gruaud Larose,2014,6000ml,400.0,1,CVBG
60,Lagrange,2014,6000ml,250.0,1,CVBG
61,Léoville Las Cases,2005,6000ml,2000.0,1,CVBG
62,Yquem,2011,6000ml,2000.0,1,CVBG
63,Sena,2014,6000ml,600.0,1,CVBG
64,Solaia,2013,6000ml,1350.0,1,CVBG
65,Solaia,2011,6000ml,1190.0,1,CVBG
66,Solaia,2009,6000ml,1290.0,1,CVBG
67,Yquem,2013,375ml,125.0,10,CVBG
68,Rieussec,1997,750ml,55.0,10,CVBG
69,Y d'Yquem,2015,1500ml,184.0,10,CVBG
70,Palmer,2014,3000ml,700.0,10,CVBG
71,Rahoul,2012,3000ml,65.0,100,CVBG
72,Rahoul,2010,3000ml,73.0,100,CVBG
73,Cambon la pelouse,2007,3000ml,51.0,100,CVBG
74,Fourcas Dupré,2014,3000ml,66.8,100,CVBG
75,Belgrave,2013,375ml,8.3,1008,CVBG
76,Clos du Marquis,2007,375ml,16.5,1008,CVBG
77,Larcis Ducasse,2011,750ml,34.2,1008,CVBG
78,Mission Haut Brion ,1999,750ml,195.0,102,CVBG
79,Vinedo Chadwick,2013,750ml,145.0,102,CVBG
80,Le Boscq ,2013,375ml,6.6,1020,CVBG
81,La Garde Rouge,2003,750ml,16.0,1032,CVBG
82,Moulin Saint-Georges,2013,750ml,17.5,1032,CVBG
83,Fiefs de Lagrange ,2013,375ml,7.5,1056,CVBG
84,Climens,2005,750ml,72.0,108,CVBG
85,Fleur Saint Georges ,2015,750ml,8.4,108,CVBG
86,Alter Ego,2012,750ml,51.0,108,CVBG
87,Margaux,2014,750ml,350.0,108,CVBG
88,Domaine de Chevalier rouge,2012,750ml,40.0,108,CVBG
89,Angélus,2007,750ml,295.0,108,CVBG
90,Clos de l'Oratoire,2014,750ml,22.0,108,CVBG
91,Quinault L'Enclos,2014,750ml,20.0,108,CVBG
92,Alter Ego,2013,1500ml,78.0,108,CVBG
93,Rahoul,2013,750ml,7.0,1080,CVBG
94,Troplong Mondot,2011,750ml,57.6,1092,CVBG
95,Almaviva,2011,375ml,40.0,11,CVBG
96,Gruaud Larose,2014,750ml,48.0,11,CVBG
97,Klein Constantia - Vin de Constance,2012,500ml,47.0,114,CVBG
98,Grange - Penfolds,2010,750ml,380.0,114,CVBG
99,Cardinale,2007,750ml,235.0,114,CVBG
100,Marquis de Terme,2014,1500ml,47.9,114,CVBG
101,Marquis de Terme,2013,1500ml,45.0,114,CVBG
102,Latour Martillac rouge,2014,375ml,9.9,1164,CVBG
103,Clos Floridène blanc,2015,750ml,12.3,1176,CVBG
104,Chambrun,2008,750ml,13.9,1188,CVBG
105,Giscours,2011,750ml,36.0,1188,CVBG
106,Climens,2002,375ml,24.0,12,CVBG
107,Rahoul,2011,375ml,4.8,12,CVBG
108,Pichon Comtesse de Lalande,1975,730ml,240.0,12,CVBG
109,Climens,2014,750ml,43.8,12,CVBG
110,Clos Nardian,2009,750ml,30.0,12,CVBG
111,Girolate,2010,750ml,36.0,12,CVBG
112,Girolate blanc,2012,750ml,25.0,12,CVBG
113,Pavillon blanc,2005,750ml,170.0,12,CVBG
114,Pavillon blanc,2004,750ml,165.0,12,CVBG
115,Clos Puy Arnaud,2011,750ml,14.5,12,CVBG
116,Marjosse Blanc,2016,750ml,5.3,12,CVBG
117,La Lagune ,1990,750ml,105.0,12,CVBG
118,Plus de la Fleur de Bouard,2013,750ml,48.0,12,CVBG
119,Margaux,2009,750ml,695.0,12,CVBG
120,Margaux,1998,750ml,395.0,12,CVBG
121,Palmer,1996,750ml,200.0,12,CVBG
122,Rauzan Ségla,2000,750ml,100.0,12,CVBG
123,Sirène de Giscours,2013,750ml,18.0,12,CVBG
124,Mauvesin Barton,2014,750ml,9.9,12,CVBG
125,Lafite Rothschild,1995,750ml,770.0,12,CVBG
126,Lafite Rothschild,1989,750ml,790.0,12,CVBG
127,Latour,2010,750ml,1190.0,12,CVBG
128,Mouton Rothschild,2013,750ml,342.0,12,CVBG
129,Domaine de Chevalier rouge,1988,750ml,80.0,12,CVBG
130,Haut Brion,2009,750ml,700.0,12,CVBG
