,Unnamed: 0,item id,wine,wine chinese,growth,type english,type chinese,vendor english,vendor chinese,region english,region chinese,country english,country chinese,rating,year,format,price,qty,negoce
0,0,CFW00226-1975-00730,Chateau Figeac, 飞卓,St. Emilion Premier Grand Cru Classe B,Red,紅酒,Chateau Figeac, 飞卓,"St. Emilion, Bordeaux",波爾多,France,法國,,1975,730ml,180.0,1,CVBG
1,1,CFW00002-2005-00750,Carruades de Lafite,小拉菲／拉菲副牌,Bordeaux Grand Cru Classe 1st Growths,Red,紅酒,Domaines Barons de Rothschild,拉菲酒莊－ 罗斯柴尔德男爵集團,"Pauillac, Bordeaux",波爾多,France,法國,,2005,750ml,250.0,1,CVBG
2,2,CFW00134-2000-00750,Chateau Lynch Bages,靚茨伯,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Chateau Lynch Bages,都卡斯庄园,"Pauillac, Bordeaux",波爾多,France,法國,,2000,750ml,215.0,1,CVBG
3,3,CFW00204-2010-00750,Chateau La Mission Haut Brion Blanc,,Graves,White,白酒,Domaine Clarence Dillon,,"Graves, Bordeaux",波爾多,France,法國,,2010,750ml,600.0,1,CVBG
4,4,CFW01841-1983-00750,Petrus,,,Red,紅酒,Petrus,,"Pomerol, Bordeaux",波爾多,France,法國,,1983,750ml,1500.0,1,CVBG
5,5,CFW00218-2014-00750,Chateau Ausone,欧颂正牌,St. Emilion Premier Grand Cru Classe A,Red,紅酒,Chateau Ausone,欧颂,"St. Emilion, Bordeaux",波爾多,France,法國,,2014,750ml,500.0,1,CVBG
6,6,CFW00020-1982-00750,Chateau Leoville Las Cases,雄狮正牌,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Leoville Las Cases,雄狮酒莊,"St. Julien, Bordeaux",波爾多,France,法國,,1982,750ml,450.0,1,CVBG
7,7,CFW00330-1955-00750,Chateau d'Yquem,,Sauternes Premier Cru Superieur,Sweet,甜酒,Chateau d'Yquem,,"Sauternes, Bordeaux",波爾多,France,法國,,1955,750ml,1500.0,1,CVBG
8,8,CFW00330-1939-00750,Chateau d'Yquem,,Sauternes Premier Cru Superieur,Sweet,甜酒,Chateau d'Yquem,,"Sauternes, Bordeaux",波爾多,France,法國,,1939,750ml,1900.0,1,CVBG
9,9,CFW00330-1937-00750,Chateau d'Yquem,,Sauternes Premier Cru Superieur,Sweet,甜酒,Chateau d'Yquem,,"Sauternes, Bordeaux",波爾多,France,法國,,1937,750ml,4000.0,1,CVBG
10,10,CFW00330-1935-00750,Chateau d'Yquem,,Sauternes Premier Cru Superieur,Sweet,甜酒,Chateau d'Yquem,,"Sauternes, Bordeaux",波爾多,France,法國,,1935,750ml,2000.0,1,CVBG
11,11,CFW00708-2010-00750,Opus One,作品一号干红,,Red,紅酒,Opus One,作品一号酒庄,Napa,納帕,USA,美國,,2010,750ml,285.0,1,CVBG
12,12,CFW01949-2013-00750,Verite Le Desir,,,Red,紅酒,Verite,,"Sonoma, California",索諾瑪，加州,USA,美國,,2013,750ml,250.0,1,CVBG
13,13,CFW00162-2012-01500,Chateau Cantemerle,,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Chateau Cantemerle,,"Haut Medoc, Bordeaux",波爾多,France,法國,,2012,1500ml,39.0,1,CVBG
14,14,CFW00017-2008-01500,Chateau Rauzan Segla,魯臣世家庄园正牌,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Rauzan Segla,魯臣世家庄园,"Margaux, Bordeaux",波爾多,France,法國,,2008,1500ml,110.0,1,CVBG
15,15,CFW00069-2014-15000,Chateau Malescot Saint Exupery,,Bordeaux Grand Cru Classe 3rd Growths,Red,紅酒,Chateau Malescot Saint Exupery,,"Margaux, Bordeaux",波爾多,France,法國,,2014,15000ml,750.0,1,CVBG
16,16,CFW00195-2012-15000,Chateau Latour Martillac Rouge,,Graves,Red,紅酒,Chateau Latour Martillac,,"Graves, Bordeaux",波爾多,France,法國,,2012,15000ml,550.0,1,CVBG
17,17,CFW00059-2014-15000,Chateau Lagrange,,Bordeaux Grand Cru Classe 3rd Growths,Red,紅酒,Chateau Lagrange,,"St. Julien, Bordeaux",波爾多,France,法國,,2014,15000ml,750.0,1,CVBG
18,18,CFW00330-2011-15000,Chateau d'Yquem,,Sauternes Premier Cru Superieur,Sweet,甜酒,Chateau d'Yquem,,"Sauternes, Bordeaux",波爾多,France,法國,,2011,15000ml,5500.0,1,CVBG
19,19,CFW00151-2008-03000,Chateau Belgrave,,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Chateau Belgrave,,"Haut Medoc, Bordeaux",波爾多,France,法國,,2008,3000ml,129.0,1,CVBG
20,20,CFW01808-2006-03000,Chateau Mission Haut Brion,,,Red,紅酒,Chateau Mission Haut Brion,,"Pessac Leognan, Bordeaux",波爾多,France,法國,,2006,3000ml,1320.0,1,CVBG
21,21,CFW00298-2005-03000,Chateau La Tour Figeac,,St. Emilion Grand Cru Classe,Red,紅酒,Chateau La Tour Figeac,,"St. Emilion, Bordeaux",波爾多,France,法國,,2005,3000ml,275.0,1,CVBG
22,22,CFW00376-2002-03000,Chateau Le Boscq,,Cru Bourgeois Superieur,Red,紅酒,Chateau Le Boscq,,"St. Estephe, Bordeaux",波爾多,France,法國,,2002,3000ml,88.0,1,CVBG
23,23,CFW01782-2013-03000,Cardinale,,,Red,紅酒,Cardinale,,"Napa, California",納帕，加州,USA,美國,,2013,3000ml,825.0,1,CVBG
24,24,CFW00648-2012-03000,Solaia,安东尼世家索拉雅干红,,Red,紅酒,Marchesi Antinori,安东尼世家酒庄,Tuscany,托斯卡納,Italy,意大利,,2012,3000ml,595.0,1,CVBG
25,25,CFW00648-2009-03000,Solaia,安东尼世家索拉雅干红,,Red,紅酒,Marchesi Antinori,安东尼世家酒庄,Tuscany,托斯卡納,Italy,意大利,,2009,3000ml,660.0,1,CVBG
26,26,CFW00648-2008-03000,Solaia,安东尼世家索拉雅干红,,Red,紅酒,Marchesi Antinori,安东尼世家酒庄,Tuscany,托斯卡納,Italy,意大利,,2008,3000ml,650.0,1,CVBG
27,27,CFW00035-2003-05000,Chateau Brane Cantenac,,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Brane Cantenac,布朗康田酒庄,"Margaux, Bordeaux","瑪歌, 波爾多",France,法國,,2003,5000ml,530.0,1,CVBG
28,28,CFW00014-2000-05000,Chateau Mouton Rothschild,武當正牌,Bordeaux Grand Cru Classe 1st Growths,Red,紅酒,Baron Philippe de Rothschild,武當酒莊 －罗斯柴尔德男爵集團,"Pauillac, Bordeaux",波爾多,France,法國,,2000,5000ml,14500.0,1,CVBG
29,29,CFW00219-2003-05000,Chateau Cheval Blanc,白马正牌,St. Emilion Premier Grand Cru Classe A,Red,紅酒,Chateau Cheval Blanc,白马,"St. Emilion, Bordeaux",波爾多,France,法國,,2003,5000ml,2900.0,1,CVBG
30,30,CFW00098-1998-05000,Chateau Talbot,大宝正牌,Bordeaux Grand Cru Classe 4th Growths,Red,紅酒,Chateau Talbot,大宝,"St. Julien, Bordeaux",波爾多,France,法國,,1998,5000ml,520.0,1,CVBG
