,Wine,Vintage,Format,Cost,Qty,Negoce
0,BRANE CANTENAC ,2014,12000ml,662.0,1,Clarence Dillon
1,CLINET,2014,12000ml,880.0,1,Clarence Dillon
2,ANGELUS ,2014,750ml,230.0,78,Clarence Dillon
3,ARMAILHAC (d'),2006,750ml,43.5,84,Clarence Dillon
4,BLASON D'ISSAN ,2013,750ml,13.8,205,Clarence Dillon
5,BLASON D'ISSAN ,2014,750ml,15.0,168,Clarence Dillon
6,BRANE CANTENAC ,2000,750ml,95.0,24,Clarence Dillon
7,BRANE CANTENAC ,2006,750ml,47.0,7,Clarence Dillon
8,BRANE CANTENAC ,2014,750ml,41.0,114,Clarence Dillon
9,BRANAIRE DUCRU ,2000,750ml,88.0,84,Clarence Dillon
10,BRANAIRE DUCRU ,2004,750ml,51.0,30,Clarence Dillon
11,BRANAIRE DUCRU ,2005,750ml,82.0,60,Clarence Dillon
12,BRANAIRE DUCRU ,2007,750ml,40.0,36,Clarence Dillon
13,BRANAIRE DUCRU ,2008,750ml,48.0,168,Clarence Dillon
14,BRANAIRE DUCRU ,2010,750ml,63.0,156,Clarence Dillon
15,BRANAIRE DUCRU ,2012,750ml,33.0,380,Clarence Dillon
16,BRANAIRE DUCRU ,2013,750ml,29.9,48,Clarence Dillon
17,BRANAIRE DUCRU ,2014,750ml,32.0,192,Clarence Dillon
18,CAILLOU BLANC CHÂTEAU TALBOT ,2014,750ml,16.8,144,Clarence Dillon
19,CALON-SEGUR,1995,750ml,95.0,5,Clarence Dillon
20,CALON-SEGUR,1999,750ml,81.0,12,Clarence Dillon
21,CALON SEGUR,2002,750ml,73.0,60,Clarence Dillon
22,CALON SEGUR,2003,750ml,88.0,48,Clarence Dillon
23,CANON,2009,750ml,99.0,48,Clarence Dillon
24,CANON ,2011,750ml,66.0,256,Clarence Dillon
25,CANON ,2012,750ml,57.0,120,Clarence Dillon
26,CANON ,2013,750ml,42.0,288,Clarence Dillon
27,CANON LA GAFFELIERE,1999,750ml,94.0,30,Clarence Dillon
28,CANON LA GAFFELIERE,2000,750ml,120.0,41,Clarence Dillon
29,CANON LA GAFFELIERE,2011,750ml,53.0,60,Clarence Dillon
30,CANON LA GAFFELIERE,2013,750ml,37.15,18,Clarence Dillon
31,CAPBERN GASQUETON ,2011,750ml,11.3,12,Clarence Dillon
32,CAPBERN GASQUETON ,2013,750ml,10.7,324,Clarence Dillon
33,CARBONNIEUX BLANC ,2014,750ml,22.0,443,Clarence Dillon
34,CARBONNIEUX ROUGE,2012,750ml,22.0,13,Clarence Dillon
35,CARBONNIEUX ROUGE,2013,750ml,18.0,13,Clarence Dillon
36,CARBONNIEUX ROUGE,2014,750ml,21.0,468,Clarence Dillon
37,CHASSE SPLEEN ,2000,750ml,49.5,60,Clarence Dillon
38,CHASSE SPLEEN ,2003,750ml,37.5,60,Clarence Dillon
39,CHASSE SPLEEN ,2005,750ml,41.0,180,Clarence Dillon
40,CLIMENS,2005,750ml,71.0,40,Clarence Dillon
41,CLINET,2004,750ml,76.0,12,Clarence Dillon
42,CLINET,2005,750ml,117.0,12,Clarence Dillon
43,CLINET,2013,750ml,39.0,260,Clarence Dillon
44,CLINET,2014,750ml,50.0,270,Clarence Dillon
45,CLOS DU MARQUIS,1996,750ml,48.0,12,Clarence Dillon
46,CLOS DU MARQUIS,1998,750ml,49.0,336,Clarence Dillon
47,CLOS DU MARQUIS,2001,750ml,52.0,24,Clarence Dillon
48,CLOS DU MARQUIS,2007,750ml,38.4,258,Clarence Dillon
49,COUTET,2003,750ml,30.0,29,Clarence Dillon
50,CROIX DE GAY (La) ,2010,750ml,34.0,48,Clarence Dillon
51,DAME DE MONTROSE,2013,750ml,19.2,192,Clarence Dillon
