,Wine,Vintage,Format,Cost,Qty,Negoce
0,HAUT BRION ,1995,750ml,475.0,60,Clarence Dillon
1,HAUT BRION ,2003,750ml,365.0,60,Clarence Dillon
2,HAUT BRION ,2004,750ml,360.0,60,Clarence Dillon
3,HAUT BRION ,2005,750ml,750.0,60,Clarence Dillon
4,HAUT BRION ,2006,750ml,370.0,60,Clarence Dillon
5,HAUT BRION ,2007,750ml,360.0,60,Clarence Dillon
6,HAUT BRION ,2008,750ml,350.0,60,Clarence Dillon
7,HAUT BRION ,2009,750ml,750.0,60,Clarence Dillon
8,HAUT BRION ,2010,750ml,670.0,60,Clarence Dillon
9,HAUT BRION ,2011,750ml,370.0,60,Clarence Dillon
10,HAUT BRION ,2012,750ml,350.0,60,Clarence Dillon
11,HAUT BRION ,2013,750ml,300.0,60,Clarence Dillon
12,HAUT BRION ,2014,750ml,320.0,60,Clarence Dillon
13,BAHANS HAUT BRION ,1999,750ml,87.0,60,Clarence Dillon
14,BAHANS HAUT BRION ,2006,750ml,94.0,60,Clarence Dillon
15,CLARENCE HAUT BRION ,2008,750ml,110.0,60,Clarence Dillon
16,CLARENCE HAUT BRION ,2009,750ml,110.0,60,Clarence Dillon
17,CLARENCE HAUT BRION ,2010,750ml,110.0,60,Clarence Dillon
18,CLARENCE HAUT BRION ,2011,750ml,85.0,60,Clarence Dillon
19,CLARENCE HAUT BRION ,2012,750ml,85.0,60,Clarence Dillon
20,CLARENCE HAUT BRION ,2013,750ml,84.0,60,Clarence Dillon
21,CLARENCE HAUT BRION ,2014,750ml,85.0,60,Clarence Dillon
22,MISSION HAUT BRION ,1986,750ml,332.0,60,Clarence Dillon
23,MISSION HAUT BRION ,1996,750ml,275.0,60,Clarence Dillon
24,MISSION HAUT BRION ,1998,750ml,340.0,60,Clarence Dillon
25,MISSION HAUT BRION ,1999,750ml,250.0,60,Clarence Dillon
26,MISSION HAUT BRION ,2001,750ml,253.0,60,Clarence Dillon
27,MISSION HAUT BRION ,2002,750ml,227.0,60,Clarence Dillon
28,MISSION HAUT BRION ,2003,750ml,232.0,60,Clarence Dillon
29,MISSION HAUT BRION ,2004,750ml,171.0,60,Clarence Dillon
30,MISSION HAUT BRION ,2005,750ml,750.0,60,Clarence Dillon
31,MISSION HAUT BRION ,2006,750ml,332.0,60,Clarence Dillon
32,MISSION HAUT BRION ,2007,750ml,212.0,60,Clarence Dillon
33,MISSION HAUT BRION ,2008,750ml,167.0,60,Clarence Dillon
34,MISSION HAUT BRION ,2009,750ml,615.0,60,Clarence Dillon
35,MISSION HAUT BRION ,2010,750ml,602.0,60,Clarence Dillon
36,MISSION HAUT BRION ,2011,750ml,218.0,60,Clarence Dillon
37,MISSION HAUT BRION ,2012,750ml,182.0,60,Clarence Dillon
38,MISSION HAUT BRION ,2013,750ml,127.0,60,Clarence Dillon
39,MISSION HAUT BRION ,2014,750ml,175.0,60,Clarence Dillon
40,LA CHAPELLE DE LA MISSION ,2012,750ml,45.0,60,Clarence Dillon
41,LA CHAPELLE DE LA MISSION ,2013,750ml,34.0,60,Clarence Dillon
42,LA CHAPELLE DE LA MISSION ,2014,750ml,40.0,60,Clarence Dillon
43,HAUT BRION ,2002,750ml,1600.0,60,Clarence Dillon
44,HAUT BRION ,2004,750ml,1200.0,60,Clarence Dillon
45,HAUT BRION ,2005,750ml,1200.0,60,Clarence Dillon
46,HAUT BRION ,2006,750ml,1200.0,60,Clarence Dillon
47,HAUT BRION ,2007,750ml,1200.0,60,Clarence Dillon
48,HAUT BRION ,2009,750ml,1600.0,60,Clarence Dillon
49,HAUT BRION ,2010,750ml,1200.0,60,Clarence Dillon
50,HAUT BRION ,2013,750ml,840.0,60,Clarence Dillon
51,LA CHAPELLE DE LA MISSION ,2009,750ml,74.0,60,Clarence Dillon
52,LA CHAPELLE DE LA MISSION ,2010,750ml,110.0,60,Clarence Dillon
53,LA CHAPELLE DE LA MISSION ,2011,750ml,50.0,60,Clarence Dillon
54,HAUT BRION ,2014,750ml,840.0,60,Clarence Dillon
55,LAVILLE HAUT BRION ,1995,750ml,500.0,60,Clarence Dillon
56,LAVILLE HAUT BRION ,1997,750ml,500.0,60,Clarence Dillon
57,LAVILLE HAUT BRION ,2001,750ml,500.0,60,Clarence Dillon
58,LAVILLE HAUT BRION ,2002,750ml,1200.0,60,Clarence Dillon
59,LAVILLE HAUT BRION ,2005,750ml,1600.0,60,Clarence Dillon
60,LAVILLE HAUT BRION ,2006,750ml,800.0,60,Clarence Dillon
61,LAVILLE HAUT BRION ,2007,750ml,1200.0,60,Clarence Dillon
62,LAVILLE HAUT BRION ,2008,750ml,1200.0,60,Clarence Dillon
63,MISSION HAUT BRION ,2009,750ml,560.0,60,Clarence Dillon
64,MISSION HAUT BRION ,2010,750ml,1200.0,60,Clarence Dillon
65,MISSION HAUT BRION ,2011,750ml,600.0,60,Clarence Dillon
66,MISSION HAUT BRION ,2012,750ml,495.0,60,Clarence Dillon
67,MISSION HAUT BRION ,2013,750ml,495.0,60,Clarence Dillon
68,MISSION HAUT BRION ,2014,750ml,495.0,60,Clarence Dillon
69,LES PLANTIERS DU HAUT BRION,2008,750ml,47.0,60,Clarence Dillon
70,LA CLARTE ,2009,750ml,87.0,60,Clarence Dillon
71,LA CLARTE ,2010,750ml,77.0,60,Clarence Dillon
72,LA CLARTE ,2011,750ml,73.0,60,Clarence Dillon
73,LA CLARTE ,2012,750ml,73.0,60,Clarence Dillon
74,LA CLARTE ,2013,750ml,65.0,60,Clarence Dillon
75,LA CLARTE ,2014,750ml,70.0,60,Clarence Dillon
76,L'ARROSEE,2010,750ml,46.0,60,Clarence Dillon
77,L'ARROSEE,2011,750ml,27.0,60,Clarence Dillon
78,L'ARROSEE,2012,750ml,33.0,60,Clarence Dillon
79,QUINTUS ,2011,750ml,98.0,60,Clarence Dillon
80,QUINTUS ,2012,750ml,74.0,60,Clarence Dillon
81,QUINTUS ,2013,750ml,62.0,60,Clarence Dillon
82,QUINTUS ,2014,750ml,69.0,60,Clarence Dillon
83,DRAGON DE QUINTUS,2011,750ml,27.0,60,Clarence Dillon
84,DRAGON DE QUINTUS,2014,750ml,19.0,60,Clarence Dillon
85,TERTRE DAUGAY,2008,750ml,15.5,60,Clarence Dillon
86,HAUT BRION ,2003,3000ml,1536.0,6,Clarence Dillon
87,HAUT BRION ,2006,3000ml,1650.0,6,Clarence Dillon
88,HAUT BRION ,2007,3000ml,1512.0,6,Clarence Dillon
89,HAUT BRION ,2008,3000ml,1470.0,6,Clarence Dillon
90,HAUT BRION ,2010,3000ml,3300.0,6,Clarence Dillon
91,HAUT BRION ,2011,3000ml,1800.0,6,Clarence Dillon
92,HAUT BRION ,2012,3000ml,1470.0,6,Clarence Dillon
93,HAUT BRION ,2013,3000ml,1158.0,6,Clarence Dillon
94,HAUT BRION ,2014,3000ml,1218.0,6,Clarence Dillon
95,CLARENCE HAUT BRION ,2009,3000ml,462.0,6,Clarence Dillon
96,CLARENCE HAUT BRION ,2010,3000ml,540.0,6,Clarence Dillon
97,CLARENCE HAUT BRION ,2011,3000ml,360.0,6,Clarence Dillon
98,CLARENCE HAUT BRION ,2014,3000ml,300.0,6,Clarence Dillon
99,MISSION HAUT BRION ,1996,3000ml,1158.0,6,Clarence Dillon
100,MISSION HAUT BRION ,1998,3000ml,1428.0,6,Clarence Dillon
101,MISSION HAUT BRION ,2002,3000ml,936.0,6,Clarence Dillon
102,MISSION HAUT BRION ,2004,3000ml,720.0,6,Clarence Dillon
103,MISSION HAUT BRION ,2005,3000ml,3150.0,6,Clarence Dillon
104,MISSION HAUT BRION ,2006,3000ml,1650.0,6,Clarence Dillon
105,MISSION HAUT BRION ,2007,3000ml,1050.0,6,Clarence Dillon
106,MISSION HAUT BRION ,2008,3000ml,696.0,6,Clarence Dillon
107,MISSION HAUT BRION ,2009,3000ml,3192.0,6,Clarence Dillon
108,MISSION HAUT BRION ,2010,3000ml,3000.0,6,Clarence Dillon
109,MISSION HAUT BRION ,2011,3000ml,1080.0,6,Clarence Dillon
110,MISSION HAUT BRION ,2012,3000ml,750.0,6,Clarence Dillon
111,MISSION HAUT BRION ,2013,3000ml,600.0,6,Clarence Dillon
112,MISSION HAUT BRION ,2014,3000ml,720.0,6,Clarence Dillon
113,LA CHAPELLE DE LA MISSION ,2009,3000ml,312.0,6,Clarence Dillon
114,LA CHAPELLE DE LA MISSION ,2010,3000ml,540.0,6,Clarence Dillon
115,LA CHAPELLE DE LA MISSION ,2011,3000ml,240.0,6,Clarence Dillon
116,LA CHAPELLE DE LA MISSION ,2012,3000ml,192.0,6,Clarence Dillon
117,LA CHAPELLE DE LA MISSION ,2013,3000ml,150.0,6,Clarence Dillon
118,LA CHAPELLE DE LA MISSION ,2014,3000ml,168.0,6,Clarence Dillon
119,HAUT BRION ,2009,3000ml,6720.0,6,Clarence Dillon
120,HAUT BRION ,2013,3000ml,3528.0,6,Clarence Dillon
121,MISSION HAUT BRION ,2013,3000ml,2400.0,6,Clarence Dillon
122,QUINTUS ,2014,3000ml,292.0,6,Clarence Dillon
123,DRAGON DE QUINTUS,2014,3000ml,73.0,6,Clarence Dillon
124,HAUT BRION ,2009,375ml,394.0,60,Clarence Dillon
125,HAUT BRION ,2010,375ml,413.0,60,Clarence Dillon
126,HAUT BRION ,2011,375ml,225.0,60,Clarence Dillon
127,HAUT BRION ,2012,375ml,184.0,60,Clarence Dillon
128,HAUT BRION ,2013,375ml,145.0,60,Clarence Dillon
129,HAUT BRION ,2014,375ml,152.0,60,Clarence Dillon
130,BAHANS HAUT BRION ,1998,375ml,42.0,60,Clarence Dillon
131,CLARENCE HAUT BRION ,2009,375ml,58.0,60,Clarence Dillon
132,CLARENCE HAUT BRION ,2011,375ml,45.0,60,Clarence Dillon
133,CLARENCE HAUT BRION ,2012,375ml,38.0,60,Clarence Dillon
134,CLARENCE HAUT BRION ,2013,375ml,38.0,60,Clarence Dillon
135,CLARENCE HAUT BRION ,2014,375ml,38.0,60,Clarence Dillon
136,MISSION HAUT BRION ,1994,375ml,84.0,60,Clarence Dillon
137,MISSION HAUT BRION ,1996,375ml,145.0,60,Clarence Dillon
138,MISSION HAUT BRION ,1998,375ml,179.0,60,Clarence Dillon
139,MISSION HAUT BRION ,1999,375ml,131.0,60,Clarence Dillon
140,MISSION HAUT BRION ,2006,375ml,206.0,60,Clarence Dillon
141,MISSION HAUT BRION ,2009,375ml,399.0,60,Clarence Dillon
142,MISSION HAUT BRION ,2010,375ml,375.0,60,Clarence Dillon
143,MISSION HAUT BRION ,2011,375ml,135.0,60,Clarence Dillon
144,MISSION HAUT BRION ,2013,375ml,75.0,60,Clarence Dillon
145,MISSION HAUT BRION ,2014,375ml,90.0,60,Clarence Dillon
146,LA CHAPELLE DE LA MISSION ,2009,375ml,39.0,60,Clarence Dillon
147,LA CHAPELLE DE LA MISSION ,2010,375ml,68.0,60,Clarence Dillon
148,LA CHAPELLE DE LA MISSION ,2011,375ml,30.0,60,Clarence Dillon
149,LA CHAPELLE DE LA MISSION ,2012,375ml,24.0,60,Clarence Dillon
150,LA CHAPELLE DE LA MISSION ,2013,375ml,19.0,60,Clarence Dillon
151,LA CHAPELLE DE LA MISSION ,2014,375ml,21.0,60,Clarence Dillon
152,QUINTUS ,2011,375ml,52.0,60,Clarence Dillon
153,QUINTUS ,2012,375ml,39.0,60,Clarence Dillon
154,QUINTUS ,2013,375ml,33.0,60,Clarence Dillon
155,QUINTUS ,2014,375ml,37.0,60,Clarence Dillon
156,DRAGON DE QUINTUS,2014,375ml,10.0,60,Clarence Dillon
157,LAVILLE HAUT BRION ,2005,6000ml,18816.0,6,Clarence Dillon
158,LAVILLE HAUT BRION ,2006,6000ml,9408.0,6,Clarence Dillon
159,LAVILLE HAUT BRION ,2007,6000ml,14112.0,6,Clarence Dillon
160,HAUT BRION ,2005,6000ml,8820.0,6,Clarence Dillon
161,HAUT BRION ,2006,6000ml,4620.0,6,Clarence Dillon
162,HAUT BRION ,2007,6000ml,4233.0,6,Clarence Dillon
163,HAUT BRION ,2008,6000ml,4536.0,6,Clarence Dillon
164,HAUT BRION ,2009,6000ml,8820.0,6,Clarence Dillon
165,HAUT BRION ,2010,6000ml,9240.0,6,Clarence Dillon
166,HAUT BRION ,2011,6000ml,5040.0,6,Clarence Dillon
167,HAUT BRION ,2012,6000ml,4116.0,6,Clarence Dillon
168,HAUT BRION ,2013,6000ml,3242.0,6,Clarence Dillon
169,HAUT BRION ,2014,6000ml,3410.0,6,Clarence Dillon
170,CLARENCE HAUT BRION ,2009,6000ml,1293.0,6,Clarence Dillon
171,CLARENCE HAUT BRION ,2010,6000ml,1512.0,6,Clarence Dillon
172,CLARENCE HAUT BRION ,2011,6000ml,1008.0,6,Clarence Dillon
173,CLARENCE HAUT BRION ,2012,6000ml,840.0,6,Clarence Dillon
174,CLARENCE HAUT BRION ,2014,6000ml,840.0,6,Clarence Dillon
175,MISSION HAUT BRION ,1996,6000ml,3242.0,6,Clarence Dillon
176,MISSION HAUT BRION ,2002,6000ml,2620.0,6,Clarence Dillon
177,MISSION HAUT BRION ,2004,6000ml,2016.0,6,Clarence Dillon
178,MISSION HAUT BRION ,2005,6000ml,8820.0,6,Clarence Dillon
179,MISSION HAUT BRION ,2006,6000ml,4620.0,6,Clarence Dillon
180,MISSION HAUT BRION ,2007,6000ml,2940.0,6,Clarence Dillon
181,MISSION HAUT BRION ,2009,6000ml,8937.0,6,Clarence Dillon
182,MISSION HAUT BRION ,2010,6000ml,8400.0,6,Clarence Dillon
183,MISSION HAUT BRION ,2011,6000ml,3024.0,6,Clarence Dillon
184,MISSION HAUT BRION ,2012,6000ml,2100.0,6,Clarence Dillon
185,MISSION HAUT BRION ,2013,6000ml,1680.0,6,Clarence Dillon
186,MISSION HAUT BRION ,2014,6000ml,2016.0,6,Clarence Dillon
187,LA CHAPELLE DE LA MISSION ,2009,6000ml,873.0,6,Clarence Dillon
188,LA CHAPELLE DE LA MISSION ,2010,6000ml,1512.0,6,Clarence Dillon
189,LA CHAPELLE DE LA MISSION ,2011,6000ml,672.0,6,Clarence Dillon
190,LA CHAPELLE DE LA MISSION ,2012,6000ml,538.0,6,Clarence Dillon
191,LA CHAPELLE DE LA MISSION ,2014,6000ml,470.0,6,Clarence Dillon
192,HAUT BRION ,2004,6000ml,14112.0,6,Clarence Dillon
193,HAUT BRION ,2005,6000ml,14112.0,6,Clarence Dillon
194,HAUT BRION ,2006,6000ml,14112.0,6,Clarence Dillon
195,HAUT BRION ,2007,6000ml,14112.0,6,Clarence Dillon
196,HAUT BRION ,2008,6000ml,14112.0,6,Clarence Dillon
197,HAUT BRION ,2009,6000ml,18816.0,6,Clarence Dillon
198,HAUT BRION ,2010,6000ml,14112.0,6,Clarence Dillon
199,HAUT BRION ,2014,6000ml,8400.0,6,Clarence Dillon
200,LAVILLE HAUT BRION ,2008,6000ml,14112.0,6,Clarence Dillon
201,MISSION HAUT BRION ,2010,6000ml,14112.0,6,Clarence Dillon
202,MISSION HAUT BRION ,2013,6000ml,6720.0,6,Clarence Dillon
203,MISSION HAUT BRION ,2014,6000ml,6720.0,6,Clarence Dillon
204,DRAGON DE QUINTUS,2012,6000ml,156.0,6,Clarence Dillon
205,MISSION HAUT BRION ,1994,5000ml,1550.0,6,Clarence Dillon
206,MISSION HAUT BRION ,1995,5000ml,1960.0,6,Clarence Dillon
207,MISSION HAUT BRION ,1996,5000ml,2701.0,6,Clarence Dillon
208,HAUT BRION ,2003,1500ml,768.0,24,Clarence Dillon
209,HAUT BRION ,2005,1500ml,1575.0,24,Clarence Dillon
210,HAUT BRION ,2006,1500ml,825.0,24,Clarence Dillon
211,HAUT BRION ,2007,1500ml,756.0,24,Clarence Dillon
212,HAUT BRION ,2008,1500ml,735.0,24,Clarence Dillon
213,HAUT BRION ,2009,1500ml,1575.0,24,Clarence Dillon
214,HAUT BRION ,2010,1500ml,1650.0,24,Clarence Dillon
215,HAUT BRION ,2011,1500ml,900.0,24,Clarence Dillon
216,HAUT BRION ,2012,1500ml,735.0,24,Clarence Dillon
217,HAUT BRION ,2013,1500ml,579.0,24,Clarence Dillon
218,HAUT BRION ,2014,1500ml,609.0,24,Clarence Dillon
219,BAHANS HAUT BRION ,2005,1500ml,201.0,24,Clarence Dillon
220,BAHANS HAUT BRION ,2006,1500ml,192.0,24,Clarence Dillon
221,CLARENCE HAUT BRION ,2008,1500ml,231.0,24,Clarence Dillon
222,CLARENCE HAUT BRION ,2009,1500ml,231.0,24,Clarence Dillon
223,CLARENCE HAUT BRION ,2010,1500ml,270.0,24,Clarence Dillon
224,CLARENCE HAUT BRION ,2011,1500ml,180.0,24,Clarence Dillon
225,CLARENCE HAUT BRION ,2012,1500ml,150.0,24,Clarence Dillon
226,CLARENCE HAUT BRION ,2013,1500ml,153.0,24,Clarence Dillon
227,CLARENCE HAUT BRION ,2014,1500ml,150.0,24,Clarence Dillon
228,MISSION HAUT BRION ,2005,1500ml,1575.0,24,Clarence Dillon
229,MISSION HAUT BRION ,2006,1500ml,825.0,24,Clarence Dillon
230,MISSION HAUT BRION ,2007,1500ml,525.0,24,Clarence Dillon
231,MISSION HAUT BRION ,2008,1500ml,348.0,24,Clarence Dillon
232,MISSION HAUT BRION ,2009,1500ml,1596.0,24,Clarence Dillon
233,MISSION HAUT BRION ,2010,1500ml,1500.0,24,Clarence Dillon
234,MISSION HAUT BRION ,2011,1500ml,540.0,24,Clarence Dillon
235,MISSION HAUT BRION ,2012,1500ml,375.0,24,Clarence Dillon
236,MISSION HAUT BRION ,2013,1500ml,300.0,24,Clarence Dillon
237,MISSION HAUT BRION ,2014,1500ml,360.0,24,Clarence Dillon
238,LA CHAPELLE DE LA MISSION ,2008,1500ml,120.0,24,Clarence Dillon
239,LA CHAPELLE DE LA MISSION ,2009,1500ml,156.0,24,Clarence Dillon
240,LA CHAPELLE DE LA MISSION ,2010,1500ml,270.0,24,Clarence Dillon
241,LA CHAPELLE DE LA MISSION ,2011,1500ml,120.0,24,Clarence Dillon
242,LA CHAPELLE DE LA MISSION ,2012,1500ml,96.0,24,Clarence Dillon
243,LA CHAPELLE DE LA MISSION ,2013,1500ml,75.0,24,Clarence Dillon
244,LA CHAPELLE DE LA MISSION ,2014,1500ml,84.0,24,Clarence Dillon
245,HAUT BRION ,2002,1500ml,3360.0,24,Clarence Dillon
246,HAUT BRION ,2004,1500ml,2520.0,24,Clarence Dillon
247,HAUT BRION ,2005,1500ml,2520.0,24,Clarence Dillon
248,HAUT BRION ,2006,1500ml,2520.0,24,Clarence Dillon
249,HAUT BRION ,2008,1500ml,2520.0,24,Clarence Dillon
250,HAUT BRION ,2009,1500ml,3360.0,24,Clarence Dillon
251,HAUT BRION ,2010,1500ml,2520.0,24,Clarence Dillon
252,HAUT BRION ,2011,1500ml,2520.0,24,Clarence Dillon
253,HAUT BRION ,2013,1500ml,1764.0,24,Clarence Dillon
254,HAUT BRION ,2014,1500ml,1500.0,24,Clarence Dillon
255,LAVILLE HAUT BRION ,2002,1500ml,2520.0,24,Clarence Dillon
256,LAVILLE HAUT BRION ,2005,1500ml,3360.0,24,Clarence Dillon
257,LAVILLE HAUT BRION ,2006,1500ml,1680.0,24,Clarence Dillon
258,LAVILLE HAUT BRION ,2007,1500ml,2520.0,24,Clarence Dillon
259,LAVILLE HAUT BRION ,2008,1500ml,2520.0,24,Clarence Dillon
