,Unnamed: 0,item id,wine,wine chinese,growth,type english,type chinese,vendor english,vendor chinese,region english,region chinese,country english,country chinese,rating,year,format,price,qty,negoce
0,0,CFW01798-1999-00750,Bahans Haut Brion,,,Red,紅酒,Bahans Haut Brion,,"Pessac Leognan, Bordeaux",波爾多,France,法國,,1999,750ml,87.0,60,Clarence Dillon
1,1,CFW01798-2006-00750,Bahans Haut Brion,,,Red,紅酒,Bahans Haut Brion,,"Pessac Leognan, Bordeaux",波爾多,France,法國,,2006,750ml,94.0,60,Clarence Dillon
2,2,CFW00011-2008-00750,Le Clarence de Haut Brion,侯伯王副牌,Bordeaux Grand Cru Classe 1st Growths,Red,紅酒,Chateau Haut Brion,侯伯王酒莊,"Graves, Bordeaux",波爾多,France,法國,,2008,750ml,110.0,60,Clarence Dillon
3,3,CFW00011-2009-00750,Le Clarence de Haut Brion,侯伯王副牌,Bordeaux Grand Cru Classe 1st Growths,Red,紅酒,Chateau Haut Brion,侯伯王酒莊,"Graves, Bordeaux",波爾多,France,法國,,2009,750ml,110.0,60,Clarence Dillon
4,4,CFW00011-2010-00750,Le Clarence de Haut Brion,侯伯王副牌,Bordeaux Grand Cru Classe 1st Growths,Red,紅酒,Chateau Haut Brion,侯伯王酒莊,"Graves, Bordeaux",波爾多,France,法國,,2010,750ml,110.0,60,Clarence Dillon
5,5,CFW00011-2011-00750,Le Clarence de Haut Brion,侯伯王副牌,Bordeaux Grand Cru Classe 1st Growths,Red,紅酒,Chateau Haut Brion,侯伯王酒莊,"Graves, Bordeaux",波爾多,France,法國,,2011,750ml,85.0,60,Clarence Dillon
6,6,CFW00011-2012-00750,Le Clarence de Haut Brion,侯伯王副牌,Bordeaux Grand Cru Classe 1st Growths,Red,紅酒,Chateau Haut Brion,侯伯王酒莊,"Graves, Bordeaux",波爾多,France,法國,,2012,750ml,85.0,60,Clarence Dillon
7,7,CFW00011-2013-00750,Le Clarence de Haut Brion,侯伯王副牌,Bordeaux Grand Cru Classe 1st Growths,Red,紅酒,Chateau Haut Brion,侯伯王酒莊,"Graves, Bordeaux",波爾多,France,法國,,2013,750ml,84.0,60,Clarence Dillon
8,8,CFW00011-2014-00750,Le Clarence de Haut Brion,侯伯王副牌,Bordeaux Grand Cru Classe 1st Growths,Red,紅酒,Chateau Haut Brion,侯伯王酒莊,"Graves, Bordeaux",波爾多,France,法國,,2014,750ml,85.0,60,Clarence Dillon
9,9,CFW01808-1986-00750,Chateau Mission Haut Brion,,,Red,紅酒,Chateau Mission Haut Brion,,"Pessac Leognan, Bordeaux",波爾多,France,法國,,1986,750ml,332.0,60,Clarence Dillon
10,10,CFW01808-1996-00750,Chateau Mission Haut Brion,,,Red,紅酒,Chateau Mission Haut Brion,,"Pessac Leognan, Bordeaux",波爾多,France,法國,,1996,750ml,275.0,60,Clarence Dillon
11,11,CFW01808-1998-00750,Chateau Mission Haut Brion,,,Red,紅酒,Chateau Mission Haut Brion,,"Pessac Leognan, Bordeaux",波爾多,France,法國,,1998,750ml,340.0,60,Clarence Dillon
12,12,CFW01808-1999-00750,Chateau Mission Haut Brion,,,Red,紅酒,Chateau Mission Haut Brion,,"Pessac Leognan, Bordeaux",波爾多,France,法國,,1999,750ml,250.0,60,Clarence Dillon
13,13,CFW01808-2001-00750,Chateau Mission Haut Brion,,,Red,紅酒,Chateau Mission Haut Brion,,"Pessac Leognan, Bordeaux",波爾多,France,法國,,2001,750ml,253.0,60,Clarence Dillon
14,14,CFW01808-2002-00750,Chateau Mission Haut Brion,,,Red,紅酒,Chateau Mission Haut Brion,,"Pessac Leognan, Bordeaux",波爾多,France,法國,,2002,750ml,227.0,60,Clarence Dillon
15,15,CFW01808-2003-00750,Chateau Mission Haut Brion,,,Red,紅酒,Chateau Mission Haut Brion,,"Pessac Leognan, Bordeaux",波爾多,France,法國,,2003,750ml,232.0,60,Clarence Dillon
16,16,CFW01808-2004-00750,Chateau Mission Haut Brion,,,Red,紅酒,Chateau Mission Haut Brion,,"Pessac Leognan, Bordeaux",波爾多,France,法國,,2004,750ml,171.0,60,Clarence Dillon
17,17,CFW01808-2005-00750,Chateau Mission Haut Brion,,,Red,紅酒,Chateau Mission Haut Brion,,"Pessac Leognan, Bordeaux",波爾多,France,法國,,2005,750ml,750.0,60,Clarence Dillon
18,18,CFW01808-2006-00750,Chateau Mission Haut Brion,,,Red,紅酒,Chateau Mission Haut Brion,,"Pessac Leognan, Bordeaux",波爾多,France,法國,,2006,750ml,332.0,60,Clarence Dillon
19,19,CFW01808-2007-00750,Chateau Mission Haut Brion,,,Red,紅酒,Chateau Mission Haut Brion,,"Pessac Leognan, Bordeaux",波爾多,France,法國,,2007,750ml,212.0,60,Clarence Dillon
