,Wine,Vintage,Format,Cost,Qty,Negoce
0,Chateau Lascombes,1996,750ml,750.0,1,Cuvees
1,Chateau Montrose,2007,750ml,599.0,1,Cuvees
2,Ruinart Blanc De Blanc (Aromas Collection),NV,750ml,488.0,1,Cuvees
3,Sassicaia,2004,750ml,1830.0,1,Cuvees
4,Sassicaia,2007,750ml,1760.0,1,Cuvees
5,Solaia,2007,750ml,1585.0,1,Cuvees
6,Tua Rita Syrah,2008,750ml,780.0,1,Cuvees
7,Chateau Rauzan Segla,1995,750ml,790.5,1,Cuvees
8,Opus One,2008,1500ml,5220.0,2,Cuvees
9,Opus One,2009,1500ml,5400.0,2,Cuvees
10,Chateau Beychevelle,1995,750ml,990.0,2,Cuvees
11,Chateau Cantemerle,2008,750ml,229.0,2,Cuvees
12,Chateau Pichon Baron,2000,750ml,1782.0,2,Cuvees
13,Krug Rose,NV,750ml,1680.0,2,Cuvees
14,Opus One,2007,750ml,2250.0,2,Cuvees
15,Ruinart Dom Ruinart Blanc,NV,750ml,983.0,2,Cuvees
16,Ruinart Rose,NV,750ml,443.0,2,Cuvees
17,Opus One,2005,750ml,2500.0,2,Cuvees
18,Chateau Pavie,2006,750ml,1623.0,2,Cuvees
19,Chateau Clerc Milon,2008,750ml,560.0,3,Cuvees
20,Chateau Gazin,2001,750ml,755.0,3,Cuvees
21,Chateau Grand Puy Lacoste,2007,750ml,395.0,3,Cuvees
22,Chateau Palmer,2008,750ml,1525.0,3,Cuvees
23,Opus One,1997,750ml,2500.0,3,Cuvees
24,Pommery Cuvee Louise,1999,750ml,597.0,3,Cuvees
25,Moet & Chandon Brut Imperial,NV,750ml,290.0,3,Cuvees
26,Domaine La Roquete Chateauneauf-Du-Pape,2009,750ml,301.0,4,Cuvees
27,Chateau Talbot,2008,750ml,440.0,4,Cuvees
28,Chateau Lascombes Chevalier De Lascombes,2009,750ml,230.0,5,Cuvees
29,Chateau Grand Puy Lacoste,2012,750ml,395.0,5,Cuvees
30,Chateau Pontet Canet,2008,750ml,798.0,5,Cuvees
31,Dom Perignon Jeff Koons,2004,750ml,1125.0,5,Cuvees
32,Ruinart Blanc De Blanc,2008,750ml,443.0,5,Cuvees
33,Domaine Chidaine Clos Des Bouranais De F. Chidaine (Montlouis Les Choisilles),2009,750ml,229.0,5,Cuvees
34,Chateau Batailley,2007,750ml,330.0,5,Cuvees
35,Chateau Mouton Rothschild,1996,1500ml,8150.0,5,Cuvees
36,Ridge Monte Bello,1999,750ml,1165.0,6,Cuvees
37,Ridge Monte Bello,2001,750ml,1959.0,6,Cuvees
38,Scarecrow M. Etain Cabernet Sauvignon,2009,750ml,1100.0,6,Cuvees
39,Veuve Clicquot Ponsardin La Grande Dame,2004,750ml,790.0,6,Cuvees
40,Chateau Boyd Cantenac,2006,750ml,252.3,6,Cuvees
41,Chateau Talbot,2012,750ml,314.5,7,Cuvees
42,Chateau Haut Batailey,2008,750ml,320.0,8,Cuvees
43,Dom Perignon Silver,2002,750ml,1295.0,8,Cuvees
44,Chateau Dassault,2008,750ml,295.0,9,Cuvees
45,Chateau Fourcas Borie,2008,750ml,110.0,9,Cuvees
46,Chateau Rauzan Segla,2000,750ml,833.0,9,Cuvees
47,Calon Segur,2002,750ml,646.0,10,Cuvees
48,Chateau Palmer,1985,750ml,1572.5,10,Cuvees
49,Ridge Monte Bello,2012,750ml,1014.0,10,Cuvees
50,Chateau Beychevelle,2008,750ml,817.0,11,Cuvees
51,Chateau Grillet,2011,750ml,1720.0,11,Cuvees
52,Chateau Haut Bages Liberal,2008,750ml,320.0,11,Cuvees
53,Chateau Palmer,1998,750ml,1742.5,11,Cuvees
54,La Clarte de Haut Brion Blanc,2014,750ml,535.5,11,Cuvees
55,Chateau de Valandraud Blanc,2014,750ml,304.5,12,Cuvees
56,Chateau Palmer Alter Ego,2008,750ml,414.0,12,Cuvees
57,Aile d'Argent Blanc du Chateau Mouton Rothschild,2014,750ml,425.0,12,Cuvees
58,Chateau Ducru Beaucaillou,1997,750ml,833.0,12,Cuvees
59,Chateau Grillet,2012,750ml,1830.0,12,Cuvees
60,Chateau La Vieille Cure,2016,750ml,100.0,12,Cuvees
61,Chateau Musar,2004,750ml,196.0,12,Cuvees
62,Domaine Faury Cote Rotie Reviniscence,2010,750ml,342.0,12,Cuvees
63,Egon Muller Scharzhof Riesling,2013,750ml,315.0,12,Cuvees
64,Ridge Monte Bello,1996,750ml,2486.0,12,Cuvees
65,Ridge Monte Bello,2009,750ml,1560.0,12,Cuvees
66,Sassicaia,2013,750ml,1104.0,12,Cuvees
67,Solaia,2013,750ml,1105.0,12,Cuvees
68,Chateau Monbousquet,2011,1500ml,481.6,12,Cuvees
69,Chateau Giscours,2012,750ml,313.2,12,Cuvees
70,Chateau du Glana,2014,375ml,62.5,12,Cuvees
71,Moulin d'Issan,2012,375ml,32.6,12,Cuvees
72,Moulin d'Issan,2014,750ml,60.9,12,Cuvees
73,Chateau Trotanoy,2006,750ml,1087.5,12,Cuvees
74,Tenuta dell'Ornellaia Ornellaia,2013,750ml,949.0,12,Cuvees
75,Tenuta dell'Ornellaia Ornellaia,2014,750ml,917.0,12,Cuvees
76,Chateau Lascombes,2014,750ml,439.0,12,Cuvees
77,Chateau Malescot,2008,750ml,515.0,13,Cuvees
78,Tua Rita Lodano,2008,750ml,161.0,13,Cuvees
79,Chateau Marjosse Rouge,2012,750ml,52.2,15,Cuvees
80,Krug Grande Cuvee,NV,750ml,1074.0,16,Cuvees
81,Chateau Pape Clement Blanc,2008,750ml,1250.0,16,Cuvees
82,Chateau Pichon Lalande Comtesse De Lalande,2009,750ml,395.0,18,Cuvees
83,Chateau Leoville Las Cases Clos Du Marquis,1999,750ml,480.0,19,Cuvees
84,Chateau Rauzan Segla,2007,750ml,436.0,22,Cuvees
85,Chateau Figeac,2009,750ml,1622.0,23,Cuvees
86,Domaine Gilles Jayer Bourgogne Hautes Cotes De Nuit Blanc,2009,750ml,250.0,23,Cuvees
87,Ridge Monte Bello,2011,750ml,1014.0,23,Cuvees
88,Chateau Grand Puy Lacoste,2013,750ml,265.2,23,Cuvees
89,Chateau Potensac Rouge,2000,750ml,215.0,23,Cuvees
90,Blanc de Lynch Bages,2015,750ml,252.0,24,Cuvees
91,Chateau Dauzac,2009,750ml,297.5,24,Cuvees
92,Chateau Dauzac,2013,750ml,178.5,24,Cuvees
93,Sena,2014,750ml,620.5,24,Cuvees
94,Chateau Giscours Rouge,2011,750ml,301.0,24,Cuvees
95,Chateau d'Armailhac,2014,750ml,258.0,24,Cuvees
96,La Dame de Montrose,2011,750ml,196.1,24,Cuvees
97,Petit Lion du Marquis de Las Cases,2011,750ml,249.4,24,Cuvees
98,Chateau de Fieuzal Rouge,2014,750ml,180.6,24,Cuvees
99,Chateau Palmer,2001,750ml,1522.5,24,Cuvees
100,Tenuta dell'Ornellaia Le Serre Nuove,2014,750ml,251.0,24,Cuvees
101,Veuve Clicquot Ponsardin Brut,NV,750ml,315.0,25,Cuvees
102,Domaine Gauby Cotes Du Rouisslon Vieilles Vignes,2009,750ml,280.0,27,Cuvees
103,Dom Perignon,2004,750ml,932.0,28,Cuvees
104,Dominus,2009,750ml,1170.0,30,Cuvees
105,Chateau Leoville Las Cases,2006,750ml,1385.0,35,Cuvees
106,Ridge Monte Bello,2000,750ml,1170.0,35,Cuvees
107,Chateau Reynon Rouge,2011,750ml,83.0,35,Cuvees
108,Chateau de Fieuzal Rouge,2010,750ml,287.1,36,Cuvees
109,Chateau Potensac Rouge,2005,750ml,260.0,36,Cuvees
110,Chateau Lascombes,2011,750ml,445.0,44,Cuvees
111,Chateau Charmail,2011,750ml,100.0,48,Cuvees
112,Chateau Tour Saint Bonnet,2011,750ml,59.2,48,Cuvees
113,Clos Apalta,2012,750ml,426.4,56,Cuvees
114,Chateau Rauzan Segla,2000,375ml,487.2,58,Cuvees
115,Pol Roger Brut,NV,750ml,279.0,59,Cuvees
116,Sociando Mallet,2012,750ml,161.3,60,Cuvees
117,La Chapelle de La Mission Haut-Brion,2013,750ml,292.4,60,Cuvees
118,La Chapelle de La Mission Haut-Brion,2014,750ml,344.0,60,Cuvees
119,Chateau de Valandraud Rouge,2012,750ml,739.5,60,Cuvees
120,Tenuta dell'Ornellaia Le Volte,2015,750ml,91.0,60,Cuvees
121,Veuve Clicquot Ponsardin Brut Rose,NV,750ml,348.0,61,Cuvees
122,Chateau Villars,2010,750ml,109.0,85,Cuvees
123,Chateau Carbonnieux Blanc,2012,750ml,171.0,88,Cuvees
124,Chateau Monbousquet Rouge,2013,750ml,220.6,95,Cuvees
125,Chateau Marjosse Blanc,2012,750ml,71.0,108,Cuvees
126,Clos De L'Oratoire Clos De L'Oratoire,2013,750ml,205.0,114,Cuvees
127,Chevalier de Lascombes,2011,750ml,183.2,120,Cuvees
128,Chateau Talbot,2011,750ml,365.4,129,Cuvees
129,Chateau Lilian Ladouys,2014,750ml,122.4,132,Cuvees
130,Chateau Charmail,2007,750ml,174.0,136,Cuvees
131,Connetable du Chateau Talbot,2011,750ml,224.0,215,Cuvees
132,Chateau Reynon Clos De Reynon,2010,750ml,45.0,232,Cuvees
133,Denis Dubourdieu Drapeaux De Floridene,2012,750ml,86.0,601,Cuvees
134,Gaja Sperss,2010,750ml,1140.0,12,Cuvees
135,Gaja Sori San Lorenzo,2011,750ml,2117.0,14,Cuvees
136,Gaja Sori Tildin,2011,750ml,2114.0,14,Cuvees
137,Gaja Barbaresco,2013,750ml,1040.0,2,Cuvees
138,Gaja Barbaresco,2013,750ml,1040.0,2,Cuvees
