,Unnamed: 0,item id,wine,wine chinese,growth,type english,type chinese,vendor english,vendor chinese,region english,region chinese,country english,country chinese,rating,year,format,price,qty,negoce
0,0,CFW00032-1996-00750,Chateau Lascombes,力士金,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Lascombes,力士金酒莊,"Margaux, Bordeaux","瑪歌, 波爾多",France,法國,,1996,750ml,750.0,1,Cuvees
1,1,CFW00050-2007-00750,Chateau Montrose,,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Montrose,梦玫瑰,"St. Estephe, Bordeaux",波爾多,France,法國,,2007,750ml,599.0,1,Cuvees
2,2,CFW00658-2004-00750,Sassicaia,西施佳雅,,Red,紅酒,Tenuta San Guido,圣圭托酒庄,Tuscany,托斯卡納,Italy,意大利,,2004,750ml,1830.0,1,Cuvees
3,3,CFW00658-2007-00750,Sassicaia,西施佳雅,,Red,紅酒,Tenuta San Guido,圣圭托酒庄,Tuscany,托斯卡納,Italy,意大利,,2007,750ml,1760.0,1,Cuvees
4,4,CFW00648-2007-00750,Solaia,安东尼世家索拉雅干红,,Red,紅酒,Marchesi Antinori,安东尼世家酒庄,Tuscany,托斯卡納,Italy,意大利,,2007,750ml,1585.0,1,Cuvees
5,5,CFW01960-2008-00750,Tua Rita Syrah,,,Red,紅酒,Tua Rita,,Tuscany,托斯卡納,Italy,意大利,,2008,750ml,780.0,1,Cuvees
6,6,CFW00017-1995-00750,Chateau Rauzan Segla,魯臣世家庄园正牌,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Rauzan Segla,魯臣世家庄园,"Margaux, Bordeaux",波爾多,France,法國,,1995,750ml,790.5,1,Cuvees
7,7,CFW00708-2008-01500,Opus One,作品一号干红,,Red,紅酒,Opus One,作品一号酒庄,Napa,納帕,USA,美國,,2008,1500ml,5220.0,2,Cuvees
8,8,CFW00708-2009-01500,Opus One,作品一号干红,,Red,紅酒,Opus One,作品一号酒庄,Napa,納帕,USA,美國,,2009,1500ml,5400.0,2,Cuvees
9,9,CFW00114-1995-00750,Chateau Beychevelle,龍船,Bordeaux Grand Cru Classe 4th Growths,Red,紅酒,Chateau Beychevelle,龍船酒莊,"St. Julien, Bordeaux",波爾多,France,法國,,1995,750ml,990.0,2,Cuvees
10,10,CFW00162-2008-00750,Chateau Cantemerle,,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Chateau Cantemerle,,"Haut Medoc, Bordeaux",波爾多,France,法國,,2008,750ml,229.0,2,Cuvees
11,11,CFW00708-2007-00750,Opus One,作品一号干红,,Red,紅酒,Opus One,作品一号酒庄,Napa,納帕,USA,美國,,2007,750ml,2250.0,2,Cuvees
12,12,CFW00708-2005-00750,Opus One,作品一号干红,,Red,紅酒,Opus One,作品一号酒庄,Napa,納帕,USA,美國,,2005,750ml,2500.0,2,Cuvees
13,13,CFW00220-2006-00750,Chateau Pavie,帕菲正牌,St. Emilion Premier Grand Cru Classe A,Red,紅酒,Chateau Pavie,帕菲,"St. Emilion, Bordeaux",波爾多,France,法國,,2006,750ml,1623.0,2,Cuvees
14,14,CFW00159-2008-00750,Chateau Clerc Milon,,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Baron Philippe de Rothschild,,"Pauillac, Bordeaux",波爾多,France,法國,,2008,750ml,560.0,3,Cuvees
15,15,CFW00309-2001-00750,Chateau Gazin,,,Red,紅酒,Chateau Gazin,,"Pomerol, Bordeaux","波默罗, 波爾多",France,法國,,2001,750ml,755.0,3,Cuvees
16,16,CFW00130-2007-00750,Chateau Grand Puy Lacoste,,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Chateau Grand Puy Lacoste,拉高斯/拉古斯城堡庄园,"Pauillac, Bordeaux",波爾多,France,法國,,2007,750ml,395.0,3,Cuvees
17,17,CFW00078-2008-00750,Chateau Palmer,宝马正牌,Bordeaux Grand Cru Classe 3rd Growths,Red,紅酒,Chateau Palmer,宝马,"Margaux, Bordeaux",波爾多,France,法國,,2008,750ml,1525.0,3,Cuvees
18,18,CFW00708-1997-00750,Opus One,作品一号干红,,Red,紅酒,Opus One,作品一号酒庄,Napa,納帕,USA,美國,,1997,750ml,2500.0,3,Cuvees
19,19,CFW01496-1999-00750,Pommery Cuvee Louise,,,Champagne,香槟,Pommery,,Champagne,香槟,France,法國,,1999,750ml,597.0,3,Cuvees
20,20,CFW00098-2008-00750,Chateau Talbot,大宝正牌,Bordeaux Grand Cru Classe 4th Growths,Red,紅酒,Chateau Talbot,大宝,"St. Julien, Bordeaux",波爾多,France,法國,,2008,750ml,440.0,4,Cuvees
21,21,CFW00130-2012-00750,Chateau Grand Puy Lacoste,,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Chateau Grand Puy Lacoste,拉高斯/拉古斯城堡庄园,"Pauillac, Bordeaux",波爾多,France,法國,,2012,750ml,395.0,5,Cuvees
22,22,CFW00126-2008-00750,Chateau Pontet Canet,,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Chateau Pontet Canet,旁堤卡内酒庄,"Pauillac, Bordeaux",波爾多,France,法國,,2008,750ml,798.0,5,Cuvees
23,23,CFW01482-2004-00750,Dom Perignon Jeff Koons,,,Champagne,香槟,Dom Perignon,,Champagne,香槟,France,法國,,2004,750ml,1125.0,5,Cuvees
