,Wine,Vintage,Format,Cost,Qty,Negoce
0,Alter Ego de Palmer,2012,750ml,51,18,La Bergere
1,Chateau Angelus,2009,750ml,325,12,La Bergere
2,Chateau Armailhac,2012,750ml,35,12,La Bergere
3,Chateau Brane-Cantenac,2010,750ml,66,6,La Bergere
4,Chateau Carbonnieux Blanc,2010,750ml,22,216,La Bergere
5,Carruades de lafite,2013,750ml,200,8,La Bergere
6,Chapelle de la Mission Haut Brion,2008,750ml,52,12,La Bergere
7,Cheval-Blanc,2012,750ml,330,24,La Bergere
8,Cheval-Blanc,2007,750ml,345,12,La Bergere
9,Cheval-Blanc,1993,750ml,315,6,La Bergere
10,Chateau Ducru-Beaucaillou,2010,750ml,180,18,La Bergere
11,Chateau Duhart-Milon,2005,750ml,75,12,La Bergere
12,Chateau Figeac,1997,750ml,75,12,La Bergere
13,Chateau Filhot,2001,750ml,29,12,La Bergere
14,Chateau Giscours,2013,750ml,34,24,La Bergere
15,Chateau Giscours,2007,750ml,41,12,La Bergere
16,Chateau Grand Corbin-Despagne,2014,750ml,17,84,La Bergere
17,Chateau Haut-Brion,2009,750ml,625,6,La Bergere
18,Chateau Haut-Brion,2002,750ml,320,18,La Bergere
19,Chateau Kirwan,2005,750ml,45,6,La Bergere
20,Chateau Lafite-Rothschild,2007,750ml,620,6,La Bergere
21,Chateau Latour,2007,750ml,375,18,La Bergere
22,Chateau Latour,2005,750ml,690,24,La Bergere
23,Chateau Latour,1993,750ml,390,12,La Bergere
24,Chateau Latour,1991,750ml,400,12,La Bergere
25,Latour à Pomerol,2002,750ml,52,84,La Bergere
26,Chateau Leoville-Barton,2013,750ml,43,30,La Bergere
27,Chateau Leoville-Barton,2012,750ml,48,36,La Bergere
28,Chateau Leoville-las-Cases,2000,750ml,245,12,La Bergere
29,Chateau Louviere,2014,750ml,15,174,La Bergere
30,Chateau Lynch Bages,2008,750ml,100,6,La Bergere
31,Chateau Lynch Bages,1992,750ml,90,12,La Bergere
32,Chateau Lynch Bages,1991,750ml,93,12,La Bergere
33,Chateau Margaux,1992,750ml,370,12,La Bergere
34,Chateau Margaux,1991,750ml,390,12,La Bergere
35,Chateau Mondotte,2014,750ml,120,6,La Bergere
36,Chateau Mondotte,2012,750ml,100,6,La Bergere
37,Chateau Mouton Rothschild,2004,750ml,395,6,La Bergere
38,Chateau Mouton Rothschild,1999,750ml,400,6,La Bergere
39,Chateau Mouton Rothschild,1998,750ml,425,6,La Bergere
40,Chateau Mouton Rothschild,1988,750ml,400,12,La Bergere
41,Chateau Mouton Rothschild,1982,750ml,1250,12,La Bergere
42,Chateau Pape Clement,2014,750ml,54,12,La Bergere
43, Pavillon Rouge du Chateau Margaux,2014,750ml,135,6,La Bergere
44, Pavillon Rouge du Chateau Margaux,2004,750ml,145,12,La Bergere
45,Chateau Petit Mouton,2014,750ml,180,66,La Bergere
46,Chateau Petit Mouton,2009,750ml,190,6,La Bergere
47,Chateau Pichon Longueville Comtesse de Lalande,2014,750ml,85,6,La Bergere
48,Chateau Pichon Longueville Comtesse de Lalande,1989,750ml,140,6,La Bergere
49,Chateau Pontet-Canet,2014,750ml,70,18,La Bergere
50,Chateau Rieussec,2014,750ml,44,6,La Bergere
51,Chateau Sociando-Mallet,2011,750ml,19,12,La Bergere
52,Chateau Talbot,2010,750ml,55,18,La Bergere
53,Chateau Talbot,2009,750ml,59,11,La Bergere
54,Chateau Trotanoy,2012,750ml,160,36,La Bergere
55,Chateau Trotanoy,1994,750ml,95,24,La Bergere
