,Unnamed: 0,item id,wine,wine chinese,growth,type english,type chinese,vendor english,vendor chinese,region english,region chinese,country english,country chinese,rating,year,format,price,qty,negoce
0,0,CFW00217-2009-00750,Chateau Angelus,金鐘,St. Emilion Premier Grand Cru Classe A,Red,紅酒,Chateau Angelus,金鐘酒莊,"St. Emilion, Bordeaux",波爾多,France,法國,,2009,750ml,325,12,La Bergere
1,1,CFW00142-2012-00750,Chateau d’Armailhac,,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Baron Philippe de Rothschild,,"Pauillac, Bordeaux",波爾多,France,法國,,2012,750ml,35,12,La Bergere
2,2,CFW00035-2010-00750,Chateau Brane Cantenac,,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Brane Cantenac,布朗康田酒庄,"Margaux, Bordeaux","瑪歌, 波爾多",France,法國,,2010,750ml,66,6,La Bergere
3,3,CFW00174-2010-00750,Chateau Carbonnieux Blanc,,Graves,White,白酒,Chateau Carbonnieux,,"Pessac Leognan, Bordeaux",波爾多,France,法國,,2010,750ml,22,216,La Bergere
4,4,CFW00002-2013-00750,Carruades de Lafite,小拉菲／拉菲副牌,Bordeaux Grand Cru Classe 1st Growths,Red,紅酒,Domaines Barons de Rothschild,拉菲酒莊－ 罗斯柴尔德男爵集團,"Pauillac, Bordeaux",波爾多,France,法國,,2013,750ml,200,8,La Bergere
5,5,CFW00205-2008-00750,La Chapelle de La Mission Haut Brion,,Graves,Red,紅酒,Domaine Clarence Dillon,,"Graves, Bordeaux",波爾多,France,法國,,2008,750ml,52,12,La Bergere
6,6,CFW00219-2012-00750,Chateau Cheval Blanc,白马正牌,St. Emilion Premier Grand Cru Classe A,Red,紅酒,Chateau Cheval Blanc,白马,"St. Emilion, Bordeaux",波爾多,France,法國,,2012,750ml,330,24,La Bergere
7,7,CFW00219-2007-00750,Chateau Cheval Blanc,白马正牌,St. Emilion Premier Grand Cru Classe A,Red,紅酒,Chateau Cheval Blanc,白马,"St. Emilion, Bordeaux",波爾多,France,法國,,2007,750ml,345,12,La Bergere
8,8,CFW00219-1993-00750,Chateau Cheval Blanc,白马正牌,St. Emilion Premier Grand Cru Classe A,Red,紅酒,Chateau Cheval Blanc,白马,"St. Emilion, Bordeaux",波爾多,France,法國,,1993,750ml,315,6,La Bergere
9,9,CFW00043-2010-00750,Chateau Ducru Beaucaillou,,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Ducru Beaucaillou,宝嘉龙酒庄,"St. Julien, Bordeaux",波爾多,France,法國,,2010,750ml,180,18,La Bergere
10,10,CFW00102-2005-00750,Chateau Duhart Milon,都夏美隆,Bordeaux Grand Cru Classe 4th Growths,Red,紅酒,Domaines Barons de Rothschild,,"Pauillac, Bordeaux",波爾多,France,法國,,2005,750ml,75,12,La Bergere
11,11,CFW00226-1997-00750,Chateau Figeac, 飞卓,St. Emilion Premier Grand Cru Classe B,Red,紅酒,Chateau Figeac, 飞卓,"St. Emilion, Bordeaux",波爾多,France,法國,,1997,750ml,75,12,La Bergere
12,12,CFW00349-2001-00750,Chateau Filhot,,Sauternes Deuxiemes Crus,Sweet,甜酒,Chateau Filhot,,"Sauternes, Bordeaux",波爾多,France,法國,,2001,750ml,29,12,La Bergere
