,Wine,Vintage,Format,Cost,Qty,Negoce
0,TOUR CARNET (LA),2015,375ml,12.0,480,RCA
1,LASCOMBES,2015,375ml,30.0,240,RCA
2,MARGAUX ,2010,375ml,398.0,36,RCA
3,MARGAUX ,2009,375ml,398.0,60,RCA
4,MARGAUX ,2005,375ml,398.0,120,RCA
5,MARGAUX ,2003,375ml,313.0,120,RCA
6,MARGAUX ,2000,375ml,455.0,60,RCA
7,MARGAUX / PAVILLON ROUGE,2012,375ml,83.0,48,RCA
8,MARGAUX / PAVILLON ROUGE,2009,375ml,95.0,96,RCA
9,LATOUR,2005,375ml,400.0,12,RCA
10,LYNCH BAGES,2000,375ml,108.0,120,RCA
11,MOUTON ROTHSCHILD,2012,375ml,190.0,24,RCA
12,MOUTON ROTHSCHILD,2011,375ml,205.0,60,RCA
13,LARRIVET HAUT BRION Blanc,2014,375ml,15.5,60,RCA
14,LARRIVET HAUT BRION Blanc,2013,375ml,16.0,500,RCA
15,AUSONE / FONBEL,2013,375ml,6.0,105,RCA
16,AUSONE / FONBEL,2012,375ml,7.2,312,RCA
17,AUSONE / FONBEL,2011,375ml,7.2,319,RCA
18,AUSONE / SIMARD,2011,375ml,6.3,2051,RCA
19,AUSONE / SIMARD,2010,375ml,7.2,5074,RCA
20,AUSONE / SIMARD,2000,375ml,6.6,442,RCA
21,CHEVAL BLANC,2014,375ml,205.0,36,RCA
22,CHEVAL BLANC,2012,375ml,195.0,36,RCA
23,CHEVAL BLANC,2010,375ml,445.0,36,RCA
24,CHEVAL BLANC,2009,375ml,385.0,36,RCA
25,YON FIGEAC,2004,375ml,9.0,1170,RCA
26,MEYNEY,1999,375ml,12.5,168,RCA
27,BEYCHEVELLE,2010,375ml,47.0,240,RCA
28,GRUAUD LAROSE,2000,375ml,77.0,480,RCA
29,GRUAUD LAROSE,1996,375ml,51.0,600,RCA
30,LEOVILLE LAS CASES,2008,375ml,69.0,240,RCA
31,LEOVILLE LAS CASES,2006,375ml,80.0,240,RCA
32,DOISY DAËNE L'EXTRAVAGANT - price/375ml,2016,375ml,138.0,60,RCA
33,GRAVAS BLANC,2013,375ml,6.1,60,RCA
34,RIEUSSEC (Domaine Lafite),2013,375ml,27.5,240,RCA
35,RIEUSSEC (Domaine Lafite),2011,375ml,24.0,240,RCA
36,SIGALAS RABAUD,2007,375ml,15.0,2400,RCA
37,SUDUIRAUT,2011,375ml,23.0,600,RCA
38,SUDUIRAUT,2009,375ml,26.5,600,RCA
39,SUDUIRAUT,2005,375ml,19.0,600,RCA
40,SUDUIRAUT,2004,375ml,17.0,600,RCA
41,SUDUIRAUT / LION DE SUDUIRAUT,2013,375ml,6.55,1200,RCA
42,YQUEM (D'),2010,375ml,145.0,240,RCA
43,YQUEM (D'),2007,375ml,228.0,274,RCA
44,LAUBADE,1965,500ml,135.0,120,RCA
45,Domaine de Chev./Clair de Lune,2015,500ml,7.8,240,RCA
46,Domaine de Chev./Clair de Lune,2014,500ml,8.0,240,RCA
47,Domaine de Chev./Clair de Lune,2013,500ml,9.0,240,RCA
48,Domaine de Chev./Clos des Lunes (Sauternes),2011,500ml,15.5,60,RCA
49,LAUBADE,1967,700ml,142.0,120,RCA
50,LAUBADE,1966,700ml,149.0,120,RCA
51,LAFITE / COGNAC TRES VIEILLE RESERVE,NV,700ml,410.0,60,RCA
52,XO Remi Martin ,NV,700ml,180.0,60,RCA
53,COUTET,2016,750ml,26.4,120,RCA
54,COUTET,2011,750ml,42.5,240,RCA
55,COUTET,2007,750ml,35.0,108,RCA
56,COUTET,2004,750ml,30.0,48,RCA
57,PAVIE / L'ESPRIT DE PAVIE,2012,750ml,14.0,1800,RCA
58,PAVIE / L'ESPRIT DE PAVIE,2011,750ml,14.0,1800,RCA
59,CHASSE SPLEEN BLANC,2011,750ml,14.0,60,RCA
60,COS D'ESTOURNEL BLANC,2016,750ml,84.0,42,RCA
61,DOISY DAËNE - (Bordeaux Blanc) ,2016,750ml,12.0,300,RCA
62,"Domaine de Chev./Clos des Lunes ""Argent""",2015,750ml,8.35,6000,RCA
63,"Domaine de Chev./Clos des Lunes ""Argent""",2014,750ml,8.3,996,RCA
64,"Domaine de Chev./Clos des Lunes ""Argent""",2013,750ml,8.1,270,RCA
65,Domaine de Chev./Clos des Lunes d'Or,2016,750ml,30.0,300,RCA
66,Domaine de Chev./Clos des Lunes d'Or,2015,750ml,28.5,2400,RCA
67,GUIRAUD / G de GUIRAUD,2016,750ml,7.6,600,RCA
68,LAGRANGE / LES ARUMS DE LAGRANGE,2016,750ml,15.6,180,RCA
69,LAGRANGE / LES ARUMS DE LAGRANGE,2015,750ml,14.4,144,RCA
70,LYNCH BAGES / BLANC (DE),2016,750ml,45.0,12,RCA
71,MARGAUX / PAVILLON BLANC,2015,750ml,180.0,24,RCA
72,MARGAUX / PAVILLON BLANC,2014,750ml,194.0,24,RCA
73,MARGAUX / PAVILLON BLANC,2013,750ml,194.0,24,RCA
74,MARGAUX / PAVILLON BLANC,2012,750ml,185.0,60,RCA
75,MARGAUX / PAVILLON BLANC,2011,750ml,194.0,48,RCA
76,MARGAUX / PAVILLON BLANC,2010,750ml,195.0,12,RCA
77,MARGAUX / PAVILLON BLANC,2009,750ml,195.0,36,RCA
78,MARGAUX / PAVILLON BLANC,2008,750ml,185.0,6,RCA
79,MARGAUX / PAVILLON BLANC,2006,750ml,194.0,12,RCA
80,MARGAUX / PAVILLON BLANC,2004,750ml,190.0,12,RCA
81,MARGAUX / PAVILLON BLANC,1998,750ml,175.0,12,RCA
82,MARGAUX / PAVILLON BLANC,1995,750ml,205.0,12,RCA
83,MARGAUX / PAVILLON BLANC,1990,750ml,180.0,10,RCA
84,MARGAUX / PAVILLON BLANC,1986,750ml,205.0,6,RCA
85,MONBOUSQUET Blanc,2016,750ml,38.4,96,RCA
86,MOUTON ROTHSCHILD / AILE D'ARGENT,2016,750ml,51.6,60,RCA
87,MOUTON ROTHSCHILD / AILE D'ARGENT,2014,750ml,49.0,180,RCA
88,RIEUSSEC / R DE RIEUSSEC (Dry white W.),2014,750ml,11.5,150,RCA
89,RIEUSSEC / R DE RIEUSSEC (Dry white W.),2012,750ml,11.5,162,RCA
90,SUDUIRAUT / LE BLANC DE SUDUIRAUT,2016,750ml,8.35,600,RCA
91,TALBOT / CAILLOU BLANC,2016,750ml,20.4,204,RCA
92,TOUR CARNET (LA) Blanc,2014,750ml,17.2,240,RCA
93,TOUR CARNET (LA) Blanc,2013,750ml,18.2,240,RCA
94,YQUEM (D') / Y DE YQUEM,2015,750ml,102.0,120,RCA
95,YQUEM (D') / Y DE YQUEM,2014,750ml,96.0,300,RCA
96,YQUEM (D') / Y DE YQUEM,2013,750ml,108.0,24,RCA
97,SUDUIRAUT / S de SUDUIRAUT,2014,750ml,19.0,120,RCA
98,BOLAIRE,2016,750ml,6.45,480,RCA
99,BOLAIRE,2015,750ml,6.35,324,RCA
100,CROIX MOUTON (J.P. JANOUEIX),2016,750ml,6.85,2400,RCA
