,Unnamed: 0,item id,wine,wine chinese,growth,type english,type chinese,vendor english,vendor chinese,region english,region chinese,country english,country chinese,rating,year,format,price,qty,negoce
0,0,CFW00108-2015-00375,Chateau La Tour Carnet,,Bordeaux Grand Cru Classe 4th Growths,Red,紅酒,Bernard Magrez,,"Haut Medoc, Bordeaux",波爾多,France,法國,,2015,375ml,12.0,480,RCA
1,1,CFW00032-2015-00375,Chateau Lascombes,力士金,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Lascombes,力士金酒莊,"Margaux, Bordeaux","瑪歌, 波爾多",France,法國,,2015,375ml,30.0,240,RCA
2,2,CFW00006-2010-00375,Chateau Margaux,瑪歌正牌,Bordeaux Grand Cru Classe 1st Growths,Red,紅酒,Chateau Margaux,瑪歌酒莊,"Margaux, Bordeaux","瑪歌, 波爾多",France,法國,,2010,375ml,398.0,36,RCA
3,3,CFW00006-2009-00375,Chateau Margaux,瑪歌正牌,Bordeaux Grand Cru Classe 1st Growths,Red,紅酒,Chateau Margaux,瑪歌酒莊,"Margaux, Bordeaux","瑪歌, 波爾多",France,法國,,2009,375ml,398.0,60,RCA
4,4,CFW00006-2005-00375,Chateau Margaux,瑪歌正牌,Bordeaux Grand Cru Classe 1st Growths,Red,紅酒,Chateau Margaux,瑪歌酒莊,"Margaux, Bordeaux","瑪歌, 波爾多",France,法國,,2005,375ml,398.0,120,RCA
5,5,CFW00006-2003-00375,Chateau Margaux,瑪歌正牌,Bordeaux Grand Cru Classe 1st Growths,Red,紅酒,Chateau Margaux,瑪歌酒莊,"Margaux, Bordeaux","瑪歌, 波爾多",France,法國,,2003,375ml,313.0,120,RCA
6,6,CFW00006-2000-00375,Chateau Margaux,瑪歌正牌,Bordeaux Grand Cru Classe 1st Growths,Red,紅酒,Chateau Margaux,瑪歌酒莊,"Margaux, Bordeaux","瑪歌, 波爾多",France,法國,,2000,375ml,455.0,60,RCA
7,7,CFW00003-2005-00375,Chateau Latour,拉圖正牌,Bordeaux Grand Cru Classe 1st Growths,Red,紅酒,Chateau Latour,拉图酒莊,"Pauillac, Bordeaux",波爾多,France,法國,,2005,375ml,400.0,12,RCA
8,8,CFW00134-2000-00375,Chateau Lynch Bages,靚茨伯,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Chateau Lynch Bages,都卡斯庄园,"Pauillac, Bordeaux",波爾多,France,法國,,2000,375ml,108.0,120,RCA
9,9,CFW00014-2012-00375,Chateau Mouton Rothschild,武當正牌,Bordeaux Grand Cru Classe 1st Growths,Red,紅酒,Baron Philippe de Rothschild,武當酒莊 －罗斯柴尔德男爵集團,"Pauillac, Bordeaux",波爾多,France,法國,,2012,375ml,190.0,24,RCA
10,10,CFW00014-2011-00375,Chateau Mouton Rothschild,武當正牌,Bordeaux Grand Cru Classe 1st Growths,Red,紅酒,Baron Philippe de Rothschild,武當酒莊 －罗斯柴尔德男爵集團,"Pauillac, Bordeaux",波爾多,France,法國,,2011,375ml,205.0,60,RCA
11,11,CFW02078-2014-00375,Chateau Larrivet Haut Brion Blanc,,,White,白酒,Chateau Larrivet Haut Brion,,Bordeaux,波爾多,France,法國,,2014,375ml,15.5,60,RCA
12,12,CFW02078-2013-00375,Chateau Larrivet Haut Brion Blanc,,,White,白酒,Chateau Larrivet Haut Brion,,Bordeaux,波爾多,France,法國,,2013,375ml,16.0,500,RCA
13,13,CFW00219-2014-00375,Chateau Cheval Blanc,白马正牌,St. Emilion Premier Grand Cru Classe A,Red,紅酒,Chateau Cheval Blanc,白马,"St. Emilion, Bordeaux",波爾多,France,法國,,2014,375ml,205.0,36,RCA
14,14,CFW00219-2012-00375,Chateau Cheval Blanc,白马正牌,St. Emilion Premier Grand Cru Classe A,Red,紅酒,Chateau Cheval Blanc,白马,"St. Emilion, Bordeaux",波爾多,France,法國,,2012,375ml,195.0,36,RCA
15,15,CFW00219-2010-00375,Chateau Cheval Blanc,白马正牌,St. Emilion Premier Grand Cru Classe A,Red,紅酒,Chateau Cheval Blanc,白马,"St. Emilion, Bordeaux",波爾多,France,法國,,2010,375ml,445.0,36,RCA
16,16,CFW00219-2009-00375,Chateau Cheval Blanc,白马正牌,St. Emilion Premier Grand Cru Classe A,Red,紅酒,Chateau Cheval Blanc,白马,"St. Emilion, Bordeaux",波爾多,France,法國,,2009,375ml,385.0,36,RCA
17,17,CFW00300-2004-00375,Chateau Yon Figeac,,St. Emilion Grand Cru Classe,Red,紅酒,Chateau Yon Figeac,,"St. Emilion, Bordeaux",波爾多,France,法國,,2004,375ml,9.0,1170,RCA
18,18,CFW00424-1999-00375,Chateau Meyney,,Cru Bourgeois Superieur,Red,紅酒,Chateau Meyney,,"St. Estephe, Bordeaux",波爾多,France,法國,,1999,375ml,12.5,168,RCA
19,19,CFW00114-2010-00375,Chateau Beychevelle,龍船,Bordeaux Grand Cru Classe 4th Growths,Red,紅酒,Chateau Beychevelle,龍船酒莊,"St. Julien, Bordeaux",波爾多,France,法國,,2010,375ml,47.0,240,RCA
20,20,CFW00030-2000-00375,Chateau Gruaud Larose,,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Gruaud Larose,金玫瑰城堡,"St. Julien, Bordeaux",波爾多,France,法國,,2000,375ml,77.0,480,RCA
21,21,CFW00030-1996-00375,Chateau Gruaud Larose,,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Gruaud Larose,金玫瑰城堡,"St. Julien, Bordeaux",波爾多,France,法國,,1996,375ml,51.0,600,RCA
22,22,CFW00020-2008-00375,Chateau Leoville Las Cases,雄狮正牌,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Leoville Las Cases,雄狮酒莊,"St. Julien, Bordeaux",波爾多,France,法國,,2008,375ml,69.0,240,RCA
23,23,CFW00020-2006-00375,Chateau Leoville Las Cases,雄狮正牌,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Leoville Las Cases,雄狮酒莊,"St. Julien, Bordeaux",波爾多,France,法國,,2006,375ml,80.0,240,RCA
24,24,CFW00343-2007-00375,Chateau Sigalas Rabaud,,Sauternes Premiers Crus,Sweet,甜酒,Chateau Sigalas Rabaud,,"Sauternes, Bordeaux",波爾多,France,法國,,2007,375ml,15.0,2400,RCA
25,25,CFW00337-2011-00375,Chateau Suduiraut,,Sauternes Premiers Crus,Sweet,甜酒,Chateau Suduiraut,,"Sauternes, Bordeaux",波爾多,France,法國,,2011,375ml,23.0,600,RCA
26,26,CFW00337-2009-00375,Chateau Suduiraut,,Sauternes Premiers Crus,Sweet,甜酒,Chateau Suduiraut,,"Sauternes, Bordeaux",波爾多,France,法國,,2009,375ml,26.5,600,RCA
27,27,CFW00337-2005-00375,Chateau Suduiraut,,Sauternes Premiers Crus,Sweet,甜酒,Chateau Suduiraut,,"Sauternes, Bordeaux",波爾多,France,法國,,2005,375ml,19.0,600,RCA
28,28,CFW00337-2004-00375,Chateau Suduiraut,,Sauternes Premiers Crus,Sweet,甜酒,Chateau Suduiraut,,"Sauternes, Bordeaux",波爾多,France,法國,,2004,375ml,17.0,600,RCA
29,29,CFW00330-2010-00375,Chateau d'Yquem,,Sauternes Premier Cru Superieur,Sweet,甜酒,Chateau d'Yquem,,"Sauternes, Bordeaux",波爾多,France,法國,,2010,375ml,145.0,240,RCA
30,30,CFW00330-2007-00375,Chateau d'Yquem,,Sauternes Premier Cru Superieur,Sweet,甜酒,Chateau d'Yquem,,"Sauternes, Bordeaux",波爾多,France,法國,,2007,375ml,228.0,274,RCA
31,31,CFW00338-2016-00750,Chateau Coutet,,Sauternes Premiers Crus,Sweet,甜酒,Chateau Coutet,,"Sauternes, Bordeaux",波爾多,France,法國,,2016,750ml,26.4,120,RCA
32,32,CFW00338-2011-00750,Chateau Coutet,,Sauternes Premiers Crus,Sweet,甜酒,Chateau Coutet,,"Sauternes, Bordeaux",波爾多,France,法國,,2011,750ml,42.5,240,RCA
33,33,CFW00338-2007-00750,Chateau Coutet,,Sauternes Premiers Crus,Sweet,甜酒,Chateau Coutet,,"Sauternes, Bordeaux",波爾多,France,法國,,2007,750ml,35.0,108,RCA
34,34,CFW00338-2004-00750,Chateau Coutet,,Sauternes Premiers Crus,Sweet,甜酒,Chateau Coutet,,"Sauternes, Bordeaux",波爾多,France,法國,,2004,750ml,30.0,48,RCA
35,35,CFW00048-2016-00750,Chateau Cos d'Estournel Blanc,,Bordeaux Grand Cru Classe 2nd Growths,White,白酒,Chateau Cos d’Estournel,愛士图,"St. Estephe, Bordeaux",波爾多,France,法國,,2016,750ml,84.0,42,RCA
36,36,CFW00135-2016-00750,Chateau Lynch Bages Blanc,靚茨伯,Bordeaux Grand Cru Classe 5th Growths,White,白酒,Chateau Lynch Bages,靚茨伯酒莊,"Pauillac, Bordeaux",波爾多,France,法國,,2016,750ml,45.0,12,RCA
37,37,CFW01886-2016-00750,Chateau Monbousquet Blanc,,,White,白酒,Chateau Monbousquet,,"St. Emilion, Bordeaux",波爾多,France,法國,,2016,750ml,38.4,96,RCA
38,38,CFW00110-2014-00750,Chateau La Tour Carnet Blanc,,Bordeaux Grand Cru Classe 4th Growths,White,白酒,Bernard Magrez,,"Haut Medoc, Bordeaux",波爾多,France,法國,,2014,750ml,17.2,240,RCA
39,39,CFW00110-2013-00750,Chateau La Tour Carnet Blanc,,Bordeaux Grand Cru Classe 4th Growths,White,白酒,Bernard Magrez,,"Haut Medoc, Bordeaux",波爾多,France,法國,,2013,750ml,18.2,240,RCA
40,40,CFW01016-2016-00750,Chateau Bolaire,,,Red,紅酒,Vincent Mulliez,,Bordeaux,波爾多,France,法國,,2016,750ml,6.45,480,RCA
41,41,CFW01016-2015-00750,Chateau Bolaire,,,Red,紅酒,Vincent Mulliez,,Bordeaux,波爾多,France,法國,,2015,750ml,6.35,324,RCA
42,42,CFW01008-2016-00750,Domaine du Bouscat Caduce,,,Red,紅酒,Domaine du Bouscat,,Bordeaux,波爾多,France,法國,,2016,750ml,4.3,1200,RCA
43,43,CFW01008-2015-00750,Domaine du Bouscat Caduce,,,Red,紅酒,Domaine du Bouscat,,Bordeaux,波爾多,France,法國,,2015,750ml,4.25,1188,RCA
44,44,CFW01008-2008-00750,Domaine du Bouscat Caduce,,,Red,紅酒,Domaine du Bouscat,,Bordeaux,波爾多,France,法國,,2008,750ml,5.0,6,RCA
45,45,CFW01011-2016-00750,Domaine du Bouscat Les Portes de L'Am,,,Red,紅酒,Domaine du Bouscat,,Bordeaux,波爾多,France,法國,,2016,750ml,23.5,60,RCA
46,46,CFW00733-2014-00750,DRC Corton,罗曼尼康帝 高登特级园干红,,Red,紅酒,Domaine de la Romanee Conti,罗曼尼康帝,"Vosne-Romanee, Burgundy",勃艮第,France,法國,,2014,750ml,1395.0,1,RCA
47,47,CFW00733-2011-00750,DRC Corton,罗曼尼康帝 高登特级园干红,,Red,紅酒,Domaine de la Romanee Conti,罗曼尼康帝,"Vosne-Romanee, Burgundy",勃艮第,France,法國,,2011,750ml,995.0,2,RCA
48,48,CFW00731-2014-00750,DRC Echezeaux,罗曼尼康帝 依瑟索特级园干红,,Red,紅酒,Domaine de la Romanee Conti,罗曼尼康帝,"Vosne-Romanee, Burgundy",勃艮第,France,法國,,2014,750ml,1395.0,6,RCA
49,49,CFW00731-2013-00750,DRC Echezeaux,罗曼尼康帝 依瑟索特级园干红,,Red,紅酒,Domaine de la Romanee Conti,罗曼尼康帝,"Vosne-Romanee, Burgundy",勃艮第,France,法國,,2013,750ml,1250.0,10,RCA
50,50,CFW00731-2012-00750,DRC Echezeaux,罗曼尼康帝 依瑟索特级园干红,,Red,紅酒,Domaine de la Romanee Conti,罗曼尼康帝,"Vosne-Romanee, Burgundy",勃艮第,France,法國,,2012,750ml,1150.0,7,RCA
51,51,CFW00731-2011-00750,DRC Echezeaux,罗曼尼康帝 依瑟索特级园干红,,Red,紅酒,Domaine de la Romanee Conti,罗曼尼康帝,"Vosne-Romanee, Burgundy",勃艮第,France,法國,,2011,750ml,1200.0,5,RCA
52,52,CFW00731-2010-00750,DRC Echezeaux,罗曼尼康帝 依瑟索特级园干红,,Red,紅酒,Domaine de la Romanee Conti,罗曼尼康帝,"Vosne-Romanee, Burgundy",勃艮第,France,法國,,2010,750ml,1300.0,1,RCA
53,53,CFW00731-2009-00750,DRC Echezeaux,罗曼尼康帝 依瑟索特级园干红,,Red,紅酒,Domaine de la Romanee Conti,罗曼尼康帝,"Vosne-Romanee, Burgundy",勃艮第,France,法國,,2009,750ml,1300.0,1,RCA
54,54,CFW00731-2007-00750,DRC Echezeaux,罗曼尼康帝 依瑟索特级园干红,,Red,紅酒,Domaine de la Romanee Conti,罗曼尼康帝,"Vosne-Romanee, Burgundy",勃艮第,France,法國,,2007,750ml,1250.0,1,RCA
55,55,CFW00731-2006-00750,DRC Echezeaux,罗曼尼康帝 依瑟索特级园干红,,Red,紅酒,Domaine de la Romanee Conti,罗曼尼康帝,"Vosne-Romanee, Burgundy",勃艮第,France,法國,,2006,750ml,1372.0,1,RCA
56,56,CFW00731-2004-00750,DRC Echezeaux,罗曼尼康帝 依瑟索特级园干红,,Red,紅酒,Domaine de la Romanee Conti,罗曼尼康帝,"Vosne-Romanee, Burgundy",勃艮第,France,法國,,2004,750ml,1395.0,3,RCA
57,57,CFW00731-2002-00750,DRC Echezeaux,罗曼尼康帝 依瑟索特级园干红,,Red,紅酒,Domaine de la Romanee Conti,罗曼尼康帝,"Vosne-Romanee, Burgundy",勃艮第,France,法國,,2002,750ml,1595.0,6,RCA
58,58,CFW00731-2000-00750,DRC Echezeaux,罗曼尼康帝 依瑟索特级园干红,,Red,紅酒,Domaine de la Romanee Conti,罗曼尼康帝,"Vosne-Romanee, Burgundy",勃艮第,France,法國,,2000,750ml,1480.0,2,RCA
59,59,CFW00731-1998-00750,DRC Echezeaux,罗曼尼康帝 依瑟索特级园干红,,Red,紅酒,Domaine de la Romanee Conti,罗曼尼康帝,"Vosne-Romanee, Burgundy",勃艮第,France,法國,,1998,750ml,1395.0,1,RCA
