,Wine,Vintage,Format,Cost,Qty,Negoce
0,Beau Rivage ,2000,750ml,2.0,6,RCA
1,Caroline,2011,750ml,7.9,6,RCA
2,Annereaux (des),2009,1500ml,20.0,6,RCA
3,Donissan,2000,750ml,7.0,12,RCA
4,Maucaillou / Le Bordeaux de Maucaillou,2013,750ml,4.7,24,RCA
5,Bel-Air (Roland Coiffe) - Cuvée Classical,2012,1500ml,50.0,27,RCA
6,Moulin de la Roque,2008,750ml,6.5,36,RCA
7,Pontey,2007,750ml,4.9,36,RCA
8,Retout (du),2012,750ml,7.2,36,RCA
9,Rose Pauillac (La),2008,750ml,14.0,36,RCA
10,Tourelles (Des),2005,750ml,7.5,36,RCA
11,Bel Orme Tronquoy de Lalande,2012,1500ml,19.1,48,RCA
12,Bel Orme Tronquoy de Lalande,2009,750ml,11.6,60,RCA
13,Maison Neuve (de),2013,1500ml,13.8,60,RCA
14,Bellegrave,2011,750ml,5.2,78,RCA
15,Larrivaux,2013,1500ml,18.5,80,RCA
16,Bouscat (Domaine du)/ Portes de l'Am…,2012,750ml,27.8,96,RCA
17,Tour Saint Bonnet,2011,750ml,6.8,108,RCA
18,Fonplégade,2012,375ml,15.0,120,RCA
19,Maison Neuve (de),2013,375ml,3.7,120,RCA
20,Tour de Pez,2012,375ml,7.95,120,RCA
21,Fombrauge,2011,750ml,17.5,120,RCA
22,Larteau,2010,750ml,7.2,120,RCA
23,Peyre Lebade,2009,750ml,14.0,120,RCA
24,Tauzinat l'Hermitage,2002,750ml,10.5,120,RCA
25,Annereaux (des),2010,1500ml,22.5,120,RCA
26,Annereaux (des),2005,1500ml,22.5,120,RCA
27,Larrivaux,2011,1500ml,21.0,120,RCA
28,Larrivaux,2008,1500ml,21.7,120,RCA
29,Moulin des Graves,2012,1500ml,7.8,120,RCA
30,Moulin du Cadet,2013,750ml,14.05,150,RCA
31,Larrivaux,2014,1500ml,21.0,150,RCA
32,Fourcas Dupré,2014,750ml,11.8,168,RCA
33,Cambon La Pelouse,2007,750ml,8.8,192,RCA
34,Tauzinat l'Hermitage,2007,750ml,10.5,216,RCA
35,Larrivaux,2010,1500ml,32.2,220,RCA
36,Tour de Pez,2014,1500ml,28.8,220,RCA
37,Tour de Pez,2013,1500ml,27.3,220,RCA
38,Fonbel,2014,750ml,11.0,238,RCA
39,Guiraud/ Petit Guiraud,2013,375ml,7.2,240,RCA
40,Clos de la Dame Verte,2015,1500ml,17.0,240,RCA
41,Tour de Pez,2011,1500ml,31.5,240,RCA
42,Guiraud / Petit Guiraud,2013,375ml,7.2,240,RCA
43,Larrivaux,2012,1500ml,21.0,250,RCA
44,Larrivaux,2007,1500ml,21.0,250,RCA
45,Larrivaux,2006,1500ml,23.5,250,RCA
46,Clauzet,2013,1500ml,30.3,260,RCA
47,Larteau,2008,750ml,3.9,282,RCA
48,Pavillon Beauregard,2014,750ml,11.55,300,RCA
49,Pontoise Cabarrus,2004,750ml,10.5,300,RCA
50,Pontoise Cabarrus,2000,750ml,12.6,300,RCA
51,"R de Rieussec (Rieussec, Lafite)",2015,750ml,12.5,300,RCA
52,"R de Rieussec (Rieussec, Lafite)",2014,750ml,12.5,300,RCA
53,"R de Rieussec (Rieussec, Lafite)",2012,750ml,12.5,300,RCA
54,Thienpont/ La Prade ,2010,750ml,12.2,300,RCA
55,Agape,2015,1500ml,10.3,300,RCA
56,Clauzet,2011,1500ml,29.05,300,RCA
57,Maison Neuve (de),2014,1500ml,14.3,300,RCA
58,"""R"" de Rieussec (Blanc)",2012,750ml,12.5,300,RCA
59,Devise d'Ardilley,2012,375ml,6.05,400,RCA
60,Landion,2002,750ml,9.2,400,RCA
61,Clauzet,2012,1500ml,30.3,410,RCA
62,Tauzinat l'Hermitage,2001,750ml,11.0,432,RCA
63,Devise d'Ardilley,2014,375ml,6.05,450,RCA
64,Dudon/Acanthe de Dudon,2011,750ml,7.2,470,RCA
65,Vari,2011,375ml,3.9,480,RCA
66,Puy Arnaud Cuvée Pervenche,2011,750ml,8.75,480,RCA
67,Thienpont/ Les Charmes Godard,2010,750ml,5.5,492,RCA
68,Malagar (Rosé),2015,750ml,4.3,496,RCA
69,Aney,2012,375ml,4.75,500,RCA
70,Bel Orme Tronquoy de Lalande,2011,1500ml,19.1,500,RCA
71,Pouyanne,2012,1500ml,8.8,500,RCA
72,Dudon/Acanthe de Dudon,2003,750ml,9.3,510,RCA
73,Bernadotte,2011,750ml,10.7,516,RCA
74,"Belle-Vue, Haut-Médoc",2011,750ml,14.05,552,RCA
75,Garon La Tuiliere Cuvée Réserve,2010,750ml,3.55,570,RCA
76,Terrasses de Bouey (Les),2015,375ml,1.6,600,RCA
77,Bel Orme Tronquoy de Lalande,2008,750ml,8.8,600,RCA
78,Bel-Air (Roland Coiffe) - Dry,2016,750ml,6.0,600,RCA
79,Bel-Air (Roland Coiffe) - Sweet,2015,750ml,6.0,600,RCA
80,Bouscat (Domaine du)/ Cuvée Gargone,2006,750ml,10.95,600,RCA
81,Bouscat (Domaine du)/ Portes de l'Am…,2014,750ml,26.55,600,RCA
82,Cantenac Brown / Brio,2014,750ml,15.6,600,RCA
83,Cap Saint George,2015,750ml,12.9,600,RCA
