,Unnamed: 0,item id,wine,wine chinese,growth,type english,type chinese,vendor english,vendor chinese,region english,region chinese,country english,country chinese,rating,year,format,price,qty,negoce
0,0,CFW01775-2011-00750,Chateau Caroline,,,Red,紅酒,Chateau Caroline,,"Moulis, Bordeaux",波爾多,France,法國,,2011,750ml,7.9,6,RCA
1,1,CFW00494-2000-00750,Chateau Donissan,,Crus Bourgeois,Red,紅酒,Chateau Donissan,,"Listrac, Bordeaux",波爾多,France,法國,,2000,750ml,7.0,12,RCA
2,2,CFW01602-2008-00750,Chateau Moulin de la Roque,,,Red,紅酒,Chateau Moulin de la Roque,,"Fronsac, Bordeaux",波爾多,France,法國,,2008,750ml,6.5,36,RCA
3,3,CFW00566-2007-00750,Chateau Pontey,,Crus Bourgeois,Red,紅酒,Chateau Pontey,,"Medoc, Bordeaux",波爾多,France,法國,,2007,750ml,4.9,36,RCA
4,4,CFW01656-2012-00750,Chateau de Retout,,,Red,紅酒,Chateau de Retout,,"Haut Medoc, Bordeaux",波爾多,France,法國,,2012,750ml,7.2,36,RCA
5,5,CFW01789-2008-00750,La Rose Pauillac,,,Red,紅酒,La Rose Pauillac,,"Pauillac, Bordeaux",波爾多,France,法國,,2008,750ml,14.0,36,RCA
6,6,CFW00466-2012-01500,Chateau Bel Orme Tronquoy de Lalande,,Crus Bourgeois,Red,紅酒,Chateau Bel Orme Tronquoy de Lalande,,"Haut Medoc, Bordeaux",波爾多,France,法國,,2012,1500ml,19.1,48,RCA
7,7,CFW00466-2009-00750,Chateau Bel Orme Tronquoy de Lalande,,Crus Bourgeois,Red,紅酒,Chateau Bel Orme Tronquoy de Lalande,,"Haut Medoc, Bordeaux",波爾多,France,法國,,2009,750ml,11.6,60,RCA
8,8,CFW01762-2013-01500,Chateau de Maison Neuve,,,Red,紅酒,Chateau de Maison Neuve,,"Montagne Saint Emilion, Bordeaux",波爾多,France,法國,,2013,1500ml,13.8,60,RCA
9,9,CFW00302-2011-00750,Chateau Bellegrave,,,Red,紅酒,Chateau Bellegrave,,"Pomerol, Bordeaux","波默罗, 波爾多",France,法國,,2011,750ml,5.2,78,RCA
10,10,CFW00532-2013-01500,Chateau Larrivaux,,Crus Bourgeois,Red,紅酒,Chateau Larrivaux,,"Haut Medoc, Bordeaux",波爾多,France,法國,,2013,1500ml,18.5,80,RCA
11,11,CFW00595-2011-00750,Chateau Tour Saint Bonnet,,Crus Bourgeois,Red,紅酒,Chateau Tour Saint Bonnet,,"Medoc, Bordeaux",波爾多,France,法國,,2011,750ml,6.8,108,RCA
12,12,CFW00263-2012-00375,Chateau Fonplegade,,St. Emilion Grand Cru Classe,Red,紅酒,Chateau Fonplegade,,"St. Emilion, Bordeaux",波爾多,France,法國,,2012,375ml,15.0,120,RCA
13,13,CFW01762-2013-00375,Chateau de Maison Neuve,,,Red,紅酒,Chateau de Maison Neuve,,"Montagne Saint Emilion, Bordeaux",波爾多,France,法國,,2013,375ml,3.7,120,RCA
