,Wine,Vintage,Format,Cost,Qty,Negoce
0,ALMAVIVA ,2013,1500ml,155.0,12,Twins
1,ALMAVIVA ,2014,1500ml,150.0,12,Twins
2,ALTER EGO DE PALMER,2006,1500ml,110.0,12,Twins
3,BON PASTEUR,2006,1500ml,85.0,12,Twins
4,BRANAIRE DUCRU,1999,1500ml,105.0,12,Twins
5,BRANE CANTENAC,1988,1500ml,150.0,12,Twins
6,BRANE CANTENAC,2004,1500ml,119.0,12,Twins
7,BRANE CANTENAC,2009,1500ml,140.0,12,Twins
8,CALON SEGUR  ,2009,1500ml,184.0,12,Twins
9,CALON SEGUR  ,2010,1500ml,184.0,12,Twins
10,CAMENSAC,1995,1500ml,44.0,12,Twins
11,CANON LA GAFFELIERE,1994,1500ml,120.0,12,Twins
12,CANTEMERLE,1996,1500ml,79.95,12,Twins
13,CANTEMERLE,2013,1500ml,35.0,12,Twins
14,CAP DE FAUGERES,2010,1500ml,25.0,12,Twins
15,CHAPELLE D'AUSONE,2011,1500ml,199.0,12,Twins
16,CHÂTEAU DE BEAUCASTEL,2013,1500ml,76.0,12,Twins
17,CHEVAL BLANC,2004,1500ml,755.0,12,Twins
18,CHEVAL BLANC,2006,1500ml,790.0,12,Twins
19,CHEVAL BLANC,2007,1500ml,720.0,12,Twins
20,CHEVAL BLANC,2009,1500ml,1450.0,12,Twins
21,CHEVAL BLANC,2010,1500ml,1725.0,12,Twins
22,CHEVAL BLANC,2012,1500ml,720.0,12,Twins
23,CLIMENS,2007,1500ml,199.0,12,Twins
24,COS D'ESTOURNEL ,2013,1500ml,160.0,12,Twins
25,DAME DE MONTROSE ,2004,1500ml,72.0,12,Twins
26,DAME DE MONTROSE ,2006,1500ml,72.0,12,Twins
27,DAME DE MONTROSE ,2007,1500ml,59.95,12,Twins
28,DAUZAC,1982,1500ml,130.0,12,Twins
29,DAUZAC,1983,1500ml,110.0,12,Twins
30,DAUZAC,1989,1500ml,115.0,12,Twins
31,DAUZAC,1990,1500ml,120.0,12,Twins
32,DEMOISELLE DE SOCIANDO,2013,1500ml,19.95,12,Twins
33,DOMAINE DE CHEVALIER,2009,1500ml,130.0,12,Twins
34,DOMAINE DE CHEVALIER,2013,1500ml,62.0,12,Twins
35,DOMINUS ,2000,1500ml,200.0,12,Twins
36,DUCRU BEAUCAILLOU ex-château,1982,1500ml,1000.0,12,Twins
37,DURFORT VIVENS,2010,1500ml,79.0,12,Twins
38,EVANGILE,1998,1500ml,399.0,12,Twins
39,EVANGILE,2008,1500ml,230.0,12,Twins
40,FIEFS DE LAGRANGE,1985,1500ml,70.0,12,Twins
41,FIEFS DE LAGRANGE,2013,1500ml,28.0,12,Twins
42,FIGEAC,2014,1500ml,170.0,12,Twins
43,FORTS DE LATOUR,2011,1500ml,310.0,12,Twins
44,GAJA CONTESIA,2005,1500ml,260.0,12,Twins
45,GRAND PUY LACOSTE,2005,1500ml,230.0,12,Twins
46,GRAND PUY LACOSTE,2013,1500ml,62.4,12,Twins
47,GRIFFONS DE PICHON BARON,2014,1500ml,50.0,12,Twins
48,GRUAUD LAROSE,1998,1500ml,130.0,12,Twins
49,GRUAUD LAROSE,1999,1500ml,130.0,12,Twins
50,GRUAUD LAROSE,2004,1500ml,120.0,12,Twins
51,HAUT BRION,1998,1500ml,825.0,12,Twins
52,HOMMAGE A JACQUES PERRIN,2011,1500ml,460.0,12,Twins
53,ISSAN,1981,1500ml,113.0,12,Twins
54,ISSAN,1988,1500ml,117.0,12,Twins
55,ISSAN,1993,1500ml,76.0,12,Twins
56,JABOULET-HERMITAGE LA CHAPELLE,2007,1500ml,215.0,12,Twins
57,JABOULET-HERMITAGE LA CHAPELLE,2012,1500ml,198.0,12,Twins
58,KIRWAN,1998,1500ml,119.95,12,Twins
59,KIRWAN,2000,1500ml,136.0,12,Twins
60,LA CONSEILLANTE,2006,1500ml,204.0,12,Twins
61,LA CROIX DE GAY,1988,1500ml,90.0,12,Twins
62,LA CROIX DE GAY,1998,1500ml,70.0,12,Twins
63,LA FLEUR DE GAY,1994,1500ml,110.0,12,Twins
64,LA FLEUR PETRUS,2011,1500ml,270.0,12,Twins
65,LA LAGUNE ,2010,1500ml,110.0,12,Twins
66,LA MISSION HAUT BRION BLANC,2014,1500ml,1000.0,12,Twins
67,LA VIOLETTE,2006,1500ml,300.0,12,Twins
68,LA VIOLETTE,2007,1500ml,270.0,12,Twins
69,LABEGORCE  ,2004,1500ml,39.95,12,Twins
70,LAFON ROCHET,1975,1500ml,110.0,12,Twins
71,LAGRANGE,2005,1500ml,116.0,12,Twins
