,Unnamed: 0,item id,wine,wine chinese,growth,type english,type chinese,vendor english,vendor chinese,region english,region chinese,country english,country chinese,rating,year,format,price,qty,negoce
0,0,CFW00641-2013-01500,Almaviva,,,Red,紅酒,Almaviva,,Puente Alto,上普恩特,Chile,智利,,2013,1500ml,155.0,12,Twins
1,1,CFW00641-2014-01500,Almaviva,,,Red,紅酒,Almaviva,,Puente Alto,上普恩特,Chile,智利,,2014,1500ml,150.0,12,Twins
2,2,CFW00303-2006-01500,Chateau Le Bon Pasteur,,,Red,紅酒,Chateau Le Bon Pasteur,,"Pomerol, Bordeaux","波默罗, 波爾多",France,法國,,2006,1500ml,85.0,12,Twins
3,3,CFW00104-1999-01500,Chateau Branaire Ducru,,Bordeaux Grand Cru Classe 4th Growths,Red,紅酒,Chateau Branaire Ducru,,"St. Julien, Bordeaux",波爾多,France,法國,,1999,1500ml,105.0,12,Twins
4,4,CFW00035-1988-01500,Chateau Brane Cantenac,,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Brane Cantenac,布朗康田酒庄,"Margaux, Bordeaux","瑪歌, 波爾多",France,法國,,1988,1500ml,150.0,12,Twins
5,5,CFW00035-2004-01500,Chateau Brane Cantenac,,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Brane Cantenac,布朗康田酒庄,"Margaux, Bordeaux","瑪歌, 波爾多",France,法國,,2004,1500ml,119.0,12,Twins
6,6,CFW00035-2009-01500,Chateau Brane Cantenac,,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Brane Cantenac,布朗康田酒庄,"Margaux, Bordeaux","瑪歌, 波爾多",France,法國,,2009,1500ml,140.0,12,Twins
7,7,CFW00087-2009-01500,Chateau Calon Segur,,Bordeaux Grand Cru Classe 3rd Growths,Red,紅酒,Chateau Calon Segur, 卡龙世家,"St. Estephe, Bordeaux",波爾多,France,法國,,2009,1500ml,184.0,12,Twins
8,8,CFW00087-2010-01500,Chateau Calon Segur,,Bordeaux Grand Cru Classe 3rd Growths,Red,紅酒,Chateau Calon Segur, 卡龙世家,"St. Estephe, Bordeaux",波爾多,France,法國,,2010,1500ml,184.0,12,Twins
9,9,CFW00153-1995-01500,Chateau Camensac,,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Chateau Camensac,,"Haut Medoc, Bordeaux",波爾多,France,法國,,1995,1500ml,44.0,12,Twins
10,10,CFW00225-1994-01500,Chateau Canon La Gaffeliere,,St. Emilion Premier Grand Cru Classe B,Red,紅酒,Chateau Canon La Gaffeliere, 嘉芙丽庄园,"St. Emilion, Bordeaux",波爾多,France,法國,,1994,1500ml,120.0,12,Twins
11,11,CFW00162-1996-01500,Chateau Cantemerle,,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Chateau Cantemerle,,"Haut Medoc, Bordeaux",波爾多,France,法國,,1996,1500ml,79.95,12,Twins
12,12,CFW00162-2013-01500,Chateau Cantemerle,,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Chateau Cantemerle,,"Haut Medoc, Bordeaux",波爾多,France,法國,,2013,1500ml,35.0,12,Twins
13,13,CFW01460-2010-01500,Chateau Cap de Faugeres,,,Red,紅酒,Chateau Cap de Faugeres,,"Castillon Cotes de Bordeaux, Bordeaux",波爾多,France,法國,,2010,1500ml,25.0,12,Twins
14,14,CFW00219-2004-01500,Chateau Cheval Blanc,白马正牌,St. Emilion Premier Grand Cru Classe A,Red,紅酒,Chateau Cheval Blanc,白马,"St. Emilion, Bordeaux",波爾多,France,法國,,2004,1500ml,755.0,12,Twins
15,15,CFW00219-2006-01500,Chateau Cheval Blanc,白马正牌,St. Emilion Premier Grand Cru Classe A,Red,紅酒,Chateau Cheval Blanc,白马,"St. Emilion, Bordeaux",波爾多,France,法國,,2006,1500ml,790.0,12,Twins
16,16,CFW00219-2007-01500,Chateau Cheval Blanc,白马正牌,St. Emilion Premier Grand Cru Classe A,Red,紅酒,Chateau Cheval Blanc,白马,"St. Emilion, Bordeaux",波爾多,France,法國,,2007,1500ml,720.0,12,Twins
17,17,CFW00219-2009-01500,Chateau Cheval Blanc,白马正牌,St. Emilion Premier Grand Cru Classe A,Red,紅酒,Chateau Cheval Blanc,白马,"St. Emilion, Bordeaux",波爾多,France,法國,,2009,1500ml,1450.0,12,Twins
18,18,CFW00219-2010-01500,Chateau Cheval Blanc,白马正牌,St. Emilion Premier Grand Cru Classe A,Red,紅酒,Chateau Cheval Blanc,白马,"St. Emilion, Bordeaux",波爾多,France,法國,,2010,1500ml,1725.0,12,Twins
19,19,CFW00219-2012-01500,Chateau Cheval Blanc,白马正牌,St. Emilion Premier Grand Cru Classe A,Red,紅酒,Chateau Cheval Blanc,白马,"St. Emilion, Bordeaux",波爾多,France,法國,,2012,1500ml,720.0,12,Twins
20,20,CFW00339-2007-01500,Chateau Climens,,Sauternes Premiers Crus,Sweet,甜酒,Chateau Climens,,"Sauternes, Bordeaux",波爾多,France,法國,,2007,1500ml,199.0,12,Twins
21,21,CFW00051-2004-01500,La Dame de Montrose,,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Montrose,梦玫瑰,"St. Estephe, Bordeaux",波爾多,France,法國,,2004,1500ml,72.0,12,Twins
22,22,CFW00051-2006-01500,La Dame de Montrose,,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Montrose,梦玫瑰,"St. Estephe, Bordeaux",波爾多,France,法國,,2006,1500ml,72.0,12,Twins
23,23,CFW00051-2007-01500,La Dame de Montrose,,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Montrose,梦玫瑰,"St. Estephe, Bordeaux",波爾多,France,法國,,2007,1500ml,59.95,12,Twins
24,24,CFW00138-1982-01500,Chateau Dauzac,,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Chateau Dauzac,,"Margaux, Bordeaux",波爾多,France,法國,,1982,1500ml,130.0,12,Twins
25,25,CFW00138-1983-01500,Chateau Dauzac,,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Chateau Dauzac,,"Margaux, Bordeaux",波爾多,France,法國,,1983,1500ml,110.0,12,Twins
26,26,CFW00138-1989-01500,Chateau Dauzac,,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Chateau Dauzac,,"Margaux, Bordeaux",波爾多,France,法國,,1989,1500ml,115.0,12,Twins
27,27,CFW00138-1990-01500,Chateau Dauzac,,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Chateau Dauzac,,"Margaux, Bordeaux",波爾多,France,法國,,1990,1500ml,120.0,12,Twins
28,28,CFW00711-2000-01500,Dominus,多米纳斯,,Red,紅酒,Dominus,多米纳斯酒庄,Napa,納帕,USA,美國,,2000,1500ml,200.0,12,Twins
29,29,CFW00027-2010-01500,Chateau Durfort Vivens,,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Durfort Vivens,杜霍酒庄,"Margaux, Bordeaux","瑪歌, 波爾多",France,法國,,2010,1500ml,79.0,12,Twins
30,30,CFW00308-1998-01500,Chateau L'Evangile,,,Red,紅酒,Domaines Barons de Rothschild,,"Pomerol, Bordeaux","波默罗, 波爾多",France,法國,,1998,1500ml,399.0,12,Twins
31,31,CFW00308-2008-01500,Chateau L'Evangile,,,Red,紅酒,Domaines Barons de Rothschild,,"Pomerol, Bordeaux","波默罗, 波爾多",France,法國,,2008,1500ml,230.0,12,Twins
32,32,CFW00060-1985-01500,Les Fiefs de Lagrange,,Bordeaux Grand Cru Classe 3rd Growths,Red,紅酒,Chateau Lagrange,,"St. Julien, Bordeaux",波爾多,France,法國,,1985,1500ml,70.0,12,Twins
33,33,CFW00060-2013-01500,Les Fiefs de Lagrange,,Bordeaux Grand Cru Classe 3rd Growths,Red,紅酒,Chateau Lagrange,,"St. Julien, Bordeaux",波爾多,France,法國,,2013,1500ml,28.0,12,Twins
34,34,CFW00226-2014-01500,Chateau Figeac, 飞卓,St. Emilion Premier Grand Cru Classe B,Red,紅酒,Chateau Figeac, 飞卓,"St. Emilion, Bordeaux",波爾多,France,法國,,2014,1500ml,170.0,12,Twins
35,35,CFW00004-2011-01500,Les Forts de Latour,拉图副牌,Bordeaux Grand Cru Classe 1st Growths,Red,紅酒,Chateau Latour,拉图酒莊,"Pauillac, Bordeaux",波爾多,France,法國,,2011,1500ml,310.0,12,Twins
36,36,CFW01818-2005-01500,Gaja Conteisa,,,Red,紅酒,Gaja,,Piedmont,,Italy,意大利,,2005,1500ml,260.0,12,Twins
37,37,CFW00130-2005-01500,Chateau Grand Puy Lacoste,,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Chateau Grand Puy Lacoste,拉高斯/拉古斯城堡庄园,"Pauillac, Bordeaux",波爾多,France,法國,,2005,1500ml,230.0,12,Twins
38,38,CFW00130-2013-01500,Chateau Grand Puy Lacoste,,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Chateau Grand Puy Lacoste,拉高斯/拉古斯城堡庄园,"Pauillac, Bordeaux",波爾多,France,法國,,2013,1500ml,62.4,12,Twins
39,39,CFW00039-2014-01500,Les Griffons de Pichon Baron,,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Pichon Longueville Baron,男爵,"Pauillac, Bordeaux",波爾多,France,法國,,2014,1500ml,50.0,12,Twins
40,40,CFW00030-1998-01500,Chateau Gruaud Larose,,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Gruaud Larose,金玫瑰城堡,"St. Julien, Bordeaux",波爾多,France,法國,,1998,1500ml,130.0,12,Twins
41,41,CFW00030-1999-01500,Chateau Gruaud Larose,,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Gruaud Larose,金玫瑰城堡,"St. Julien, Bordeaux",波爾多,France,法國,,1999,1500ml,130.0,12,Twins
42,42,CFW00030-2004-01500,Chateau Gruaud Larose,,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Gruaud Larose,金玫瑰城堡,"St. Julien, Bordeaux",波爾多,France,法國,,2004,1500ml,120.0,12,Twins
43,43,CFW00055-1981-01500,Chateau d’Issan,,Bordeaux Grand Cru Classe 3rd Growths,Red,紅酒,Chateau d’Issan,,"Margaux, Bordeaux",波爾多,France,法國,,1981,1500ml,113.0,12,Twins
44,44,CFW00055-1988-01500,Chateau d’Issan,,Bordeaux Grand Cru Classe 3rd Growths,Red,紅酒,Chateau d’Issan,,"Margaux, Bordeaux",波爾多,France,法國,,1988,1500ml,117.0,12,Twins
45,45,CFW00055-1993-01500,Chateau d’Issan,,Bordeaux Grand Cru Classe 3rd Growths,Red,紅酒,Chateau d’Issan,,"Margaux, Bordeaux",波爾多,France,法國,,1993,1500ml,76.0,12,Twins
46,46,CFW00053-1998-01500,Chateau Kirwan,,Bordeaux Grand Cru Classe 3rd Growths,Red,紅酒,Chateau Kirwan,麒麟酒庄,"Margaux, Bordeaux",波爾多,France,法國,,1998,1500ml,119.95,12,Twins
