,Item ID,Growth,Type (English),Type (Chinese),Vendor (English),Vendor (Chinese),Wine (English),Wine (Chinese),Region (English),Region (Chinese),Country (English),Country (Chinese),Vintage,Ratings
0,CFW00001-2005-00750,Bordeaux Grand Cru Classe 1st Growths,Red,紅酒,Domaines Barons de Rothschild,拉菲酒莊－ 罗斯柴尔德男爵集團,Chateau Lafite Rothschild,拉菲正牌,"Pauillac, Bordeaux",波爾多,France,法國,2005.0,
1,CFW00002-2005-00750,Bordeaux Grand Cru Classe 1st Growths,Red,紅酒,Domaines Barons de Rothschild,拉菲酒莊－ 罗斯柴尔德男爵集團,Carruades de Lafite,小拉菲／拉菲副牌,"Pauillac, Bordeaux",波爾多,France,法國,2005.0,
2,CFW00003-2005-00750,Bordeaux Grand Cru Classe 1st Growths,Red,紅酒,Chateau Latour,拉图酒莊,Chateau Latour,拉圖正牌,"Pauillac, Bordeaux",波爾多,France,法國,2005.0,
3,CFW00004-2005-00750,Bordeaux Grand Cru Classe 1st Growths,Red,紅酒,Chateau Latour,拉图酒莊,Les Forts de Latour,拉图副牌,"Pauillac, Bordeaux",波爾多,France,法國,2005.0,
4,CFW00005-2005-00750,Bordeaux Grand Cru Classe 1st Growths,Red,紅酒,Chateau Latour,拉图酒莊,Pauillac de Latour,拉图副牌,"Pauillac, Bordeaux",波爾多,France,法國,2005.0,
5,CFW00006-2005-00750,Bordeaux Grand Cru Classe 1st Growths,Red,紅酒,Chateau Margaux,瑪歌酒莊,Chateau Margaux,瑪歌正牌,"Margaux, Bordeaux","瑪歌, 波爾多",France,法國,2005.0,
6,CFW00007-2005-00750,Bordeaux Grand Cru Classe 1st Growths,Red,紅酒,Chateau Margaux,瑪歌酒莊,Pavillon Rouge du Chateau Margaux,瑪歌副牌紅,"Margaux, Bordeaux","瑪歌, 波爾多",France,法國,2005.0,
7,CFW00008-2005-00750,Bordeaux Grand Cru Classe 1st Growths,White,白酒,Chateau Margaux,瑪歌酒莊,Pavillon Blanc du Chateau Margaux,瑪歌副牌白,"Margaux, Bordeaux","瑪歌, 波爾多",France,法國,2005.0,
8,CFW00009-2005-00750,Bordeaux Grand Cru Classe 1st Growths,Red,紅酒,Chateau Margaux,瑪歌酒莊,Margaux du Chateau Margaux,瑪歌副牌,"Margaux, Bordeaux","瑪歌, 波爾多",France,法國,2005.0,
9,CFW00010-2005-00750,Bordeaux Grand Cru Classe 1st Growths,Red,紅酒,Chateau Haut Brion,侯伯王酒莊,Chateau Haut Brion Rouge,侯伯王正牌,"Graves, Bordeaux",波爾多,France,法國,2005.0,
