,ID,Wine,Year,Region English,Region Chinese,Formats,Negoces,Price,Markup Percentile,Markup Price,WS Merchants,WS Prices,Recommended Prices,Margin,Sell,Date,Qty,English Type,Chinese Type,English Vendor,Chinese Vendor,Rating
0,CFW00065-2013-00750,Le Sirene de Giscours,2013,"Margaux, Bordeaux",波爾多,750ml,BM,146.60,5%,242.60,N/A,N/A,240,96,N/A,2017-08-01 08:05,3,Red,紅酒,Chateau Giscours,吉斯库尔,N/A
1,CFW00087-2009-00750,Chateau Calon Segur,2009,"St. Estephe, Bordeaux",波爾多,750ml,CVBG,797.14,5%,980.25,N/A,N/A,980,183,N/A,2017-08-01 08:05,300,Red,紅酒,Chateau Calon Segur, 卡龙世家,N/A
2,CFW02097-2015-00750,Chateau Lespault Martillac Rouge,2015,Bordeaux,波爾多,750ml,CVBG,146.60,5%,242.60,N/A,N/A,240,96,N/A,2017-08-01 08:05,84,Red,紅酒,Chateau Lespault Martillac,N/A,N/A
3,CFW00218-2000-00750,Chateau Ausone,2000,"St. Emilion, Bordeaux",波爾多,750ml,RCA,9620.62,5%,10985.28,N/A,N/A,10985,1365,N/A,2017-08-01 08:05,6,Red,紅酒,Chateau Ausone,欧颂,N/A
4,CFW00218-2010-00750,Chateau Ausone,2010,"St. Emilion, Bordeaux",波爾多,750ml,RCA,11865.44,5%,13530.70,N/A,N/A,13530,1665,N/A,2017-08-01 08:05,12,Red,紅酒,Chateau Ausone,欧颂,N/A
5,CFW00251-2013-00750,Chateau Dassault,2013,"St. Emilion, Bordeaux",波爾多,750ml,BM,164.92,5%,263.37,N/A,N/A,260,98,N/A,2017-08-01 08:05,12,Red,紅酒,Chateau Dassault,N/A,N/A
6,CFW01762-2013-00375,Chateau de Maison Neuve,2013,"Montagne Saint Emilion, Bordeaux",波爾多,375ml,RCA,33.90,5%,114.81,N/A,N/A,114.81,81,N/A,2017-08-01 08:05,120,Red,紅酒,Chateau de Maison Neuve,N/A,N/A
7,CFW01808-1998-00750,Chateau Mission Haut Brion,1998,"Pessac Leognan, Bordeaux",波爾多,750ml,RCA,3023.62,5%,3504.88,N/A,N/A,3500,481,N/A,2017-08-01 08:05,12,Red,紅酒,Chateau Mission Haut Brion,N/A,N/A
8,CFW01994-2011-00750,Chateau d'Aiguilhe,2011,Bordeaux,波爾多,750ml,RCA,146.60,5%,242.60,N/A,N/A,240,96,N/A,2017-08-01 08:05,48,Red,紅酒,Chateau d'Aiguilhe,N/A,N/A
9,CFW00389-2007-00750,Chateau Clauzet,2007,"St. Estephe, Bordeaux",波爾多,750ml,RCA,111.78,5%,203.12,N/A,N/A,200,91,N/A,2017-08-01 08:05,10400,Red,紅酒,Chateau Clauzet,N/A,N/A
10,CFW00023-2013-00750,Chateau Leoville Poyferre,2013,"St. Julien, Bordeaux",波爾多,750ml,CVBG,412.31,5%,543.89,N/A,N/A,540,132,N/A,2017-08-01 08:05,252,Red,紅酒,Chateau Leoville Poyferre,乐芙,N/A
11,CFW00136-2012-00750,Echo de Lynch Bages,2012,"Pauillac, Bordeaux",波爾多,750ml,BM,261.13,5%,372.47,N/A,N/A,370,111,N/A,2017-08-01 08:05,48,Red,紅酒,Chateau Lynch Bages,靚茨伯酒莊,N/A
