,wine,dictionary wine
0,BAHANS HAUT BRION ,Bahans Haut Brion
1,QUINTUS ,Chateau Quintus
2,MISSION HAUT BRION ,Chateau Mission Haut Brion
3,LES PLANTIERS DU HAUT BRION,Les Plantiers de Haut Brion
4,DRAGON DE QUINTUS,Le Dragon de Quintus
5,L'ARROSEE,Chateau L’Arrosee
6,TERTRE DAUGAY,Chateau Tertre Daugay
7,LAVILLE HAUT BRION ,Chateau Laville Haut Brion
8,CLARENCE HAUT BRION ,Le Clarence de Haut Brion
9,CARDINALE,Cardinale
10,VERITE LA JOIE,Verite La Joie
11,OPUS ONE,Opus One
12,MASSETO,Masseto
13,VERITE LA MUSE,Verite La Muse
14,NAPANOOK,Napanook
15,VEGA SICILIA UNICO,Vega Sicilia Unico
16,OVERTURE,Overture
17,VERITE LE DESIR,Verite Le Desir
18,SENA,Sena
19,ALMAVIVA,Almaviva
20,SOLAIA,Solaia
21,Maison Leroy - Chambolle Musigny,Maison Leroy Chambolle Musigny
22,TOUR SAINT BONNET,Chateau Tour Saint Bonnet
23,DUCRU BEAUCAILLOU,Chateau Ducru Beaucaillou
24,DRC/ECHEZEAUX,DRC Echezeaux
25,CLOTTE (LA),Chateau La Clotte
26,MALESCASSE,Chateau Malescasse
27,YQUEM (D'),Chateau d'Yquem
28,MEYNEY,Chateau Meyney
29,VEGA SICILIA UNICO,Vega Sicilia Unico
30,LESTAGE SIMON,Chateau Lestage Simon
31,DRC/LA TACHE,DRC La Tache
32,GRAND MAYNE,Chateau Grand Mayne
33,MARQUIS DE TERME,Chateau Marquis de Terme
34,BALESTARD LA TONNELLE,Chateau Balestard La Tonnelle
35,RUINART Blanc de Blancs,Ruinart Blanc De Blanc
36,CROIZET BAGES,Chateau Croizet Bages
37,TERTRE DAUGAY,Chateau Tertre Daugay
38,BROUSTET,Chateau Broustet
39,ANGELUS,Chateau Angelus
40,DRC/CORTON,DRC Corton
41,MARZELLE (LA),Chateau La Marzelle
42,CAMENSAC,Chateau Camensac
43,OPUS ONE,Opus One
44,FONPLEGADE,Chateau Fonplegade
45,COUSPAUDE (LA),Chateau La Couspaude
46,MOULIN ROUGE,Chateau du Moulin Rouge
47,FLEUR PETRUS (LA),Chateau La Fleur Petrus
48,Maison Leroy - Clos Vougeot,Maison Leroy Clos Vougeot
49,Maison Leroy - Volnay 1er Cru Les Brouillards,Maison Leroy Volnay 1er Cru Les Brouillards
50,BERNADOTTE,Chateau Bernadotte
51,RAUZAN GASSIES,Chateau Rauzan Gassies
52,PERRIER JOUET Belle Epoque Blanc de Blanc,Perrier Jouet Belle Epoque Blanc de Blanc
53,PHELAN SEGUR,Chateau Phelan Segur
54,GUIGAL LA MOULINE,E. Guigal La Mouline
55,CARONNE SAINTE GEMME,Chateau Caronne Sainte Gemme
56,SAINT PIERRE,Chateau Saint Pierre
57,PERRIER JOUET Blason Rosé,Perrier Jouet Blason Rose
58,MONT PERAT Blanc,Chateau Mont Perat Blanc
59,MARQUIS D'ALESME,Chateau Marquis d'Alesme
60,BELLE-VUE,Chateau Bellevue
61,CARLES (DE),Chateau Haut Carles
62,MISSION HAUT BRION,Chateau Mission Haut Brion
63,RAYNE VIGNEAU,Chateau Rayne Vigneau
64,CALON SEGUR,Chateau Calon Segur
65,Maison Leroy - Montagny 1er cru,Maison Leroy Montagny 1er Cru
66,BRANAS GRAND POUJEAUX,Chateau Branas Grand Poujeaux
67,CHEVAL BLANC,Chateau Cheval Blanc
68,MUMM Cordon Rouge,Mumm Cordon Rouge
69,POUGET,Chateau Pouget
70,ARMAND DE BRIGNAC Rosé,Armand de Brignac Rose
71,HAUT BATAILLEY,Chateau Batailley
72,PRIEURE LICHINE,Chateau Prieure Lichine
73,DOMINIQUE (LA),Chateau La Dominique
74,CADET BON,Chateau Cadet Bon
75,CITRAN,Chateau Citran
76,GUIGAL LA TURQUE,E. Guigal La Turque
77,VALANDRAUD,Chateau Valandraud
78,PAVIE DECESSE,Chateau Pavie Decesse
79,BRANAIRE DUCRU,Chateau Branaire Ducru
80,RUINART Rosé,Ruinart Rose
81,BARDE HAUT,Chateau Barde Haut
82,"DOMAINE DU BOUSCAT ""Les Portes de l'Am…"" ",Domaine du Bouscat Les Portes de L'Am
83,KIRWAN,Chateau Kirwan
84,DAUZAC,Chateau Dauzac
85,MARSAC SEGUINEAU,Chateau Marsac Seguineau
86,PAPE CLEMENT BLANC,Chateau Pape Clement Blanc
87,GUIGAL LA LANDONNE,E. Guigal La Landonne
88,BERLIQUET,Chateau Berliquet
89,MISSION HAUT BRION Blanc,Chateau La Mission Haut Brion Blanc
90,BELLEGRAVE,Chateau Bellegrave
91,CLINET,Chateau Clinet
92,BILLECART SALMON,Billecart Salmon
93,TOUR CARNET (LA),Chateau La Tour Carnet
94,CANTEMERLE,Chateau Cantemerle
95,CLOS PUY ARNAUD Cuvée Pervenche,Clos Puy Arnaud Cuvee Pervenche
96,DRC/ROMANEE CONTI,DRC Romanee Conti
97,BOLAIRE,Chateau Bolaire
98,PETIT FAURIE DE SOUTARD,Chateau Petit Faurie Soutard
99,VILLEMAURINE,Chateau Villemaurine
100,DOM PERIGNON (P3),Dom Perignon P3
101,MALLE (DE),Chateau de Malle
102,"DOMAINE DU BOUSCAT ""Caduce""",Domaine du Bouscat Caduce
103,ALMAVIVA,Almaviva
104,CARBONNIEUX Blanc,Chateau Carbonnieux Blanc
105,GRUAUD LAROSE,Chateau Gruaud Larose
106,RAUZAN SEGLA,Chateau Rauzan Segla
107,LAFLEUR,Chateau Lafleur
108,DURFORT VIVENS,Chateau Durfort Vivens
109,ARSAC (D'),Chateau d’Arsac
110,MONDOTTE (LA),La Mondotte
