,wine
0,LA CLARTE 
1,LA CHAPELLE DE LA MISSION 
2,HAUT BRION 
3,NPU NAPANOOK
4,FX PICHLER RSL SMARAGD LOIBNER
5,LAMBORGHINI CAMPOLEONE
6,CLARENDON HILLS SHIRAZ PIGGOTT
7,FX PICHLER RSL SMARAGD KELLERB
8,T.D'ELL ORNELLAIA ORNELLAIA
9,L'AVENTURE ESTATE SYRAH
10,FOURNIER B CRUX
11,SHAFER HILLSIDE SELECT CAB-SAU
12,CELSUS
13,ANWILKA STELLENBOSCH
14,GIROLATE (DESPAGNE)
15,LYNCH MOUSSAS/HAUTS DE…
16,LYNCH BAGES/ECHO LYNCH BAGES
17,GISCOURS / SIRENE DE GISCOURS
18,DUCRU B. / LALANDE BORIE
19,Domaine de Chev./Clair de Lune
20,Maison Leroy - Meursault
21,LE DIFESE (San Guido)
22,YQUEM (D') / Y DE YQUEM
23,EVANGILE (L') (Lafite)
24,ANGELUS / CLOS DE BOÜARD
25,"DOMAINE DU BOUSCAT ""Gargone"""
26,GRUAUD LAROSE / SARGET DE GRUAUD
27,MARGAUX / PAVILLON BLANC
28,Maison Leroy - Chorey les Beaune
29,BONNEAU DU MARTRAY CORTON CHARL.
30,JP JANOUEIX / CONFESSION (LA)
31,GRAVAS BLANC
32,Maison Leroy - Puligny Montrachet 1er cru les Folatieres
33,MASSETO (Ornellaia)
34,CHASSE SPLEEN / HERITAGE…
35,YON FIGEAC / LES ROCHES DE YON FIGEAC
36,HAUT BRION Blanc / LA CLARTE DE HT BRION
37,ROEDERER Cristal
38,CHANTEGRIVE
39,DOMAINE DE CHEVALIER Rouge / Red
40,MALESCOT ST-EXUPERY / DAME DE ...
41,Tour Carnet / PENSEES de La Tour Carnet
42,SMITH HAUT LAFITTE
43,"CHANTEGRIVE ""Cuvée Caroline"""
44,SOCIANDO MALLET / DEMOISELLE...
45,GRAND PUY LACOSTE / LACOSTE BORIE
46,PAPE CLEMENT / CLEMENTIN de Pape Clement
47,JABOULET/ HERMITAGE LA CHAPELLE
48,MARGAUX / PAVILLON ROUGE
49,Maison Leroy - Bourgogne Rouge
50,CHASSE SPLEEN / ORATOIRE DE…
51,Domaine de Chev./Clos des Lunes d'Or
52,GRANDS CHENES (LES) by Bernard Magrez
53,CHASSE SPLEEN
54,MAROJALLIA
55,XO Remi Martin 
56,CALON SEGUR / CAPBERN Gasqueton
57,CLERC MILON (Mouton)
