,Type,Vendor,Wine,Vintage,Format,Region,Cost,Qty,Negoce
0,White,Chateau Mouton Rothschild,Aile d'Argent Blanc du Chateau Mouton Rothschild,2014,75cl,Bordeaux,425.0,0,Cuvees
1,Red,Chateau Lascombes,Chevalier de Lascombes,2011,75cl,Bordeaux,183.18,0,Cuvees
2,Red,Chateau Dauzac,Chateau Dauzac,2009,75cl,Bordeaux,297.5,0,Cuvees
3,Red,Chateau Dauzac,Chateau Dauzac,2013,75cl,Bordeaux,178.5,0,Cuvees
4,Red,Chateau Grand Puy Lacoste,Chateau Grand Puy Lacoste,2013,75cl,Bordeaux,265.2,0,Cuvees
5,Red,Chateau Monbousquet,Chateau Monbousquet,2013,75cl,Bordeaux,220.58,0,Cuvees
6,Red,Chateau Talbot,Chateau Talbot,2012,75cl,Bordeaux,314.5,0,Cuvees
7,Red,Chateau Calon Segur,Chateau Calon Segur,2002,75cl,Bordeaux,646.0,0,Cuvees
8,Red,Chateau Ducru Beaucaillou,Chateau Ducru Beaucaillou,1997,75cl,Bordeaux,833.0,0,Cuvees
9,White,Chateau Haut Brion,La Clarte de Haut Brion Blanc,2014,75cl,Bordeaux,535.5,0,Cuvees
10,Red,Chateau Rauzan Segla,Chateau Rauzan Segla,1995,75cl,Bordeaux,790.5,0,Cuvees
11,Red,Chateau Rauzan Segla,Chateau Rauzan Segla,2000,75cl,Bordeaux,833.0,0,Cuvees
12,Red,Chateau Palmer,Chateau Palmer,1998,75cl,Bordeaux,1742.5,0,Cuvees
13,Red,Chateau Palmer,Chateau Palmer,1985,75cl,Bordeaux,1572.5,0,Cuvees
14,Red,Opus One,Opus One,2013,75cl,Napa,1572.5,0,Cuvees
15,Red,Opus One,Overture,2012,75cl,Napa,722.5,0,Cuvees
16,Red,Sena,Sena,2014,75cl,Aconcagua,620.5,0,Cuvees
17,Red,Antinori,Antinori Solaia,2013,75cl,Tuscany,1105.0,0,Cuvees
