,Type,Vendor,Wine,Vintage,Format,Region,Cost,Qty,Negoce
0,Red,DOMINUS,NAPANOOK,2009,75cl,Napa,455,0,Cuvees
1,Red,OPUS ONE,OPUS ONE,1999,150cl,Napa,4300,0,Cuvees
2,Red,OPUS ONE,OPUS ONE,2008,150cl,Napa,5220,0,Cuvees
3,Red,OPUS ONE,OPUS ONE,2009,150cl,Napa,5400,0,Cuvees
4,Red,OPUS ONE,OPUS ONE,1997,75cl,Napa,2500,0,Cuvees
5,Red,OPUS ONE,OPUS ONE,2004,75cl,Napa,2400,0,Cuvees
6,Red,OPUS ONE,OPUS ONE,2005,75cl,Napa,2500,0,Cuvees
7,Red,OPUS ONE,OPUS ONE,2007,75cl,Napa,2250,0,Cuvees
8,Red,OPUS ONE,OPUS ONE,2009,75cl,Napa,1764,0,Cuvees
9,Red,OPUS ONE,OPUS ONE,2011,75cl,Napa,1422,0,Cuvees
10,Red,RIDGE,RIDGE MONTE BELLO,1996,75cl,Cupertino,2486,0,Cuvees
11,Red,RIDGE,RIDGE MONTE BELLO,1999,75cl,Cupertino,1165,0,Cuvees
12,Red,RIDGE,RIDGE MONTE BELLO,2000,75cl,Cupertino,1170,0,Cuvees
13,Red,RIDGE,RIDGE MONTE BELLO,2001,75cl,Cupertino,1959,0,Cuvees
14,Red,RIDGE,RIDGE MONTE BELLO,2009,75cl,Cupertino,1560,0,Cuvees
15,Red,RIDGE,RIDGE MONTE BELLO,2011,75cl,Cupertino,1014,0,Cuvees
16,Red,RIDGE,RIDGE MONTE BELLO,2012,75cl,Cupertino,1014,0,Cuvees
17,Red,DOMINUS,DOMINUS,2009,75cl,Napa,1170,0,Cuvees
18,Red,SCARECROW,SCARECROW M. ETAIN CABERNET SAUVIGNON,2009,75cl,Napa,1100,0,Cuvees
19,Red,ANTINORI,TIGNANELLO,2008,75cl,Tuscany,489,0,Cuvees
20,Red,ANTINORI,SOLAIA,2007,75cl,Tuscany,1585,0,Cuvees
21,Red,ANTINORI,SOLAIA,2009,75cl,Tuscany,888,0,Cuvees
22,Red,SASSICAIA,SASSICAIA,2001,75cl,Tuscany,2000,0,Cuvees
23,Red,SASSICAIA,SASSICAIA,2004,75cl,Tuscany,1830,0,Cuvees
24,Red,SASSICAIA,SASSICAIA,2007,75cl,Tuscany,1760,0,Cuvees
25,Red,SASSICAIA,SASSICAIA,2013,75cl,Tuscany,1104,0,Cuvees
26,White,TUA RITA,TUA RITA LODANO,2008,75cl,Tuscany,161,0,Cuvees
27,Red,TUA RITA,TUA RITA SYRAH,2008,75cl,Tuscany,780,0,Cuvees
28,White,EGON MULLER,EGON MULLER SCHARZHOF RIESLING,2013,75cl,Mosel,315,0,Cuvees
29,White,EGON MULLER,EGON MULLER SCHARZHOFBERGER KABINETT,2012,75cl,Mosel,470,0,Cuvees
30,White,DOMAINE GILLES JAYER,DOMAINE GILLES JAYER BOURGOGNE HAUTES COTES DE NUIT BLANC,2009,75cl,Burgundy,250,0,Cuvees
31,Red,DOMAINE GAUBY,DOMAINE GAUBY COTES DU ROUISSLON VIEILLES VIGNES,2009,75cl,Languedoc,280,0,Cuvees
32,Red,DOMAINE CHIDAINE,DOMAINE CHIDAINE CLOS DES BOURANAIS DE F. CHIDAINE (MONTLOUIS LES CHOISILLES),2009,75cl,Loire,229,0,Cuvees
33,Red,DOMAINE FAURY,DOMAINE FAURY COTE ROTIE REVINISCENCE,2010,75cl,Rhone,342,0,Cuvees
34,Red,DOMAINE LA ROQUETE,DOMAINE LA ROQUETE CHATEAUNEAUF-DU-PAPE,2009,75cl,Rhone,301,0,Cuvees
