,Type,Vendor,Wine,Vintage,Format,Region,Cost,Qty,Negoce
0,Red,Chateau de Pommard,Chateau de Pommard,2005,75cl,Burgundy,1040.17,0,Dynamic
1,Red,Chateau de Pommard,Chateau de Pommard,2006,75cl,Burgundy,1040.17,0,Dynamic
2,Red,Chateau de Pommard,Chateau de Pommard,2007,75cl,Burgundy,548.17,0,Dynamic
3,Red,Chateau Lynch Bages,Chateau Lynch Bages,1996,75cl,Bordeaux,1721.45,0,Dynamic
4,Red,Chateau Lynch Bages,Chateau Lynch Bages,2001,75cl,Bordeaux,998.79,0,Dynamic
5,Red,Chateau Lynch Bages,Chateau Lynch Bages,2005,75cl,Bordeaux,1276.74,0,Dynamic
6,Red,Chateau Lynch Bages,Chateau Lynch Bages,2006,75cl,Bordeaux,998.79,0,Dynamic
7,Red,Chateau Lynch Bages,Chateau Lynch Bages,2007,75cl,Bordeaux,887.61,0,Dynamic
8,Red,Chateau Lynch Bages,Chateau Lynch Bages,2008,75cl,Bordeaux,998.79,0,Dynamic
9,Red,Rolf Binder,Rolf Binder Veritas Winery Hanisch Shiraz,2006,75cl,Barossa,541.15,0,Dynamic
10,Red,Rolf Binder,Rolf Binder Veritas Winery Haysen Shiraz,2006,75cl,Barossa,400.85,0,Dynamic
11,Red,Chateau Lafite Rothschild,Chateau Lafite Rothschild,1982,75cl,Bordeaux,44100.0,0,Dynamic
12,Red,Chateau Lafite Rothschild,Chateau Lafite Rothschild,1985,75cl,Bordeaux,7600.0,0,Dynamic
13,Red,Chateau Lafite Rothschild,Chateau Lafite Rothschild,1986,75cl,Bordeaux,18444.44,0,Dynamic
14,Red,Chateau Lafite Rothschild,Chateau Lafite Rothschild,1995,75cl,Bordeaux,8820.83,0,Dynamic
15,Red,Chateau Lafite Rothschild,Chateau Lafite Rothschild,1996,75cl,Bordeaux,12749.05,0,Dynamic
16,Red,Chateau Lafite Rothschild,Chateau Lafite Rothschild,1998,75cl,Bordeaux,9833.33,0,Dynamic
17,Red,Chateau Lafite Rothschild,Chateau Lafite Rothschild,1999,75cl,Bordeaux,8600.59,0,Dynamic
18,Red,Chateau Lafite Rothschild,Chateau Lafite Rothschild,2000,75cl,Bordeaux,20758.15,0,Dynamic
19,Red,Chateau Lafite Rothschild,Chateau Lafite Rothschild,2001,75cl,Bordeaux,8000.0,0,Dynamic
20,Red,Chateau Lafite Rothschild,Chateau Lafite Rothschild,2003,75cl,Bordeaux,12932.99,0,Dynamic
21,Red,Chateau Lafite Rothschild,Chateau Lafite Rothschild,2004,75cl,Bordeaux,8341.67,0,Dynamic
22,Red,Chateau Lafite Rothschild,Chateau Lafite Rothschild,2005,75cl,Bordeaux,11667.02,0,Dynamic
23,Red,Chateau Lafite Rothschild,Chateau Lafite Rothschild,2006,75cl,Bordeaux,8330.35,0,Dynamic
24,Red,Chateau Lafite Rothschild,Chateau Lafite Rothschild,2008,75cl,Bordeaux,12606.81,0,Dynamic
25,Red,Chateau Lafite Rothschild,Chateau Lafite Rothschild,2009,75cl,Bordeaux,13571.61,0,Dynamic
26,Red,Chateau Lafite Rothschild,Carruades de Lafite,2000,75cl,Bordeaux,4370.46,0,Dynamic
27,Red,Chateau Lafite Rothschild,Carruades de Lafite,2007,75cl,Bordeaux,3539.04,0,Dynamic
28,Red,Chateau Lafite Rothschild,Carruades de Lafite,2008,75cl,Bordeaux,3657.78,0,Dynamic
29,Red,Chateau Le Pin,Le Pin,1994,75cl,Bordeaux,13569.8,0,Dynamic
30,Red,Chateau Le Pin,Le Pin,1995,75cl,Bordeaux,16072.53,0,Dynamic
31,Red,Chateau Le Pin,Le Pin,1997,75cl,Bordeaux,12568.7,0,Dynamic
32,Red,Chateau Le Pin,Le Pin,1998,75cl,Bordeaux,24832.09,0,Dynamic
33,Red,Chateau Latour,Chateau Latour,2009,75cl,Bordeaux,10662.03,0,Dynamic
34,Red,Chateau Mouton Rothschild,Chateau Mouton Rothschild,2008,75cl,Bordeaux,6088.28,0,Dynamic
