,VINTAGE,ESTATE,APPELLATION,COLOR,CLASSIFICATION,QUANTITY,VOLUME,PACKING,PRICE,WA
0,1936,CH. LATOUR,PAUILLAC        ,RED,1CC,32,BT,OWC12,950.0,-
1,1978,CH. COS D'ESTOURNEL,SAINT ESTEPHE   ,RED,2CC,5,BT,VRAC,225.0,80
2,1982,CH. COS D'ESTOURNEL,SAINT ESTEPHE   ,RED,2CC,12,BT,OWC12,520.0,95
3,1982,CH. DUCRU BEAUCAILLOU,SAINT JULIEN,RED,2CC,36,BT,OWC6,358.0,96
4,1985,CH. DUCRU BEAUCAILLOU,SAINT JULIEN,RED,2CC,36,BT,OWC6,132.0,92
5,1986,CH. DUCRU BEAUCAILLOU,SAINT JULIEN,RED,2CC,18,BT,OWC6,130.0,92
6,1996,CH. CALON SEGUR,SAINT ESTEPHE   ,RED,3CC,168,BT,OWC12,80.0,92
7,1996,CH. LYNCH BAGES,PAUILLAC        ,RED,5CC,120,BT,OWC12,155.0,93
8,1997,CH. LABEGORCE ZEDE,MARGAUX,RED,,24,DM,OWC24,12.0,86-87
9,1997,CH. RIEUSSEC,SAUTERNES       ,SWEET,1CC,234,BT,,60.0,91
10,1998,CH. LEOVILLE LAS CASES,SAINT JULIEN,RED,2CC,96,BT,OWC12,155.0,93
11,1998,CH. PALMER,MARGAUX         ,RED,3CC,30,BT,OWC6,210.0,91
12,1998,CH. POTENSAC,MEDOC,RED,,72,BT,OWC12,23.0,87
13,1999,CH. AIGUILHE (D'),CASTILLON COTES DE BORDEAUX,RED,,84,BT,OWC12,18.0,87
14,1999,CH. EVANGILE (L'),POMEROL         ,RED,,36,BT,OWC6,103.0,89
15,1999,CH. MALLE (DE),SAUTERNES       ,SWEET,2CC,12,BT,OWC12,21.0,-
16,1999,CH. REYNON,BORDEAUX,WHITE,,120,BT,OWC12,5.2,-
17,2000,CH. CALON SEGUR,SAINT ESTEPHE   ,RED,3CC,276,BT,OWC12,85.0,91
18,2000,CH. PALMER,MARGAUX         ,RED,3CC,180,BT,OWC12,270.0,95
19,2000,CH. PONTET CANET,PAUILLAC,RED,5CC,42,BT,OWC6,105.0,94
20,2000,CH. POUGET,MARGAUX,RED,4CC,12,BT,OWC12,72.0,
21,2002,CH. BELLEVUE,MEDOC,RED,,96,DM,CB12,2.5,87
22,2002,CH. RIEUSSEC,SAUTERNES       ,SWEET,1CC,216,BT,OWC12,34.0,90
23,2002,MAROJALLIA,MARGAUX         ,RED,,132,BT,OWC6,31.5,90
24,2003,CH. BARDE HAUT,SAINT EMILION GRAND CRU,RED,,8,BT,CB12,17.0,88
25,2003,CH. LAFITE ROTHSCHILD,PAUILLAC        ,RED,1CC,12,BT,OWC6,900.0,100
26,2003,CH. PICQUE CAILLOU BLANC,PESSAC LEOGNAN  ,WHITE,,18,BT,OWC6,8.8,-
27,2003,CH. SENEJAC,HAUT MEDOC,RED,,180,BT,CB6,12.5,89
28,2003,CH. TEYNAC,SAINT JULIEN,RED,,96,BT,OWC12,13.75,
29,2003,CLOS L'EGLISE,POMEROL,RED,,180,BT,OWC6,47.5,89
30,2003,RESERVE DE LA COMTESSE (LA),PAUILLAC        ,RED,2nd,240,BT,OWC12,34.0,88
31,2004,CARRUADES DE LAFITE,PAUILLAC,RED,2nd,24,BT,OWC12,200.0,89-90
32,2004,CH. COUTET,BARSAC          ,SWEET,1CC,60,BT,-,26.5,
33,2004,CH. GAY (LE),POMEROL         ,RED,,84,BT,-,50.0,
34,2004,CH. PAVIE,SAINT EMILION GRAND CRU   ,RED,CC1A,48,BT,OWC12,190.0,94
35,2004,CH. PICHON LALANDE,PAUILLAC,RED,2CC,30,BT,-,95.0,92
36,2004,CH. RIEUSSEC,SAUTERNES       ,SWEET,1CC,6,MG,OWC6,51.0,91
