,                          THE CLASSICS,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,,,,,,,,,,,,,
1,   (WINE BOTTLED AT THE CHÂTEAU)   ,,,,,,,,,,,,
2,      Ex-cellar prices - (Subject to availability and remaining unsold),,,,,,,,,,,,
3,,,,,,,,,,,,,
4,Vint.,Chateau,Format,Comment,Appellation,Qty/cs,,,€/Btl.,Parker,Decanter,W.S,J.S
5,SAINT-ESTEPHE,,,,,,,,,,,,
6,,,,,,,,,,,,,
7,Vint.,Chateau,Format,Comment,Appellation,Qty/cs,,,€/Btl.,Parker,Decanter,W.S,J.S
8,,,,,,,,,,,,,
9,1995,CH. CALON SEGUR,,3RD GCC,Saint-Estephe,1,cs,,98,92,,95,
10,1996,CH. CALON SEGUR,,3RD GCC,Saint-Estephe,15,cs,,92,92,,90,
11,1996,CH. CALON SEGUR,Mag.,3RD GCC,Saint-Estephe,2,cs,,188,92,,90,
12,1996,CH. CALON SEGUR,DMag.,3RD GCC,Saint-Estephe,10,cs,/1,375,92,,90,
13,1998,CH. CALON SEGUR,,3RD GCC,Saint-Estephe,3,cs,,85,89,,,
14,1999,CH. CALON SEGUR,Mag.,3RD GCC,Saint-Estephe,4,cs,,160,87,,86,
15,2000,CH. CALON SEGUR,,3RD GCC,Saint-Estephe,19,cs,,87,91+,,93,
16,2001,CH. CALON SEGUR,,3RD GCC,Saint-Estephe,3,cs,,78,90,,90,
17,2001,CH. CALON SEGUR,Mag.,3RD GCC,Saint-Estephe,5,cs,,155,90,,90,
18,2002,CH. CALON SEGUR,,3RD GCC,Saint-Estephe,2,cs,/1,76,89,,92-94,
19,2002,CH. CALON SEGUR,Mag.,3RD GCC,Saint-Estephe,5,cs,,152,89,,92-94,
20,2004,CH. CALON SEGUR,Mag.,3RD GCC,Saint-Estephe,30,cs,,146,89,,90,91
21,2005,CH. CALON SEGUR,,3RD GCC,Saint-Estephe,8,cs,,89,93,,93,93
22,2006,CH. CALON SEGUR,,3RD GCC,Saint-Estephe,75,cs,,78,91,****,92,91
